Gene	X11941_counts	X11942_counts	X11943_counts	X11944_counts
PVX_087670	2521.76889	2867.769543	2709.690994	1221.963707
PVX_087675	7293.488742	8057.365631	7238.005213	3089.977287
PVX_087710	4266.664609	2592.706308	2550.297406	3413.857542
PVX_088145	6565.718166	6474.96763	5996.463592	12260.1221
PVX_089950	4836.605422	6654.856894	7168.870645	6207.894949
PVX_089955	1004.849495	1214.252531	1293.392547	1366.797483
PVX_089960	82.42220988	113.9995916	64.33355655	86.67218079
PVX_089965	4208.793696	3284.024933	3864.814405	4375.234495
PVX_089970	5103.162356	3400.11626	4265.218779	3333.45769
PVX_089975	2048.279599	2489.165395	1830.145653	1284.116784
PVX_089980	1855.376554	2881.365825	1930.966899	1225.955189
PVX_089985	410.3573854	561.6310156	808.4903674	746.4071358
PVX_089990	710.2339362	796.9512735	1095.590866	1931.307081
PVX_089995	685.6826396	830.4190435	932.3564688	997.8705025
PVX_088150	2399.012407	2003.88273	4569.60292	8358.163329
PVX_090000	7393.447593	6121.464309	9086.394711	7224.012226
PVX_090005	2932.126275	3512.024116	3743.82891	3986.350104
PVX_090010	1583.558628	526.0715099	1195.451909	1077.129931
PVX_090015	3537.140369	2584.339366	3405.837688	2787.765078
PVX_090020	250.7739577	311.6686083	358.1554715	792.0240731
PVX_090025	673.4069914	781.2632563	860.3412936	713.3348563
PVX_090030	67193.39136	46732.51149	38914.12009	22725.78793
PVX_090035	1362.596959	2376.211671	1206.974337	2062.455776
PVX_090040	1829.071594	2638.724492	955.4013249	533.1479542
PVX_090045	8000.21535	4671.89152	4561.921301	2727.892848
PVX_088155	1520.426723	812.6392907	1855.110914	3057.47522
PVX_090050	7887.980852	9708.790908	5220.620104	4823.420903
PVX_090055	1932.537772	1468.398409	1701.47854	1754.541449
PVX_090060	1836.08625	1940.084793	1981.857623	3408.155425
PVX_090065	3966.788058	3674.133627	2145.09202	2418.267886
PVX_090070	7891.48818	7247.863944	8263.501308	9569.863225
PVX_090075	2467.405304	2790.375325	3731.34628	6171.401399
PVX_090080	7581.089645	6674.728382	3889.779665	3201.738784
PVX_090085	2614.713084	4632.148544	3441.365174	5411.309182
PVX_090090	226.2226612	280.2925739	571.3203902	879.2664656
PVX_090095	1522.180387	2114.744718	1836.86707	1769.366954
PVX_088165	733.0315687	881.6665663	1797.498774	3284.419482
PVX_090100	259.5422779	257.283482	108.502864	174.484785
PVX_090105	857.5417156	674.5847393	529.0714874	1525.316339
PVX_090110	3763.36303	5250.256421	3861.933798	2610.999446
PVX_090115	336.7034957	154.7884363	249.6526075	199.0038888
PVX_090120	2723.440254	2437.917872	4900.872726	3982.358622
PVX_090125	5944.921096	5484.530811	8882.831815	9547.624968
PVX_090130	941.7175895	776.0339172	904.510601	870.1430782
PVX_090135	1467.816801	2569.697216	810.4107721	906.636628
PVX_090140	3572.213649	2765.274497	1898.320019	1679.843714
PVX_090145	6344.756497	6250.10605	6267.240651	11423.62151
PVX_088170	11830.21761	7986.24662	9339.888128	7527.935071
PVX_090150	1900.971819	2134.616206	2895.010045	3308.938586
PVX_090155	18601.11447	10428.34796	23670.908	11484.06395
PVX_090160	13373.44197	8375.309446	19051.37456	16977.48362
PVX_090165	2872.501698	3445.088576	4488.945923	8638.707493
PVX_090170	1978.133037	1366.949232	1445.104517	1797.307328
PVX_090175	2677.844989	2106.377775	3503.778326	6887.017102
PVX_090180	5588.927295	2470.339774	1767.732502	2774.079997
PVX_090185	11300.61107	7219.625513	4593.607978	2313.348931
PVX_090190	2605.944763	2716.11871	2366.89876	2730.743906
PVX_090195	517.3308918	476.9157227	623.1713164	562.7989634
PVX_088175	10246.65899	7996.705298	6153.936775	5216.866987
PVX_090200	505.0552435	424.6223321	432.0910514	631.2243693
PVX_090205	399.8354011	929.7764857	1540.164548	1810.422197
PVX_090210	5173.308918	5895.556862	10244.39873	15745.25611
PVX_090215	11905.62517	10823.686	15515.90956	15131.13809
PVX_090220	2306.068213	3436.721633	3522.02217	5036.680085
PVX_090225	8193.118395	4464.809693	5251.346579	3124.760202
PVX_090230	310189.8491	411010.3625	373383.3204	384754.9169
PVX_090235	1779.969001	2086.506287	3861.933798	902.6451459
PVX_090240	2011.452654	1722.544288	3546.987431	1520.184434
PVX_090245	227.9763252	393.2462977	406.1655884	169.3528796
PVX_088180	806.6854584	942.3268995	1072.54601	1476.848344
PVX_090250	548.8968445	681.905814	692.3058847	472.7055123
PVX_090255	4072.007901	3241.144352	3893.620475	1323.461392
PVX_090260	350.732808	429.8516711	250.6128098	1077.129931
