"","Geneid","baseMean","log2FoldChange","lfcSE","pvalue","padj","comp","subfam"
"1","PBANKA_0100500",452.090983343569,-0.653004656622546,0.867012182548558,0.405168540039388,0.494876069291009,"Liv.pre4h_Sporoz","ancestral"
"2","PBANKA_0100500",452.090983343569,0.649648558590705,0.968955102211878,0.389958880973553,0.522700118048293,"Liv.12h_Liv.pre4h","ancestral"
"3","PBANKA_0100500",452.090983343569,0.0247127617634632,0.357634243244425,0.813488931844857,1,"Liv.18h_Liv.12h","ancestral"
"4","PBANKA_0100500",452.090983343569,-0.183634814222278,0.555869725583214,0.55876654520912,0.785971441302909,"Liv.24h_Liv.18h","ancestral"
"5","PBANKA_0100500",452.090983343569,-0.156867689539474,0.413489266592429,0.403426411730919,0.732246595433708,"Liv.36h_Liv.24h","ancestral"
"6","PBANKA_0100500",452.090983343569,5.06627039387929,0.747505467114503,0.000000000000688130365773429,0.000000000148693503204208,"Liv.post48h_Liv.36h","ancestral"
"7","PBANKA_0100500",452.090983343569,5.22526314424849,0.833706805401376,0.0000000000153683594979178,0.000000000433153871501096,"Liv.Meroz_Liv.post48h","ancestral"
"8","PBANKA_0100500",452.090983343569,-3.00314187324985,0.82680518059482,0.0000661981896165005,0.000341299495978421,"Asex.Mixed_Liv.Meroz","ancestral"
"9","PBANKA_0100500",452.090983343569,-0.154339101701796,0.65812549039688,0.670393215583871,0.87973664730648,"Asex.Troph_Asex.Ring","ancestral"
"10","PBANKA_0100500",452.090983343569,0.0569877101974846,0.66030517452053,0.901092223522861,0.955658197195387,"Asex.Schiz_Asex.Troph","ancestral"
"11","PBANKA_0100500",452.090983343569,0.244169992780719,0.60187317675879,0.650031996149816,0.74400042640321,"Gam.Female_Asex.Schiz","ancestral"
"12","PBANKA_0100500",452.090983343569,0.477551343937393,0.588013092163653,0.343095588445731,0.461794373651586,"Gam.Male_Gam.Female","ancestral"
"13","PBANKA_0100500",452.090983343569,-3.74977194282542,0.596992436791306,0.0000000000483370521827293,0.000000000308714227364082,"Ook_Gam.Male","ancestral"
"14","PBANKA_0100500",452.090983343569,-4.73538592024713,0.496568957241571,0.000000000000000000000133557455102456,0.00000000000000000000785229583297775,"Liv.24h_Liv.post48h","ancestral"
"15","PBANKA_0100500",452.090983343569,0.756929914179587,0.622016540485518,0.160882797328949,0.244961299749832,"Gam.Male_Asex.Schiz","ancestral"
"16","PBANKA_0100500",452.090983343569,-3.21072883604317,0.608031857711557,0.0000000465027293044454,0.000000133534415378103,"Sporoz_Ook","ancestral"
"17","PBANKA_0100500",452.090983343569,0.210713237576318,0.521824524656963,0.656728337326666,0.730230093777035,"Gam.Male_Asex.Mixed","ancestral"
"18","PBANKA_0100500",452.090983343569,-2.94741702196164,0.901620808831618,0.000576118318057399,0.0015724997881293,"Gam.Male_Liv.Meroz","ancestral"
"19","PBANKA_0000101",0.24616587763157,0,1.86676799356715,1,1,"Liv.pre4h_Sporoz","L1"
"20","PBANKA_0000101",0.24616587763157,0,2.00608834243196,1,1,"Liv.12h_Liv.pre4h","L1"
"21","PBANKA_0000101",0.24616587763157,0,0.624709687573026,1,1,"Liv.18h_Liv.12h","L1"
"22","PBANKA_0000101",0.24616587763157,0,0.900317750638734,1,1,"Liv.24h_Liv.18h","L1"
"23","PBANKA_0000101",0.24616587763157,0,0.551040449042354,1,1,"Liv.36h_Liv.24h","L1"
"24","PBANKA_0000101",0.24616587763157,0,1.04056693760746,1,1,"Liv.post48h_Liv.36h","L1"
"25","PBANKA_0000101",0.24616587763157,0.579820735722994,2.18937742472302,0.464118214752842,0.553217133187571,"Liv.Meroz_Liv.post48h","L1"
"26","PBANKA_0000101",0.24616587763157,-0.221847444807584,2.00454032293676,0.73603638067183,0.804613126088556,"Asex.Mixed_Liv.Meroz","L1"
"27","PBANKA_0000101",0.24616587763157,-0.0857301276984754,1.50561394999191,0.805756064886161,0.906525861108127,"Asex.Schiz_Asex.Troph","L1"
"28","PBANKA_0000101",0.24616587763157,-0.101226858991126,1.74582985973568,0.877304908552178,0.919949836215203,"Gam.Female_Asex.Schiz","L1"
"29","PBANKA_0000101",0.24616587763157,-0.106851285463698,1.80924497761695,0.878364374871156,0.92247826004087,"Gam.Male_Gam.Female","L1"
"30","PBANKA_0000101",0.24616587763157,-0.0246510436910342,1.95517906728269,0.978035120789969,0.989290059765317,"Ook_Gam.Male","L1"
