"","pathway.name","log.fold.change","p.Value","FDR","contrast"
"1","pirs",-0.155888671384371,0.68905618378495,0.68905618378495,"Liv.pre4h-Sporoz"
"2","S",-0.183896844300062,0.654808645974811,0.921763132710149,"Liv.pre4h-Sporoz"
"3","L",-0.0354710621030083,0.921763132710149,0.921763132710149,"Liv.pre4h-Sporoz"
"4","S8",-0.378175953994004,0.195658162199976,0.908820707053071,"Liv.pre4h-Sporoz"
"5","S4",-0.250513051011859,0.547878899036933,0.908820707053071,"Liv.pre4h-Sporoz"
"6","S2",0.254864529040194,0.600813231824331,0.908820707053071,"Liv.pre4h-Sporoz"
"7","S1",-0.165311377262653,0.703444350409998,0.908820707053071,"Liv.pre4h-Sporoz"
"8","L3",-0.123975277901365,0.732454361077691,0.908820707053071,"Liv.pre4h-Sporoz"
"9","L2",0.0623437056090168,0.860213055322833,0.908820707053071,"Liv.pre4h-Sporoz"
"10","L1",-0.0469025551441928,0.908820707053071,0.908820707053071,"Liv.pre4h-Sporoz"
"11","pirs",0.344970558925699,0.6611214268567,0.6611214268567,"Liv.12h-Liv.pre4h"
"12","L",0.273237698671063,0.665560284459667,0.675933090800073,"Liv.12h-Liv.pre4h"
"13","S",0.358540847690863,0.675933090800073,0.675933090800073,"Liv.12h-Liv.pre4h"
"14","L2",0.655053858833418,0.449677649476845,0.782532007840717,"Liv.12h-Liv.pre4h"
"15","S8",0.400242442352121,0.467347843106652,0.782532007840717,"Liv.12h-Liv.pre4h"
"16","S4",0.550968151652918,0.553523384070855,0.782532007840717,"Liv.12h-Liv.pre4h"
"17","S2",0.379362701335683,0.662158297316998,0.782532007840717,"Liv.12h-Liv.pre4h"
"18","S1",0.270170556472032,0.741309322843545,0.782532007840717,"Liv.12h-Liv.pre4h"
"19","L1",0.176934238032559,0.764550748977366,0.782532007840717,"Liv.12h-Liv.pre4h"
"20","L3",0.117262174129108,0.782532007840717,0.782532007840717,"Liv.12h-Liv.pre4h"
"21","pirs",0.418346375024424,0.705581101764845,0.705581101764845,"Liv.18h-Liv.12h"
"22","L",0.482920318623764,0.580675522691286,0.740373584246732,"Liv.18h-Liv.12h"
"23","S",0.405169068394584,0.740373584246732,0.740373584246732,"Liv.18h-Liv.12h"
"24","L3",0.88982417730823,0.309582791439415,0.988878081062657,"Liv.18h-Liv.12h"
"25","L1",0.647914376172258,0.460700079842411,0.988878081062657,"Liv.18h-Liv.12h"
"26","S1",0.523913120674125,0.660818423204669,0.988878081062657,"Liv.18h-Liv.12h"
"27","S8",0.446364955528472,0.693603936136082,0.988878081062657,"Liv.18h-Liv.12h"
"28","L2",-0.275991233647945,0.763162799050473,0.988878081062657,"Liv.18h-Liv.12h"
"29","S2",-0.0183770801131934,0.987871843468317,0.988878081062657,"Liv.18h-Liv.12h"
"30","S4",0.0127979691517674,0.988878081062657,0.988878081062657,"Liv.18h-Liv.12h"
"31","pirs",-0.638534104486436,0.489028089527153,0.489028089527153,"Liv.24h-Liv.18h"
"32","L",-0.686868040784946,0.336786395078671,0.518267638106302,"Liv.24h-Liv.18h"
"33","S",-0.634696509964938,0.518267638106302,0.518267638106302,"Liv.24h-Liv.18h"
"34","L3",-0.843439600363826,0.31141946130225,0.587874233673646,"Liv.24h-Liv.18h"
"35","L1",-0.745699976428792,0.318713435847294,0.587874233673646,"Liv.24h-Liv.18h"
"36","S2",-0.570989651481352,0.432502712326128,0.587874233673646,"Liv.24h-Liv.18h"
"37","S8",-0.754196523435788,0.455582954003594,0.587874233673646,"Liv.24h-Liv.18h"
