stage,SorL,stack_group,total_tpm,stage_num,stack_group_order
Sporoz,ancestral (n = 1),PBANKA_0100500,0,1,1
Liv.pre4h,ancestral (n = 1),PBANKA_0100500,0,2,2
Liv.24h,ancestral (n = 1),PBANKA_0100500,1.0944129900058035,5,3
Liv.36h,ancestral (n = 1),PBANKA_0100500,1.1473060243213333,6,4
Liv.12h,ancestral (n = 1),PBANKA_0100500,1.4067733889761866,3,5
Liv.18h,ancestral (n = 1),PBANKA_0100500,2.24205320131342,4,6
Ook,ancestral (n = 1),PBANKA_0100500,16.167196333716895,18,7
Liv.post48h,ancestral (n = 1),PBANKA_0100500,40.47604612634025,7,8
Gam.Female,ancestral (n = 1),PBANKA_0100500,54.20565102193308,14,9
Gam,ancestral (n = 1),PBANKA_0100500,84.81973198375925,13,10
Gam.Male,ancestral (n = 1),PBANKA_0100500,149.31558908293073,15,11
Asex.Troph,ancestral (n = 1),PBANKA_0100500,164.125183830779,11,12
Asex.Mixed,ancestral (n = 1),PBANKA_0100500,170.4309020061286,9,13
Asex.Schiz,ancestral (n = 1),PBANKA_0100500,198.96852064738516,12,14
Asex.Ring,ancestral (n = 1),PBANKA_0100500,203.6852689294,10,15
BldMl.24h,ancestral (n = 1),PBANKA_0100500,210.7491731682332,17,16
BldMl.Pre3h,ancestral (n = 1),PBANKA_0100500,329.188263143596,16,17
Liv.Meroz,ancestral (n = 1),PBANKA_0100500,978.0857927765691,8,18
Sporoz,L (n = 27),PBANKA_0000101,0,1,19
Sporoz,L (n = 27),PBANKA_0216000,0,1,20
Sporoz,L (n = 27),PBANKA_0300100,0,1,21
Sporoz,L (n = 27),PBANKA_0317181,0,1,22
Sporoz,L (n = 27),PBANKA_0400100,0,1,23
Sporoz,L (n = 27),PBANKA_0400500,0,1,24
Sporoz,L (n = 27),PBANKA_0500781,0,1,25
Sporoz,L (n = 27),PBANKA_0600041,0,1,26
Sporoz,L (n = 27),PBANKA_0623700,0,1,27
Sporoz,L (n = 27),PBANKA_0722921,0,1,28
Sporoz,L (n = 27),PBANKA_0836981,0,1,29
Sporoz,L (n = 27),PBANKA_1000081,0,1,30
Sporoz,L (n = 27),PBANKA_1040561,0,1,31
