"","Name","pir","max_tpm","label_no_end","expt_assembly","expt"
"1","NODE_2723_length_1155_cov_6.03743",TRUE,0.585571,"Muller19_Thai1_NODE_2723_length_1155_cov_6.03743","Muller19_Thai1","Muller19"
"2","NODE_3293_length_874_cov_15.514",TRUE,0.197087,"Muller19_Thai2_NODE_3293_length_874_cov_15.514","Muller19_Thai2","Muller19"
"3","NODE_3_length_15066_cov_187.376",TRUE,6.564142,"Muller19_Thai4_NODE_3_length_15066_cov_187.376","Muller19_Thai4","Muller19"
"4","NODE_2265_length_1799_cov_8.594",TRUE,0.413385,"Muller19_Thai6_NODE_2265_length_1799_cov_8.594","Muller19_Thai6","Muller19"
"5","NODE_2835_length_1466_cov_12.4613",TRUE,0.631799,"Muller19_Thai6_NODE_2835_length_1466_cov_12.4613","Muller19_Thai6","Muller19"
"6","NODE_10159_length_699_cov_1.86025",TRUE,0.038781,"Muller19_Thai7_NODE_10159_length_699_cov_1.86025","Muller19_Thai7","Muller19"
"7","NODE_3361_length_1914_cov_7.48037",TRUE,0.12559,"Muller19_Thai7_NODE_3361_length_1914_cov_7.48037","Muller19_Thai7","Muller19"
"8","NODE_3429_length_1884_cov_5.84855",TRUE,0.092451,"Muller19_Thai7_NODE_3429_length_1884_cov_5.84855","Muller19_Thai7","Muller19"
"9","NODE_3628_length_1796_cov_5.29064",TRUE,0.07632,"Muller19_Thai7_NODE_3628_length_1796_cov_5.29064","Muller19_Thai7","Muller19"
"10","NODE_3727_length_1749_cov_7.36954",TRUE,0.112409,"Muller19_Thai7_NODE_3727_length_1749_cov_7.36954","Muller19_Thai7","Muller19"
"11","NODE_4378_length_1528_cov_2.28649",TRUE,0.0356,"Muller19_Thai7_NODE_4378_length_1528_cov_2.28649","Muller19_Thai7","Muller19"
"12","NODE_4523_length_1486_cov_5.75891",TRUE,0.09906,"Muller19_Thai7_NODE_4523_length_1486_cov_5.75891","Muller19_Thai7","Muller19"
"13","NODE_4856_length_1405_cov_2.63037",TRUE,0.054954,"Muller19_Thai7_NODE_4856_length_1405_cov_2.63037","Muller19_Thai7","Muller19"
"14","NODE_5113_length_1351_cov_3.37346",TRUE,0.067342,"Muller19_Thai7_NODE_5113_length_1351_cov_3.37346","Muller19_Thai7","Muller19"
"15","NODE_5242_length_1318_cov_4.32858",TRUE,0.06206,"Muller19_Thai7_NODE_5242_length_1318_cov_4.32858","Muller19_Thai7","Muller19"
"16","NODE_5393_length_1287_cov_4.27516",TRUE,0.06554,"Muller19_Thai7_NODE_5393_length_1287_cov_4.27516","Muller19_Thai7","Muller19"
"17","NODE_5644_length_1230_cov_3.29532",TRUE,0.079096,"Muller19_Thai7_NODE_5644_length_1230_cov_3.29532","Muller19_Thai7","Muller19"
"18","NODE_5993_length_1164_cov_9.09378",TRUE,0.04732,"Muller19_Thai7_NODE_5993_length_1164_cov_9.09378","Muller19_Thai7","Muller19"
"19","NODE_6202_length_1130_cov_9.42698",TRUE,0.14513,"Muller19_Thai7_NODE_6202_length_1130_cov_9.42698","Muller19_Thai7","Muller19"
"20","NODE_6379_length_1100_cov_5.23349",TRUE,0.089871,"Muller19_Thai7_NODE_6379_length_1100_cov_5.23349","Muller19_Thai7","Muller19"
"21","NODE_7461_length_954_cov_4.20022",TRUE,0.061435,"Muller19_Thai7_NODE_7461_length_954_cov_4.20022","Muller19_Thai7","Muller19"
"22","NODE_7783_length_915_cov_5.58023",TRUE,0.111498,"Muller19_Thai7_NODE_7783_length_915_cov_5.58023","Muller19_Thai7","Muller19"
"23","NODE_8148_length_877_cov_357.526",TRUE,0.03673,"Muller19_Thai7_NODE_8148_length_877_cov_357.526","Muller19_Thai7","Muller19"
"24","NODE_8652_length_825_cov_3.08701",TRUE,0.054704,"Muller19_Thai7_NODE_8652_length_825_cov_3.08701","Muller19_Thai7","Muller19"
"25","NODE_9056_length_789_cov_2.65668",TRUE,0.038557,"Muller19_Thai7_NODE_9056_length_789_cov_2.65668","Muller19_Thai7","Muller19"
"26","NODE_9065_length_788_cov_2.86357",TRUE,0.048026,"Muller19_Thai7_NODE_9065_length_788_cov_2.86357","Muller19_Thai7","Muller19"
"27","NODE_9251_length_771_cov_1.97626",TRUE,0.036656,"Muller19_Thai7_NODE_9251_length_771_cov_1.97626","Muller19_Thai7","Muller19"
"28","NODE_9449_length_756_cov_3.27817",TRUE,0.063262,"Muller19_Thai7_NODE_9449_length_756_cov_3.27817","Muller19_Thai7","Muller19"
"29","NODE_9569_length_746_cov_2.03329",TRUE,0.036238,"Muller19_Thai7_NODE_9569_length_746_cov_2.03329","Muller19_Thai7","Muller19"
"30","NODE_9603_length_743_cov_3.38808",TRUE,0.128746,"Muller19_Thai7_NODE_9603_length_743_cov_3.38808","Muller19_Thai7","Muller19"
"31","NODE_9704_length_735_cov_2.06324",TRUE,0.045167,"Muller19_Thai7_NODE_9704_length_735_cov_2.06324","Muller19_Thai7","Muller19"
"32","NODE_2693_length_1574_cov_6.15932",TRUE,0.127204,"Muller19_Thai8_NODE_2693_length_1574_cov_6.15932","Muller19_Thai8","Muller19"
"33","NODE_4541_length_1342_cov_3.68454",TRUE,0.05767,"Muller19_Thai9_NODE_4541_length_1342_cov_3.68454","Muller19_Thai9","Muller19"
"34","NODE_8779_length_815_cov_2.12105",TRUE,0.039218,"Muller19_Thai9_NODE_8779_length_815_cov_2.12105","Muller19_Thai9","Muller19"
"35","NODE_9438_length_768_cov_2.27349",TRUE,0.041651,"Muller19_Thai9_NODE_9438_length_768_cov_2.27349","Muller19_Thai9","Muller19"
"36","NODE_1382_length_5718_cov_62.7809",TRUE,5.88914,"PRJNA515743_Guna19_NODE_1382_length_5718_cov_62.7809","PRJNA515743_Guna19","Gunalan19"
"37","NODE_1633_length_5070_cov_28.1984",TRUE,2.008347,"PRJNA515743_Guna19_NODE_1633_length_5070_cov_28.1984","PRJNA515743_Guna19","Gunalan19"
"38","NODE_1755_length_4734_cov_379.691",TRUE,29.476163,"PRJNA515743_Guna19_NODE_1755_length_4734_cov_379.691","PRJNA515743_Guna19","Gunalan19"
"39","NODE_1899_length_4404_cov_156.53",TRUE,12.906094,"PRJNA515743_Guna19_NODE_1899_length_4404_cov_156.53","PRJNA515743_Guna19","Gunalan19"
"40","NODE_1981_length_4238_cov_62.0743",TRUE,4.165318,"PRJNA515743_Guna19_NODE_1981_length_4238_cov_62.0743","PRJNA515743_Guna19","Gunalan19"
"41","NODE_2040_length_4084_cov_65.8354",TRUE,4.39196,"PRJNA515743_Guna19_NODE_2040_length_4084_cov_65.8354","PRJNA515743_Guna19","Gunalan19"
"42","NODE_206_length_14478_cov_686.338",TRUE,39.551233,"PRJNA515743_Guna19_NODE_206_length_14478_cov_686.338","PRJNA515743_Guna19","Gunalan19"
