"Name","ERX2560129_ERR2541711_TPM","pir","subfam"
"NODE_1_length_16392_cov_20.4023",9.547259,FALSE,"none"
"NODE_2_length_10861_cov_13.2226",6.331312,FALSE,"none"
"NODE_3_length_9655_cov_124.688",58.585701,FALSE,"none"
"NODE_4_length_9597_cov_22.6069",11.030103,FALSE,"none"
"NODE_5_length_9097_cov_86.3208",41.296837,FALSE,"none"
"NODE_6_length_9046_cov_43.8827",22.605378,FALSE,"none"
"NODE_7_length_8939_cov_285.992",138.074909,FALSE,"none"
"NODE_8_length_8936_cov_45.577",21.867723,FALSE,"none"
"NODE_9_length_8351_cov_16.1577",7.989392,FALSE,"none"
"NODE_10_length_7828_cov_31.5281",14.937552,FALSE,"none"
"NODE_11_length_7667_cov_54.3265",24.442568,FALSE,"none"
"NODE_12_length_7261_cov_50.3993",24.100258,FALSE,"none"
"NODE_13_length_7175_cov_46.0587",22.371286,FALSE,"none"
"NODE_14_length_7097_cov_57.2394",28.39838,FALSE,"none"
"NODE_15_length_6907_cov_65.7233",32.339244,FALSE,"none"
"NODE_16_length_6848_cov_40.9148",19.737653,FALSE,"none"
"NODE_17_length_6753_cov_43.7177",21.313051,FALSE,"none"
"NODE_18_length_6691_cov_43.014",21.525009,FALSE,"none"
"NODE_19_length_6641_cov_40.2115",19.361162,FALSE,"none"
"NODE_20_length_6337_cov_53.9613",36.64107,FALSE,"none"
"NODE_21_length_6292_cov_68.1092",32.23691,FALSE,"none"
"NODE_22_length_6272_cov_35.5813",17.3127,FALSE,"none"
"NODE_23_length_6269_cov_19.3468",9.222505,FALSE,"none"
"NODE_24_length_6223_cov_91.9673",44.112856,FALSE,"none"
"NODE_25_length_6210_cov_74.8271",37.545867,FALSE,"none"
"NODE_26_length_6181_cov_49.7166",24.775218,FALSE,"none"
"NODE_27_length_6110_cov_59.3301",28.48227,FALSE,"none"
"NODE_28_length_6042_cov_19.3067",8.988828,FALSE,"none"
"NODE_29_length_6039_cov_432.434",180.815051,FALSE,"none"
"NODE_30_length_6023_cov_142.187",68.119595,FALSE,"none"
"NODE_31_length_6001_cov_32.4549",15.067502,FALSE,"none"
"NODE_32_length_5979_cov_17.475",8.630646,FALSE,"none"
