"Name","ERX2560132_ERR2541714_TPM","pir","subfam"
"NODE_1_length_7666_cov_56.156",35.883689,FALSE,"noCluster"
"NODE_2_length_6048_cov_74.5268",50.046163,FALSE,"noCluster"
"NODE_3_length_4567_cov_10.6935",6.918388,FALSE,"noCluster"
"NODE_4_length_3451_cov_13.6069",9.487834,FALSE,"noCluster"
"NODE_5_length_2927_cov_26.5167",18.068542,FALSE,"noCluster"
"NODE_6_length_2785_cov_100.63",67.532929,FALSE,"noCluster"
"NODE_7_length_2646_cov_7.18448",4.515619,FALSE,"noCluster"
"NODE_8_length_2403_cov_12.2066",8.851083,FALSE,"noCluster"
"NODE_9_length_2371_cov_7.53627",5.123682,FALSE,"noCluster"
"NODE_10_length_2243_cov_12.4474",8.129785,FALSE,"noCluster"
"NODE_11_length_2224_cov_8.84417",5.695967,FALSE,"noCluster"
"NODE_12_length_1916_cov_11.3401",8.348371,FALSE,"noCluster"
"NODE_13_length_1888_cov_76.0098",26.067567,FALSE,"noCluster"
"NODE_14_length_1873_cov_3.92354",2.516228,FALSE,"noCluster"
"NODE_15_length_1830_cov_53.3076",41.096425,FALSE,"noCluster"
"NODE_16_length_1808_cov_12.397",10.13278,FALSE,"noCluster"
"NODE_17_length_1782_cov_72.1673",59.503026,FALSE,"noCluster"
"NODE_18_length_1649_cov_5.05772",3.253934,FALSE,"noCluster"
"NODE_19_length_1628_cov_3.91545",2.640271,FALSE,"noCluster"
"NODE_20_length_1626_cov_8.16741",6.46265,FALSE,"noCluster"
"NODE_21_length_1607_cov_19.5548",13.539876,FALSE,"noCluster"
"NODE_22_length_1606_cov_4.33011",5.360115,FALSE,"noCluster"
"NODE_23_length_1592_cov_11.9375",9.020294,FALSE,"noCluster"
"NODE_24_length_1587_cov_4.1299",3.017231,FALSE,"noCluster"
"NODE_25_length_1529_cov_10.4871",7.781868,FALSE,"noCluster"
"NODE_26_length_1520_cov_8.83891",6.415566,FALSE,"noCluster"
"NODE_27_length_1507_cov_83.3271",70.773371,FALSE,"noCluster"
"NODE_28_length_1498_cov_9.47748",7.398039,FALSE,"noCluster"
"NODE_29_length_1474_cov_7.51374",5.649134,FALSE,"noCluster"
"NODE_30_length_1459_cov_7.68447",5.465468,FALSE,"noCluster"
"NODE_31_length_1443_cov_15.8854",7.563483,FALSE,"noCluster"
"NODE_32_length_1440_cov_11.8982",7.937591,FALSE,"noCluster"
"NODE_33_length_1406_cov_4.82531",3.36594,FALSE,"noCluster"
"NODE_34_length_1404_cov_77.7576",80.22273,FALSE,"noCluster"
"NODE_35_length_1368_cov_25.2498",27.2345,FALSE,"noCluster"
"NODE_36_length_1365_cov_41.4641",28.999827,FALSE,"noCluster"
"NODE_37_length_1337_cov_31.7995",22.922737,FALSE,"noCluster"
"NODE_38_length_1332_cov_4.5928",3.118213,FALSE,"noCluster"
"NODE_39_length_1329_cov_97.9372",77.156985,FALSE,"noCluster"
"NODE_40_length_1319_cov_107.155",58.363989,FALSE,"noCluster"
"NODE_41_length_1307_cov_59.4625",41.506825,FALSE,"noCluster"
"NODE_42_length_1298_cov_7.79324",6.232366,FALSE,"noCluster"
"NODE_43_length_1240_cov_15.8624",10.641926,FALSE,"noCluster"
"NODE_44_length_1225_cov_10.341",9.983735,FALSE,"noCluster"
"NODE_45_length_1208_cov_11.8317",8.476743,FALSE,"noCluster"
"NODE_46_length_1201_cov_75.4293",59.930133,FALSE,"noCluster"
"NODE_47_length_1185_cov_29.1274",20.739605,FALSE,"noCluster"
"NODE_48_length_1175_cov_3.3875",2.749968,FALSE,"noCluster"
"NODE_49_length_1174_cov_4.25112",3.070269,FALSE,"noCluster"
"NODE_50_length_1171_cov_3.74462",2.973113,FALSE,"noCluster"
"NODE_51_length_1167_cov_6.00899",4.264019,FALSE,"noCluster"
"NODE_52_length_1167_cov_10.4964",15.136379,FALSE,"noCluster"
"NODE_53_length_1166_cov_13.2556",10.243724,FALSE,"noCluster"
"NODE_54_length_1162_cov_8.82927",6.213393,FALSE,"noCluster"
"NODE_55_length_1147_cov_14.7821",16.416473,FALSE,"noCluster"
"NODE_56_length_1143_cov_4.84007",3.494111,FALSE,"noCluster"
"NODE_57_length_1132_cov_4.54875",4.196013,FALSE,"noCluster"
"NODE_58_length_1129_cov_5.38268",3.764603,FALSE,"noCluster"
"NODE_59_length_1126_cov_18.8198",12.885433,FALSE,"noCluster"
"NODE_60_length_1123_cov_6.83521",5.348353,FALSE,"noCluster"
"NODE_61_length_1119_cov_8.50094",6.265519,FALSE,"noCluster"
"NODE_62_length_1112_cov_4.01892",2.930171,FALSE,"noCluster"
"NODE_63_length_1102_cov_2.96848",2.96097,FALSE,"noCluster"
"NODE_64_length_1083_cov_10.3482",7.553267,FALSE,"noCluster"
"NODE_65_length_1077_cov_15.8288",7.355928,FALSE,"noCluster"
"NODE_66_length_1075_cov_7.34216",5.743279,FALSE,"noCluster"
"NODE_67_length_1073_cov_27.7554",21.261979,FALSE,"noCluster"
"NODE_68_length_1069_cov_3.87377",2.831412,FALSE,"noCluster"
"NODE_69_length_1066_cov_7.78635",5.444659,FALSE,"noCluster"
"NODE_70_length_1066_cov_12.5539",8.877161,FALSE,"noCluster"
