"Name","SRX2884279_SRR5646668_TPM","pir","subfam"
"NODE_1_length_6750_cov_4466.38",0,FALSE,"none"
"NODE_2_length_5441_cov_221316",1606.478396,FALSE,"none"
"NODE_3_length_4679_cov_7804.71",165.723745,FALSE,"none"
"NODE_4_length_4291_cov_2192.5",0.000547,FALSE,"none"
"NODE_5_length_4203_cov_2293.48",41.621617,FALSE,"none"
"NODE_6_length_4152_cov_4595.39",0.030537,FALSE,"none"
"NODE_7_length_3980_cov_16180.2",303.977105,FALSE,"none"
"NODE_8_length_3900_cov_22379.9",406.426531,FALSE,"none"
"NODE_9_length_3503_cov_11288.8",0.247677,FALSE,"none"
"NODE_10_length_3482_cov_26936.1",0.004088,FALSE,"none"
"NODE_11_length_3452_cov_11059.2",0.000685,FALSE,"none"
"NODE_12_length_3435_cov_9525.64",0.000689,FALSE,"none"
"NODE_13_length_3420_cov_17996.6",0,FALSE,"none"
"NODE_14_length_3368_cov_1568.5",0.113208,FALSE,"none"
"NODE_15_length_3366_cov_3608.19",0.223743,FALSE,"none"
"NODE_16_length_3335_cov_1871.13",36.387768,FALSE,"none"
"NODE_17_length_3240_cov_6948.61",5.278105,FALSE,"none"
"NODE_18_length_3239_cov_464.323",6.85614,FALSE,"none"
"NODE_19_length_3229_cov_18765.9",354.342592,FALSE,"none"
"NODE_20_length_3162_cov_5488.61",0.951021,FALSE,"none"
"NODE_21_length_3125_cov_7920.33",0.104954,FALSE,"none"
"NODE_22_length_3097_cov_2008.12",0,FALSE,"none"
"NODE_23_length_3082_cov_2923.79",55.305656,FALSE,"none"
"NODE_24_length_3031_cov_6178.05",112.689341,FALSE,"none"
"NODE_25_length_3008_cov_25604",485.248197,FALSE,"none"
"NODE_26_length_2995_cov_4105.54",77.595092,FALSE,"none"
"NODE_27_length_2923_cov_4270.83",79.368679,FALSE,"none"
"NODE_28_length_2915_cov_3170.75",59.541466,FALSE,"none"
"NODE_29_length_2885_cov_2450.03",0,FALSE,"none"
"NODE_30_length_2859_cov_4240.01",79.220746,FALSE,"none"
