"Name","SRX5158494_SRR8347533_TPM","pir","subfam"
"NODE_1119_length_55_cov_11.4545",319.219797,FALSE,"noCluster"
"NODE_1120_length_55_cov_3.72727",478.829696,FALSE,"noCluster"
"NODE_1121_length_55_cov_3.77273",319.219797,FALSE,"noCluster"
"NODE_1122_length_55_cov_4.5",159.609899,FALSE,"noCluster"
"NODE_1123_length_55_cov_8.18182",0,FALSE,"noCluster"
"NODE_1125_length_55_cov_3.95455",319.219797,FALSE,"noCluster"
"NODE_1126_length_55_cov_2.72727",319.219797,FALSE,"noCluster"
"NODE_1127_length_55_cov_3.09091",0,FALSE,"noCluster"
"NODE_1128_length_55_cov_28.5909",638.439594,FALSE,"noCluster"
"NODE_1129_length_55_cov_7.72727",0,FALSE,"noCluster"
"NODE_1130_length_55_cov_1.54545",0,FALSE,"noCluster"
"NODE_1132_length_55_cov_1.54545",0,FALSE,"noCluster"
"NODE_1133_length_55_cov_3.09091",0,FALSE,"noCluster"
"NODE_1134_length_55_cov_15.4545",798.049493,FALSE,"noCluster"
"NODE_1135_length_55_cov_1.54545",0,FALSE,"noCluster"
"NODE_1136_length_55_cov_3.09091",319.219797,FALSE,"noCluster"
"NODE_1137_length_55_cov_1.72727",0,FALSE,"noCluster"
"NODE_1138_length_55_cov_8.59091",0,FALSE,"noCluster"
"NODE_1139_length_55_cov_6",0,FALSE,"noCluster"
"NODE_1140_length_55_cov_5.59091",0,FALSE,"noCluster"
"NODE_1141_length_55_cov_1.5",159.609899,FALSE,"noCluster"
"NODE_1142_length_55_cov_7.18182",0,FALSE,"noCluster"
"NODE_1143_length_55_cov_2.68182",0,FALSE,"noCluster"
"NODE_1144_length_55_cov_56.2727",1276.879189,FALSE,"noCluster"
"NODE_1146_length_55_cov_70.2727",2553.758378,FALSE,"noCluster"
"NODE_1147_length_55_cov_2",319.219797,FALSE,"noCluster"
"NODE_1148_length_55_cov_13.6364",0,FALSE,"noCluster"
"NODE_1149_length_55_cov_30.4545",0,FALSE,"noCluster"
"NODE_1152_length_54_cov_6.09524",0,FALSE,"noCluster"
"NODE_1153_length_54_cov_3.71429",0,FALSE,"noCluster"
"NODE_1154_length_54_cov_2.95238",0,FALSE,"noCluster"
"NODE_1155_length_54_cov_3.04762",333.712604,FALSE,"noCluster"
"NODE_1156_length_54_cov_6.47619",166.856302,FALSE,"noCluster"
"NODE_1157_length_54_cov_4.04762",834.281511,FALSE,"noCluster"
"NODE_1158_length_54_cov_4.85714",0,FALSE,"noCluster"
"NODE_1159_length_54_cov_14.5714",500.568907,FALSE,"noCluster"
"NODE_1160_length_54_cov_3.2381",333.712604,FALSE,"noCluster"
"NODE_1161_length_54_cov_3.2381",0,FALSE,"noCluster"
"NODE_1162_length_54_cov_3.2381",166.856302,FALSE,"noCluster"
"NODE_1163_length_54_cov_0.809524",166.856302,FALSE,"noCluster"
"NODE_1164_length_54_cov_4.85714",500.568907,FALSE,"noCluster"
"NODE_1166_length_54_cov_7.90476",0,FALSE,"noCluster"
"NODE_1168_length_53_cov_8.7",351.901579,FALSE,"noCluster"
"NODE_1169_length_53_cov_33.5",1583.557107,FALSE,"noCluster"
"NODE_1170_length_53_cov_3.85",1055.704738,FALSE,"noCluster"
"NODE_1171_length_53_cov_11.5",527.852369,FALSE,"noCluster"
"NODE_1172_length_53_cov_7.45",1935.458687,FALSE,"noCluster"
"NODE_1173_length_53_cov_1.65",351.901579,FALSE,"noCluster"
"NODE_1174_length_53_cov_1.55",0,FALSE,"noCluster"
"NODE_1175_length_53_cov_0.85",175.95079,FALSE,"noCluster"
"NODE_1176_length_53_cov_14.45",0,FALSE,"noCluster"
"NODE_1177_length_53_cov_2.4",0,FALSE,"noCluster"
"NODE_1178_length_53_cov_37.5",1055.704738,FALSE,"noCluster"
"NODE_1179_length_52_cov_40.6316",0,FALSE,"noCluster"
"NODE_1180_length_52_cov_3.57895",0,FALSE,"noCluster"
"NODE_1181_length_52_cov_0.894737",187.679975,FALSE,"noCluster"
"NODE_1182_length_52_cov_3.57895",0,FALSE,"noCluster"
"NODE_1183_length_52_cov_7.15789",750.719901,FALSE,"noCluster"
"NODE_1186_length_51_cov_6.22222",1408.791745,FALSE,"noCluster"
"NODE_1187_length_51_cov_3.22222",805.023854,FALSE,"noCluster"
"NODE_1188_length_51_cov_4.44444",1006.279818,FALSE,"noCluster"
"NODE_1189_length_51_cov_8.44444",0,FALSE,"noCluster"
"NODE_1190_length_51_cov_2.83333",603.767891,FALSE,"noCluster"
"NODE_1191_length_51_cov_18.3333",0,FALSE,"noCluster"
"NODE_1192_length_51_cov_3.88889",1006.279818,FALSE,"noCluster"
"NODE_1193_length_51_cov_0.722222",201.255964,FALSE,"noCluster"
"NODE_1194_length_51_cov_1.88889",402.511927,FALSE,"noCluster"
"NODE_1195_length_51_cov_4.72222",1006.279818,FALSE,"noCluster"
"NODE_1196_length_51_cov_0.944444",201.255964,FALSE,"noCluster"
"NODE_1197_length_51_cov_1.88889",402.511927,FALSE,"noCluster"
"NODE_1198_length_51_cov_7.55556",0,FALSE,"noCluster"
"NODE_1199_length_51_cov_2",201.255964,FALSE,"noCluster"
"NODE_1201_length_51_cov_2.66667",0,FALSE,"noCluster"
"NODE_1202_length_51_cov_6.38889",1610.047709,FALSE,"noCluster"
"NODE_1203_length_51_cov_4.88889",1006.279818,FALSE,"noCluster"
"NODE_1204_length_51_cov_6.83333",1207.535782,FALSE,"noCluster"
"NODE_1205_length_51_cov_4.88889",0,FALSE,"noCluster"
"NODE_1206_length_51_cov_21",0,FALSE,"noCluster"
"NODE_1207_length_51_cov_5.55556",2012.559636,FALSE,"noCluster"
"NODE_1209_length_50_cov_13.1176",0,FALSE,"noCluster"
"NODE_1211_length_50_cov_6",1295.42439,FALSE,"noCluster"
"NODE_1212_length_50_cov_2",0,FALSE,"noCluster"
"NODE_1213_length_50_cov_44.8235",431.80813,FALSE,"noCluster"
"NODE_1214_length_50_cov_32.4118",647.712195,FALSE,"noCluster"
"NODE_1215_length_50_cov_14.0588",2374.944714,FALSE,"noCluster"
"NODE_1216_length_50_cov_62.1765",1727.23252,FALSE,"noCluster"
"NODE_1217_length_49_cov_6.875",0,FALSE,"noCluster"
