"Name","SRX5158512_SRR8347515_TPM","SRX5158513_SRR8347514_TPM","pir","subfam"
"NODE_1_length_6162_cov_6.67319",1.300867,3.609987,FALSE,"noCluster"
"NODE_2_length_5974_cov_4.53543",0,0.503686,FALSE,"noCluster"
"NODE_3_length_5662_cov_4.16788",15.17575,56.753195,FALSE,"noCluster"
"NODE_4_length_5419_cov_1060.97",3816.502649,4072.359468,FALSE,"noCluster"
"NODE_5_length_5116_cov_13.6398",0,0,FALSE,"noCluster"
"NODE_6_length_5110_cov_4.87887",0,0.11842,FALSE,"noCluster"
"NODE_7_length_4796_cov_4.81692",16.453262,66.721377,FALSE,"noCluster"
"NODE_8_length_4483_cov_4.3173",14.960272,60.003163,FALSE,"noCluster"
"NODE_9_length_4446_cov_8.09857",37.21739,102.390483,FALSE,"noCluster"
"NODE_10_length_4377_cov_4.33932",11.256821,64.851622,FALSE,"noCluster"
"NODE_11_length_3858_cov_9.23974",0,0,FALSE,"noCluster"
"NODE_12_length_3823_cov_5.15646",0,0,FALSE,"noCluster"
"NODE_13_length_3808_cov_7.04556",0,0.16101,FALSE,"noCluster"
"NODE_14_length_3787_cov_36.6548",0.270277,0,FALSE,"noCluster"
"NODE_15_length_3725_cov_4.40303",1.395566,3.392004,FALSE,"noCluster"
"NODE_16_length_3687_cov_3.96689",0.695071,0.333154,FALSE,"noCluster"
"NODE_17_length_3685_cov_6.5523",0,0,FALSE,"noCluster"
"NODE_18_length_3627_cov_5.19616",15.842182,75.42007,FALSE,"noCluster"
"NODE_19_length_3562_cov_6.98838",46.715247,74.45448,FALSE,"noCluster"
"NODE_20_length_3507_cov_3.25619",0,0.526832,FALSE,"noCluster"
"NODE_21_length_3482_cov_70.4941",1.18158,0.53083,FALSE,"noCluster"
"NODE_22_length_3462_cov_4.31729",15.306118,59.638132,FALSE,"noCluster"
"NODE_23_length_3428_cov_4.75228",14.265994,70.877576,FALSE,"noCluster"
"NODE_24_length_3326_cov_3.59581",8.528765,59.622326,FALSE,"noCluster"
"NODE_25_length_3316_cov_4.17667",0,0,FALSE,"noCluster"
"NODE_26_length_3306_cov_23.7097",0.312134,1.308515,FALSE,"noCluster"
"NODE_27_length_3283_cov_5.40689",26.257635,62.829245,FALSE,"noCluster"
"NODE_28_length_3279_cov_9.41836",57.778873,102.57435,FALSE,"noCluster"
"NODE_29_length_3244_cov_4.85332",0,0,FALSE,"noCluster"
"NODE_30_length_3187_cov_4.27584",0,0,FALSE,"noCluster"
"NODE_31_length_3154_cov_10.4614",42.501341,139.718455,FALSE,"noCluster"
"NODE_32_length_3149_cov_29.8517",0,0,FALSE,"noCluster"
"NODE_33_length_3126_cov_21.431",106.856,269.204995,FALSE,"noCluster"
"NODE_34_length_3084_cov_11.1065",0.504243,1.610075,FALSE,"noCluster"
"NODE_35_length_3096_cov_4.79849",17.910137,65.339825,TRUE,"C_2"
"NODE_36_length_3052_cov_9.54654",43.341568,121.494232,FALSE,"noCluster"
"NODE_37_length_3025_cov_7.89372",7.893207,18.28457,FALSE,"noCluster"
"NODE_38_length_2977_cov_4.83084",19.724999,64.36589,FALSE,"noCluster"
"NODE_39_length_2933_cov_4.98621",0,0,FALSE,"noCluster"
"NODE_40_length_2931_cov_9.36818",37.669345,126.138089,FALSE,"noCluster"
"NODE_41_length_2883_cov_15.4225",25.655632,257.359823,FALSE,"noCluster"
"NODE_42_length_2876_cov_6.18572",0.3664,2.631349,FALSE,"noCluster"
"NODE_43_length_2868_cov_5.37319",0,0.652437,FALSE,"noCluster"
"NODE_44_length_2861_cov_9.44873",0,0,TRUE,"noCluster"
"NODE_45_length_2847_cov_3.71215",11.354108,55.895133,FALSE,"noCluster"
"NODE_46_length_2840_cov_13.6612",0,0,TRUE,"noCluster"
"NODE_47_length_2834_cov_3.0975",16.747154,37.66676,FALSE,"noCluster"
"NODE_48_length_2824_cov_7.53171",0,0,FALSE,"noCluster"
"NODE_49_length_2808_cov_4.85946",0.371739,0.667378,FALSE,"noCluster"
"NODE_50_length_2787_cov_3.92411",0.374757,0.224257,FALSE,"noCluster"
"NODE_51_length_2781_cov_4.8639",1.502511,1.573428,FALSE,"noCluster"
"NODE_52_length_2764_cov_9.82937",0,0,FALSE,"noCluster"
"NODE_53_length_2753_cov_4.17978",0,0,FALSE,"noCluster"
"NODE_54_length_2732_cov_12.1853",0,0,FALSE,"noCluster"
"NODE_55_length_2732_cov_5.41497",20.867909,75.146282,FALSE,"noCluster"
"NODE_56_length_2721_cov_3.90402",0,0.230099,FALSE,"noCluster"
"NODE_57_length_2717_cov_10.3454",0,0,FALSE,"noCluster"
"NODE_58_length_2703_cov_5.63184",0,0,FALSE,"noCluster"
"NODE_59_length_2696_cov_3.81074",13.012077,56.471464,FALSE,"noCluster"
"NODE_60_length_2684_cov_3.22331",0,0,FALSE,"noCluster"
"NODE_61_length_2666_cov_5.33536",0,0,FALSE,"noCluster"
"NODE_62_length_2665_cov_9.94491",0.589958,0.470602,FALSE,"noCluster"
"NODE_63_length_2664_cov_10.0753",55.675278,118.875025,FALSE,"noCluster"
"NODE_64_length_2645_cov_5.55015",0,1.186081,FALSE,"noCluster"
"NODE_65_length_2632_cov_5.33474",7.374882,85.852066,FALSE,"noCluster"
"NODE_66_length_2628_cov_6.70713",0,5.255115,FALSE,"noCluster"
"NODE_67_length_2627_cov_17.5096",84.087083,210.051826,FALSE,"noCluster"
"NODE_68_length_2627_cov_5.16962",21.571033,70.734176,FALSE,"noCluster"
"NODE_69_length_2626_cov_4.95218",25.786507,61.940604,FALSE,"noCluster"
"NODE_70_length_2613_cov_4.73953",15.669472,68.018004,FALSE,"noCluster"
"NODE_71_length_2611_cov_4.91427",1.211369,5.313912,FALSE,"noCluster"
"NODE_72_length_2607_cov_2.83256",11.479313,38.502903,FALSE,"noCluster"
"NODE_73_length_2604_cov_8.92688",6.654212,13.750769,FALSE,"noCluster"
"NODE_74_length_2603_cov_18.3883",104.897888,198.865355,TRUE,"unassigned_3"
"NODE_75_length_2598_cov_3.65068",0,0,FALSE,"noCluster"
"NODE_76_length_2595_cov_15.847",0,0,FALSE,"noCluster"
"NODE_77_length_2594_cov_4.41195",17.81869,61.287771,FALSE,"noCluster"
"NODE_78_length_2593_cov_24.2293",107.361959,320.137575,FALSE,"noCluster"
"NODE_79_length_2590_cov_11.1576",0,0,FALSE,"noCluster"
"NODE_80_length_2588_cov_4.29041",20.299389,56.430814,FALSE,"noCluster"
"NODE_81_length_2550_cov_6.236",0,0,FALSE,"noCluster"
"NODE_82_length_2547_cov_7.39419",0.20654,0,FALSE,"noCluster"
"NODE_83_length_2530_cov_5.37685",0,0.74659,FALSE,"noCluster"
"NODE_84_length_2523_cov_14.5948",0,0.249609,FALSE,"noCluster"
"NODE_85_length_2512_cov_5.2025",0,0,FALSE,"noCluster"
"NODE_86_length_2504_cov_5.36706",1.26237,5.03314,FALSE,"noCluster"
"NODE_87_length_2492_cov_5.59618",19.457694,76.396225,TRUE,"E"
"NODE_88_length_2489_cov_3.90554",0,0,FALSE,"noCluster"
"NODE_89_length_2488_cov_6.90631",0,0.253408,FALSE,"noCluster"
"NODE_90_length_2484_cov_3.97348",16.342288,55.592927,FALSE,"noCluster"
"NODE_91_length_2482_cov_2.34381",0,0,FALSE,"noCluster"
"NODE_92_length_2474_cov_5.19377",0.213171,1.529756,FALSE,"noCluster"
"NODE_93_length_2462_cov_5.53232",0,0,FALSE,"noCluster"
"NODE_94_length_2461_cov_4.35873",0,0,FALSE,"noCluster"
"NODE_95_length_2439_cov_5.04821",0.866013,0,FALSE,"noCluster"
"NODE_96_length_2419_cov_8.96354",10.922739,26.124423,FALSE,"noCluster"
"NODE_97_length_2377_cov_5.75256",26.275009,76.415544,FALSE,"noCluster"
"NODE_98_length_2371_cov_3.11121",16.299804,40.849163,FALSE,"noCluster"
"NODE_99_length_2358_cov_4.18065",17.296522,56.671925,FALSE,"noCluster"
"NODE_100_length_2346_cov_2.96844",9.035452,44.887074,FALSE,"noCluster"
"NODE_101_length_2344_cov_29.9377",0.452194,0.810994,FALSE,"noCluster"
"NODE_102_length_2342_cov_5.40104",26.025437,68.457304,FALSE,"noCluster"
"NODE_103_length_2341_cov_10.7821",64.301535,114.509439,FALSE,"noCluster"
"NODE_104_length_2335_cov_5.67854",0,0,FALSE,"noCluster"
"NODE_105_length_2313_cov_4.98553",0,0,FALSE,"noCluster"
"NODE_106_length_2311_cov_3.44469",2.525948,1.647197,FALSE,"noCluster"
"NODE_107_length_2291_cov_7.46368",39.380877,91.817668,FALSE,"noCluster"
"NODE_108_length_2277_cov_16.8458",0.233391,1.395004,FALSE,"noCluster"
"NODE_109_length_2262_cov_11.9121",59.007282,154.56012,FALSE,"noCluster"
"NODE_110_length_2246_cov_4.42793",19.191111,63.154267,FALSE,"noCluster"
"NODE_111_length_2242_cov_5.02218",22.552186,67.249806,FALSE,"noCluster"
"NODE_112_length_2227_cov_27.2101",92.072077,399.606718,FALSE,"noCluster"
"NODE_113_length_2214_cov_70.144",223.12148,1043.111989,FALSE,"noCluster"
"NODE_114_length_2205_cov_59.4351",0,0,FALSE,"noCluster"
"NODE_115_length_2199_cov_6.72345",39.769703,76.222986,FALSE,"noCluster"
"NODE_116_length_2197_cov_27.7957",0.485482,1.450549,FALSE,"noCluster"
"NODE_117_length_2185_cov_2.8513",11.477804,34.146783,FALSE,"noCluster"
"NODE_118_length_2183_cov_5.61349",0,1.168582,FALSE,"noCluster"
"NODE_119_length_2181_cov_13.9749",62.15424,191.547247,FALSE,"noCluster"
"NODE_120_length_2178_cov_4.68392",27.131678,49.240865,FALSE,"noCluster"
"NODE_121_length_2175_cov_13.704",0,0,FALSE,"noCluster"
"NODE_122_length_2163_cov_31.0437",0,0,FALSE,"noCluster"
"NODE_123_length_2162_cov_6.7008",2.470716,7.086073,FALSE,"noCluster"
"NODE_124_length_2159_cov_101.14",0.74235,0.887107,FALSE,"noCluster"
"NODE_125_length_2147_cov_4.90492",7.469254,84.791365,FALSE,"noCluster"
"NODE_126_length_2143_cov_4.40616",0,0,FALSE,"noCluster"
"NODE_127_length_2140_cov_3.76792",11.494184,61.806135,FALSE,"noCluster"
"NODE_128_length_2137_cov_4.03042",0,0,TRUE,"noCluster"
"NODE_129_length_2130_cov_5.22079",16.828278,74.729355,FALSE,"noCluster"
"NODE_130_length_2125_cov_4.34082",0.503641,0.300892,FALSE,"noCluster"
"NODE_131_length_2117_cov_3.84213",0,0.60428,FALSE,"noCluster"
"NODE_132_length_2106_cov_4.93102",0,0.303873,FALSE,"noCluster"
"NODE_133_length_2101_cov_6.72969",37.230023,82.260055,FALSE,"noCluster"
"NODE_134_length_2086_cov_12.5363",0,0.614149,FALSE,"noCluster"
"NODE_135_length_2084_cov_3.7606",0,0.307398,FALSE,"noCluster"
"NODE_136_length_2081_cov_2.86328",13.586132,39.564955,FALSE,"noCluster"
"NODE_137_length_2078_cov_3.4132",13.422414,51.661761,FALSE,"noCluster"
"NODE_138_length_2072_cov_3.77734",8.545374,60.015079,FALSE,"noCluster"
"NODE_139_length_2069_cov_2.51817",0,0,FALSE,"noCluster"
"NODE_140_length_2066_cov_4.3394",0,0.310344,FALSE,"noCluster"
"NODE_141_length_2066_cov_4.51451",0,0.931033,FALSE,"noCluster"
"NODE_142_length_2064_cov_4.06696",14.563481,52.504102,FALSE,"noCluster"
"NODE_143_length_2063_cov_14.7128",0,0.621682,FALSE,"noCluster"
"NODE_144_length_2043_cov_14.7716",0.263026,0,FALSE,"noCluster"
