"Name","SRX5158508_SRR8347519_TPM","SRX5158516_SRR8347511_TPM","pir","subfam"
"NODE_1_length_34742_cov_25.9892",22.32147,38.203099,FALSE,"noCluster"
"NODE_2_length_32503_cov_23.0679",12.519429,13.579133,FALSE,"noCluster"
"NODE_3_length_30605_cov_22.3445",8.598212,9.750186,FALSE,"noCluster"
"NODE_4_length_24625_cov_14.334",5.255428,2.667484,FALSE,"noCluster"
"NODE_5_length_23915_cov_29.7728",17.300614,20.616013,FALSE,"noCluster"
"NODE_6_length_22161_cov_49.3351",12.481454,5.776284,FALSE,"noCluster"
"NODE_7_length_20701_cov_17.982",0.494509,0.320581,FALSE,"noCluster"
"NODE_8_length_19715_cov_42.2815",36.868439,43.233951,FALSE,"noCluster"
"NODE_9_length_19601_cov_20.2531",5.69183,8.722514,FALSE,"noCluster"
"NODE_10_length_19481_cov_18.2061",18.80894,22.855891,FALSE,"noCluster"
"NODE_11_length_19469_cov_12.7507",0.190725,0.272845,FALSE,"noCluster"
"NODE_12_length_18835_cov_5.87395",6.016004,7.564257,FALSE,"noCluster"
"NODE_13_length_18589_cov_10.8115",2.607029,2.433339,FALSE,"noCluster"
"NODE_14_length_18087_cov_14.6124",14.769427,16.91764,FALSE,"noCluster"
"NODE_15_length_18032_cov_15.9992",7.293405,9.544337,FALSE,"noCluster"
"NODE_16_length_17601_cov_30.7753",27.044975,24.847628,FALSE,"noCluster"
"NODE_17_length_17598_cov_25.0143",13.702492,11.55727,FALSE,"noCluster"
"NODE_18_length_17334_cov_40.9467",33.687248,46.403649,FALSE,"noCluster"
"NODE_19_length_16943_cov_26.8222",27.06204,38.616618,FALSE,"noCluster"
"NODE_20_length_16808_cov_29.1868",27.157248,34.767163,FALSE,"noCluster"
"NODE_21_length_16804_cov_20.9756",6.083886,8.98299,FALSE,"noCluster"
"NODE_22_length_16342_cov_24.6132",14.305298,10.827201,FALSE,"noCluster"
"NODE_23_length_16228_cov_35.9387",12.014522,12.15437,FALSE,"noCluster"
"NODE_24_length_16178_cov_49.1349",29.207432,35.205335,FALSE,"noCluster"
"NODE_25_length_16041_cov_24.5485",9.063344,8.792944,FALSE,"noCluster"
"NODE_26_length_15860_cov_52.8893",38.858067,72.54819,FALSE,"noCluster"
"NODE_27_length_15713_cov_42.4752",36.64147,26.364059,FALSE,"noCluster"
"NODE_28_length_15592_cov_37.249",27.178069,29.066333,FALSE,"noCluster"
"NODE_29_length_15129_cov_11.5984",2.963674,4.862695,FALSE,"noCluster"
"NODE_30_length_15080_cov_50.1059",15.792311,20.066701,FALSE,"noCluster"
"NODE_31_length_15031_cov_14.5851",3.160962,4.008847,FALSE,"noCluster"
"NODE_32_length_14959_cov_114.755",18.797038,19.534932,FALSE,"noCluster"
"NODE_33_length_14865_cov_22.082",18.679575,16.178737,FALSE,"noCluster"
"NODE_34_length_14830_cov_13.4961",11.343808,6.870367,FALSE,"noCluster"
"NODE_35_length_14774_cov_35.1951",31.036683,52.807416,FALSE,"noCluster"
"NODE_36_length_14731_cov_31.734",17.779585,23.305675,FALSE,"noCluster"
"NODE_37_length_14467_cov_5.48386",0.535729,0.023069,FALSE,"noCluster"
"NODE_38_length_14352_cov_19.6931",13.013145,14.923637,FALSE,"noCluster"
"NODE_39_length_14338_cov_37.5692",31.843862,26.058212,FALSE,"noCluster"
"NODE_40_length_14268_cov_37.1158",10.146759,10.275855,FALSE,"noCluster"
"NODE_41_length_14178_cov_28.3876",3.278034,3.994637,FALSE,"noCluster"
"NODE_42_length_14158_cov_20.362",4.840369,2.941436,FALSE,"noCluster"
"NODE_43_length_14149_cov_24.0555",8.506132,6.788592,FALSE,"noCluster"
"NODE_44_length_14142_cov_14.9052",16.564408,12.132599,FALSE,"noCluster"
"NODE_45_length_14142_cov_20.6002",9.488031,12.156158,FALSE,"noCluster"
"NODE_46_length_13944_cov_4.93444",5.20803,6.452272,FALSE,"noCluster"
"NODE_47_length_13593_cov_14.3308",13.719889,16.650542,FALSE,"noCluster"
"NODE_48_length_13593_cov_251.516",4.727267,2.893668,FALSE,"noCluster"
"NODE_49_length_13542_cov_9.70553",0.653265,0.689254,FALSE,"noCluster"
"NODE_50_length_13421_cov_12.2711",13.330734,13.09154,FALSE,"noCluster"
"NODE_51_length_13414_cov_31.4367",33.085143,42.401379,FALSE,"noCluster"
"NODE_52_length_13403_cov_25.7687",1.665589,1.641746,FALSE,"noCluster"
"NODE_53_length_13395_cov_28.9687",22.197077,21.728968,FALSE,"noCluster"
"NODE_54_length_13374_cov_44.0431",4.374776,5.559303,FALSE,"noCluster"
"NODE_55_length_13346_cov_14.7143",1.365923,1.060384,FALSE,"noCluster"
"NODE_56_length_13339_cov_103.416",3.697629,2.724554,FALSE,"noCluster"
"NODE_57_length_13288_cov_15.0318",0.391977,0.728535,FALSE,"noCluster"
"NODE_58_length_13145_cov_10.3441",11.163243,11.543303,FALSE,"noCluster"
"NODE_59_length_13068_cov_13.8882",4.588271,5.997542,FALSE,"noCluster"
"NODE_60_length_13013_cov_19.9291",19.220161,22.805101,FALSE,"noCluster"
"NODE_61_length_12990_cov_144.25",0.676752,0.48786,FALSE,"noCluster"
"NODE_62_length_12883_cov_9.58677",0.143148,0.103572,FALSE,"noCluster"
"NODE_63_length_12670_cov_18.1917",7.086435,8.392868,FALSE,"noCluster"
