"Name","SRX5158510_SRR8347517_TPM","SRX5158511_SRR8347516_TPM","pir","subfam"
"NODE_1_length_22745_cov_12.4506",23.083347,14.329391,FALSE,"none"
"NODE_2_length_18867_cov_10.5458",17.424677,19.070219,FALSE,"none"
"NODE_3_length_13899_cov_14.9745",34.564283,50.880837,FALSE,"none"
"NODE_4_length_13880_cov_19.468",26.660129,43.122406,FALSE,"none"
"NODE_5_length_13755_cov_14.9777",14.296685,13.582638,FALSE,"none"
"NODE_6_length_13543_cov_8.98119",21.214994,26.415158,FALSE,"none"
"NODE_7_length_13443_cov_14.6999",38.452665,37.626928,FALSE,"none"
"NODE_8_length_13404_cov_12.2205",21.439505,28.431196,FALSE,"none"
"NODE_9_length_13372_cov_5.49906",1.060494,0.47848,FALSE,"none"
"NODE_10_length_13360_cov_11.1949",10.027672,15.970713,FALSE,"none"
"NODE_11_length_13093_cov_41.8142",10.185043,11.171374,FALSE,"none"
"NODE_12_length_12957_cov_5.62156",12.503544,23.744677,FALSE,"none"
"NODE_13_length_12778_cov_12.0645",12.241644,12.702871,FALSE,"none"
"NODE_14_length_12408_cov_13.241",28.078522,19.35391,FALSE,"none"
"NODE_15_length_12358_cov_8.38105",20.604303,27.054305,FALSE,"none"
"NODE_16_length_12157_cov_11.3087",1.695557,1.69364,FALSE,"none"
"NODE_17_length_12103_cov_4.99345",7.232856,14.358845,FALSE,"none"
"NODE_18_length_12046_cov_13.9569",10.824113,4.587857,FALSE,"none"
"NODE_19_length_12034_cov_8.24906",16.891981,17.241279,FALSE,"none"
"NODE_20_length_11992_cov_16.9884",39.485174,37.016882,FALSE,"none"
"NODE_21_length_11961_cov_14.4505",18.842578,14.156963,FALSE,"none"
"NODE_22_length_11613_cov_10.6193",23.575995,42.26429,FALSE,"none"
"NODE_23_length_11397_cov_12.2948",0.047641,0.281289,FALSE,"none"
"NODE_24_length_11298_cov_15.0944",17.187975,12.567907,FALSE,"none"
"NODE_25_length_11210_cov_6.70565",11.962738,40.783055,FALSE,"none"
"NODE_26_length_11209_cov_13.9621",13.595738,14.605073,FALSE,"none"
"NODE_27_length_11188_cov_16.7139",16.204973,26.205682,FALSE,"none"
"NODE_28_length_11147_cov_11.1475",16.535484,17.399174,FALSE,"none"
"NODE_29_length_11019_cov_9.16184",12.078763,6.736641,FALSE,"none"
"NODE_30_length_10985_cov_16.2926",13.857617,14.89223,FALSE,"none"
"NODE_31_length_10969_cov_11.7002",22.281696,44.074455,FALSE,"none"
"NODE_32_length_10924_cov_8.33039",21.82863,14.808895,FALSE,"none"
"NODE_33_length_10886_cov_10.4912",29.199151,20.123945,FALSE,"none"
"NODE_34_length_10878_cov_12.5643",3.908238,2.40151,FALSE,"none"
"NODE_35_length_10800_cov_18.2894",45.221405,31.718326,FALSE,"none"
"NODE_36_length_10802_cov_5.43976",14.911138,12.22068,FALSE,"none"
"NODE_37_length_10752_cov_15.2433",7.219423,8.825115,FALSE,"none"
"NODE_38_length_10714_cov_34.7026",89.966918,53.269877,FALSE,"none"
"NODE_39_length_10690_cov_10.9128",4.118826,3.945389,FALSE,"none"
"NODE_40_length_10663_cov_18.8885",21.31361,17.198002,FALSE,"none"
"NODE_41_length_10567_cov_36.1015",72.458801,59.490413,FALSE,"none"
"NODE_42_length_10419_cov_22.9346",31.733394,20.160504,FALSE,"none"
"NODE_43_length_10367_cov_7.57616",13.888446,24.554884,FALSE,"none"
"NODE_44_length_10345_cov_16.3724",23.691131,11.439383,FALSE,"none"
"NODE_45_length_10328_cov_9.08441",9.261094,3.553032,FALSE,"none"
"NODE_46_length_10255_cov_19.3221",22.157069,20.676491,FALSE,"none"
"NODE_47_length_10230_cov_15.9294",11.458634,8.108556,FALSE,"none"
"NODE_48_length_10204_cov_20.4021",33.740875,11.91267,FALSE,"none"
"NODE_49_length_10190_cov_11.4769",27.825218,14.455425,FALSE,"none"
"NODE_50_length_10172_cov_20.1211",18.266651,21.160444,FALSE,"none"
"NODE_51_length_10104_cov_26.591",37.598264,31.335883,FALSE,"none"
"NODE_52_length_10082_cov_8.61111",8.768164,28.674525,FALSE,"none"
"NODE_53_length_10015_cov_7.97255",9.974596,16.084527,FALSE,"none"
"NODE_54_length_10007_cov_21.4578",28.659634,23.435547,FALSE,"none"
"NODE_55_length_9984_cov_7.59823",13.415689,41.916987,FALSE,"none"
"NODE_56_length_9914_cov_37.7846",0.924571,0.648198,FALSE,"none"
"NODE_57_length_9889_cov_8.65787",16.673762,24.600933,FALSE,"none"
"NODE_58_length_9847_cov_7.19238",0.221093,0.233102,FALSE,"none"
"NODE_59_length_9718_cov_37.6773",1.288461,0.897755,FALSE,"none"
"NODE_60_length_9704_cov_97.5688",263.688346,209.435982,FALSE,"none"
"NODE_61_length_9704_cov_14.5887",19.067072,22.713421,FALSE,"none"
"NODE_62_length_9690_cov_6.96251",4.423907,19.94687,FALSE,"none"
"NODE_63_length_9661_cov_18.8713",43.675965,31.075768,FALSE,"none"
"NODE_64_length_9638_cov_6.62686",0.429418,0.333546,FALSE,"none"
"NODE_65_length_9548_cov_5.70321",0.524729,0.529174,FALSE,"none"
"NODE_66_length_9538_cov_7.56286",14.2724,17.096125,FALSE,"none"
"NODE_67_length_9532_cov_12.6852",0.262813,0.385512,FALSE,"none"
"NODE_68_length_9477_cov_6.32772",0.241378,0.242369,FALSE,"none"
"NODE_69_length_9457_cov_11.3245",15.780827,13.796185,FALSE,"none"
"NODE_70_length_9350_cov_9.25985",21.861509,32.238669,FALSE,"none"
"NODE_71_length_9352_cov_19.574",0.83885,1.76881,FALSE,"none"
"NODE_72_length_9244_cov_14.1016",19.439595,16.357349,FALSE,"none"
"NODE_73_length_9238_cov_17.3445",18.943312,18.955238,FALSE,"none"
