"Name","SRX5158506_SRR8347521_TPM","SRX5158507_SRR8347520_TPM","pir","subfam"
"NODE_1_length_9475_cov_8.3244",0.091429,0,FALSE,"noCluster"
"NODE_2_length_6877_cov_3.25906",0,0,FALSE,"noCluster"
"NODE_3_length_6108_cov_14.2808",0.143416,0,FALSE,"noCluster"
"NODE_4_length_5571_cov_3.56446",76.663748,44.7029,FALSE,"noCluster"
"NODE_5_length_5419_cov_819.474",5937.271286,13960.215922,FALSE,"noCluster"
"NODE_6_length_5221_cov_20.7812",0.168683,0,FALSE,"noCluster"
"NODE_7_length_5129_cov_3.77943",81.100624,45.357833,FALSE,"noCluster"
"NODE_8_length_4525_cov_6.82324",1.174467,0,FALSE,"noCluster"
"NODE_9_length_4517_cov_10.3111",242.779473,85.89412,FALSE,"noCluster"
"NODE_10_length_4477_cov_2.96895",0,0,FALSE,"noCluster"
"NODE_11_length_4144_cov_9.65702",0.429179,0,FALSE,"noCluster"
"NODE_12_length_4079_cov_8.30153",0.654519,0,FALSE,"noCluster"
"NODE_13_length_3880_cov_4.20795",1.839424,0,FALSE,"noCluster"
"NODE_14_length_3801_cov_4.66454",0,0,FALSE,"noCluster"
"NODE_15_length_3782_cov_12.0013",0.47239,0,FALSE,"noCluster"
"NODE_16_length_3647_cov_4.10183",1.963277,0,FALSE,"noCluster"
"NODE_17_length_3533_cov_15.2855",311.944965,263.345248,FALSE,"noCluster"
"NODE_18_length_3521_cov_163.985",4031.178212,764.236895,FALSE,"noCluster"
"NODE_19_length_3499_cov_35.3359",402.352793,208.706413,FALSE,"noCluster"
"NODE_20_length_3479_cov_5.79977",148.568692,16.772633,FALSE,"noCluster"
"NODE_21_length_3445_cov_3.63159",34.662874,11.526217,FALSE,"noCluster"
"NODE_22_length_3423_cov_6.53392",153.763301,58.711553,FALSE,"noCluster"
"NODE_23_length_3383_cov_4.30925",0,0,FALSE,"noCluster"
"NODE_24_length_3363_cov_4.58228",1.069404,0,TRUE,"E"
"NODE_25_length_3360_cov_5.48632",104.365486,105.861631,FALSE,"noCluster"
"NODE_26_length_3354_cov_3.46763",75.875334,43.263483,FALSE,"noCluster"
"NODE_27_length_3349_cov_10.9334",0.268535,1.397837,FALSE,"noCluster"
"NODE_28_length_3322_cov_21.976",453.397904,314.444663,FALSE,"noCluster"
"NODE_29_length_3277_cov_14.5441",314.735891,198.673077,FALSE,"noCluster"
"NODE_30_length_3277_cov_21.4433",1.099163,0.715464,FALSE,"noCluster"
"NODE_31_length_3245_cov_3.36052",70.293158,54.128589,FALSE,"noCluster"
"NODE_32_length_3173_cov_12.8268",90.710862,45.929319,FALSE,"noCluster"
"NODE_33_length_3155_cov_4.61243",0.286084,0,TRUE,"noCluster"
"NODE_34_length_3146_cov_11.4979",273.180557,87.477135,FALSE,"noCluster"
"NODE_35_length_3141_cov_21.8999",0.28744,0.748954,FALSE,"noCluster"
