"Name","SRX5158533_SRR8347494_TPM","SRX5158534_SRR8347493_TPM","pir","subfam"
"NODE_1_length_25641_cov_9.75644",38.074707,30.631202,FALSE,"noCluster"
"NODE_2_length_24008_cov_11.563",32.702015,19.107674,FALSE,"noCluster"
"NODE_3_length_20053_cov_7.06028",33.441973,30.922252,FALSE,"noCluster"
"NODE_4_length_14904_cov_8.41107",11.461898,8.4213,FALSE,"noCluster"
"NODE_5_length_14017_cov_9.6521",14.7468,37.501851,FALSE,"noCluster"
"NODE_6_length_13980_cov_10.374",23.225532,21.297688,FALSE,"noCluster"
"NODE_7_length_13629_cov_15.4866",2.407782,2.595082,FALSE,"noCluster"
"NODE_8_length_13443_cov_10.5356",0.22062,0.069249,FALSE,"noCluster"
"NODE_9_length_13244_cov_12.7129",57.063322,56.453685,FALSE,"noCluster"
"NODE_10_length_13097_cov_16.1739",66.599646,52.047575,FALSE,"noCluster"
"NODE_11_length_13022_cov_10.8649",21.124694,24.101682,FALSE,"noCluster"
"NODE_12_length_12976_cov_9.38971",46.848709,38.040881,FALSE,"noCluster"
"NODE_13_length_12801_cov_9.05835",35.037625,26.997738,FALSE,"noCluster"
"NODE_14_length_12569_cov_11.8866",43.827477,43.21169,FALSE,"noCluster"
"NODE_15_length_12418_cov_9.48228",1.216233,0.379959,FALSE,"noCluster"
"NODE_16_length_12413_cov_18.3814",8.244516,13.88949,FALSE,"noCluster"
"NODE_17_length_12181_cov_10.9776",50.905463,34.667246,FALSE,"noCluster"
"NODE_18_length_12069_cov_10.7517",6.775813,8.497365,FALSE,"noCluster"
"NODE_19_length_11974_cov_10.2449",19.002583,7.787075,FALSE,"noCluster"
"NODE_20_length_11952_cov_4.66281",21.622868,26.915595,FALSE,"noCluster"
"NODE_21_length_11850_cov_15.0258",52.890777,25.65549,FALSE,"noCluster"
"NODE_22_length_11681_cov_11.3865",33.121576,37.211846,FALSE,"noCluster"
"NODE_23_length_11534_cov_15.9425",41.55542,25.641232,FALSE,"noCluster"
"NODE_24_length_11526_cov_7.59149",10.657479,13.436733,FALSE,"noCluster"
"NODE_25_length_11471_cov_4.00473",16.756244,31.965951,FALSE,"noCluster"
"NODE_26_length_11450_cov_11.3498",25.556241,20.209469,FALSE,"noCluster"
"NODE_27_length_11381_cov_48.5385",231.591535,223.688049,FALSE,"noCluster"
"NODE_28_length_11361_cov_12.2328",55.914909,77.0325,FALSE,"noCluster"
"NODE_29_length_11274_cov_19.0167",68.221294,70.716055,FALSE,"noCluster"
"NODE_30_length_11169_cov_5.97339",13.295963,8.607983,FALSE,"noCluster"
