"Name","SRX5158531_SRR8347496_TPM","SRX5158532_SRR8347495_TPM","pir","subfam"
"NODE_1_length_11692_cov_6.05961",0.701021,0.029818,FALSE,"noCluster"
"NODE_2_length_11401_cov_10.0208",30.466371,10.891004,FALSE,"noCluster"
"NODE_3_length_11052_cov_5.18613",12.043652,7.420474,FALSE,"noCluster"
"NODE_4_length_10129_cov_6.32716",12.048596,1.898136,FALSE,"noCluster"
"NODE_5_length_9923_cov_5.9905",10.154189,3.911939,FALSE,"noCluster"
"NODE_6_length_9760_cov_4.24139",11.818157,3.225918,FALSE,"noCluster"
"NODE_7_length_9742_cov_5.01514",1.015551,0,FALSE,"noCluster"
"NODE_8_length_9697_cov_5.41887",5.493994,3.236055,FALSE,"noCluster"
"NODE_9_length_9611_cov_63.6042",0.877619,0,FALSE,"noCluster"
"NODE_10_length_9550_cov_4.59357",12.700044,5.386657,FALSE,"noCluster"
"NODE_11_length_9473_cov_11.1523",38.61612,0.258669,FALSE,"noCluster"
"NODE_12_length_9432_cov_3.68912",0.846807,0,FALSE,"noCluster"
"NODE_13_length_9300_cov_5.11622",0.730834,0,FALSE,"noCluster"
"NODE_14_length_9213_cov_7.58693",26.601984,0.266131,FALSE,"noCluster"
"NODE_15_length_9122_cov_10.3163",2.209946,0.076813,FALSE,"noCluster"
"NODE_16_length_8991_cov_6.38681",3.875077,1.364253,FALSE,"noCluster"
"NODE_17_length_8954_cov_6.53436",1.01283,0,FALSE,"noCluster"
"NODE_18_length_8946_cov_10.1674",10.521293,3.839559,FALSE,"noCluster"
"NODE_19_length_8943_cov_6.79248",1.055454,0,FALSE,"noCluster"
"NODE_20_length_8941_cov_8.11473",2.762719,0,FALSE,"noCluster"
"NODE_21_length_8795_cov_5.53743",10.315026,4.465151,FALSE,"noCluster"
"NODE_22_length_8726_cov_11.8379",3.550343,0.28133,FALSE,"noCluster"
"NODE_23_length_8735_cov_6.42913",2.07032,0.120825,FALSE,"noCluster"
"NODE_24_length_8710_cov_6.49533",7.964056,3.060184,FALSE,"noCluster"
"NODE_25_length_8705_cov_8.51072",1.377454,0,FALSE,"noCluster"
"NODE_26_length_8701_cov_5.4745",4.473359,2.902191,FALSE,"noCluster"
"NODE_27_length_8645_cov_9.57571",4.398753,0.811509,FALSE,"noCluster"
"NODE_28_length_8563_cov_6.03189",7.398042,1.652827,FALSE,"noCluster"
"NODE_29_length_8485_cov_4.30182",1.140353,0.165436,FALSE,"noCluster"
"NODE_30_length_8422_cov_13.2187",9.25337,3.750826,FALSE,"noCluster"
"NODE_31_length_8417_cov_37.9659",122.143187,15.360488,FALSE,"noCluster"
"NODE_32_length_8292_cov_4.16455",1.282757,0,FALSE,"noCluster"
"NODE_33_length_8225_cov_5.85864",6.272722,1.665253,FALSE,"noCluster"
"NODE_34_length_8218_cov_8.0314",11.069148,7.607021,FALSE,"noCluster"
"NODE_35_length_8150_cov_5.05588",14.957301,5.861814,FALSE,"noCluster"
"NODE_36_length_8014_cov_5.32414",4.089132,1.84177,FALSE,"noCluster"
"NODE_37_length_7991_cov_7.71902",10.312767,2.726828,FALSE,"noCluster"
"NODE_38_length_7990_cov_5.80646",9.722243,1.75947,FALSE,"noCluster"
"NODE_39_length_7976_cov_5.0204",14.658006,6.609889,FALSE,"noCluster"
"NODE_40_length_7974_cov_11.2",0.585013,0,FALSE,"noCluster"
"NODE_41_length_7927_cov_4.83228",8.002191,4.922332,FALSE,"noCluster"
"NODE_42_length_7916_cov_7.89065",3.501158,0.222043,FALSE,"noCluster"
"NODE_43_length_7846_cov_9.95136",27.293924,11.15895,FALSE,"noCluster"
"NODE_44_length_7839_cov_10.5017",18.637845,9.823491,FALSE,"noCluster"
"NODE_45_length_7788_cov_7.7519",0.553198,0,FALSE,"noCluster"
"NODE_46_length_7689_cov_7.02704",18.527046,15.739532,FALSE,"noCluster"
"NODE_47_length_7587_cov_6.9305",15.514567,5.019897,FALSE,"noCluster"
"NODE_48_length_7547_cov_6.64253",9.314899,2.611765,FALSE,"noCluster"
"NODE_49_length_7543_cov_6.55739",9.399339,2.193211,FALSE,"noCluster"
"NODE_50_length_7522_cov_18.8782",9.435094,4.913778,FALSE,"noCluster"
"NODE_51_length_7458_cov_11.6316",4.789283,1.605157,FALSE,"noCluster"
"NODE_52_length_7397_cov_8.95071",16.73257,9.855392,FALSE,"noCluster"
"NODE_53_length_7354_cov_4.63885",10.575413,2.688228,FALSE,"noCluster"
"NODE_54_length_7301_cov_11.4839",12.525494,5.838754,FALSE,"noCluster"
"NODE_55_length_7212_cov_5.66444",5.198697,1.221664,FALSE,"noCluster"
"NODE_56_length_7198_cov_5.7344",15.940479,10.723182,FALSE,"noCluster"
"NODE_57_length_7189_cov_6.33454",11.224346,2.892613,FALSE,"noCluster"
"NODE_58_length_7183_cov_5.36895",2.087203,0,FALSE,"noCluster"
"NODE_59_length_7176_cov_5.7704",10.827449,3.978615,FALSE,"noCluster"
"NODE_60_length_7090_cov_7.29644",5.565593,2.635781,FALSE,"noCluster"
"NODE_61_length_7070_cov_4.32855",11.320416,6.882953,FALSE,"noCluster"
"NODE_62_length_7054_cov_5.54949",6.189881,2.59963,FALSE,"noCluster"
"NODE_63_length_6986_cov_8.25888",16.38479,8.583943,FALSE,"noCluster"
"NODE_64_length_6965_cov_31.3128",101.640374,25.22395,FALSE,"noCluster"
