"Name","SRX5158529_SRR8347498_TPM","SRX5158530_SRR8347497_TPM","pir","subfam"
"NODE_1_length_5877_cov_14.3229",302.995493,231.24039,FALSE,"none"
"NODE_2_length_5692_cov_17.7945",0,0,FALSE,"none"
"NODE_3_length_5419_cov_1284.71",4619.264902,7098.238269,FALSE,"none"
"NODE_4_length_5039_cov_12.8474",0.563526,0.213613,FALSE,"none"
"NODE_5_length_4913_cov_6.88443",197.875831,77.651818,FALSE,"none"
"NODE_6_length_4429_cov_3.56051",0,0,FALSE,"none"
"NODE_7_length_4398_cov_7.30172",25.818703,13.553817,FALSE,"none"
"NODE_8_length_4388_cov_4.98324",89.867651,35.84874,FALSE,"none"
"NODE_9_length_4350_cov_8.4612",121.387369,92.241485,FALSE,"none"
"NODE_10_length_4304_cov_7.55795",121.796574,97.687344,FALSE,"none"
"NODE_11_length_3729_cov_7.83874",104.685157,93.335419,FALSE,"none"
"NODE_12_length_3714_cov_4.80413",0,0,FALSE,"none"
"NODE_13_length_3699_cov_8.60638",143.475615,132.123877,FALSE,"none"
"NODE_14_length_3599_cov_4.371",57.150632,42.063504,FALSE,"none"
"NODE_15_length_3564_cov_15.793",280.417154,234.083215,FALSE,"none"
"NODE_16_length_3351_cov_5.61212",75.705131,47.375675,FALSE,"none"
"NODE_17_length_3316_cov_9.12732",400.928893,88.837374,FALSE,"none"
"NODE_18_length_3280_cov_8.60117",3.983095,0,FALSE,"none"
"NODE_19_length_3255_cov_10.5341",182.935917,67.20612,FALSE,"none"
"NODE_20_length_3203_cov_5.70946",88.738578,68.725376,FALSE,"none"
"NODE_21_length_3174_cov_17.5852",133.831974,162.16919,FALSE,"none"
"NODE_22_length_3168_cov_10.6517",0,0,FALSE,"none"
"NODE_23_length_3117_cov_11.3097",315.879991,99.931194,FALSE,"none"
"NODE_24_length_3046_cov_1026.02",1827.583883,2371.962228,FALSE,"none"
"NODE_25_length_3038_cov_6.05957",109.742977,73.123588,FALSE,"none"
"NODE_26_length_3019_cov_24.3138",0,0,FALSE,"none"
"NODE_27_length_3003_cov_6.96162",80.23433,63.980467,FALSE,"none"
"NODE_28_length_3000_cov_6.32053",94.193598,107.85228,FALSE,"none"
"NODE_29_length_2995_cov_17.733",0.243829,0,FALSE,"none"
"NODE_30_length_2962_cov_5.38204",0.493481,0,FALSE,"none"
"NODE_31_length_2961_cov_6.7015",84.9094,57.514438,FALSE,"none"
"NODE_32_length_2954_cov_40.9384",0.989826,0,FALSE,"none"
"NODE_33_length_2919_cov_16.105",132.086949,169.125904,FALSE,"none"
"NODE_34_length_2881_cov_11.9357",134.720187,112.299084,FALSE,"none"
"NODE_35_length_2751_cov_7.25681",97.50306,70.03413,FALSE,"none"
"NODE_36_length_2734_cov_6.23288",0.268922,0,FALSE,"none"
"NODE_37_length_2677_cov_5.29312",94.636206,91.024657,FALSE,"none"
"NODE_38_length_2677_cov_6.48222",3.301263,1.677874,FALSE,"none"
"NODE_39_length_2651_cov_8.55577",0,0,FALSE,"none"
"NODE_40_length_2636_cov_5.84018",0.839194,1.279814,FALSE,"none"
"NODE_41_length_2621_cov_9.9092",0.562926,0,FALSE,"none"
"NODE_42_length_2620_cov_4.6579",76.871131,58.835441,FALSE,"none"
"NODE_43_length_2604_cov_8.13886",52.155099,52.31378,FALSE,"none"
"NODE_44_length_2596_cov_4.75263",70.246107,33.40296,FALSE,"none"
"NODE_45_length_2595_cov_11.6393",0,0,FALSE,"none"
"NODE_46_length_2519_cov_7.97385",0,0,FALSE,"none"
"NODE_47_length_2425_cov_7.73579",93.707322,67.325521,FALSE,"none"
"NODE_48_length_2362_cov_14.623",0,1.925312,FALSE,"none"
"NODE_49_length_2297_cov_5.91387",58.48312,49.643485,FALSE,"none"
