"Name","SRX5158527_SRR8347500_TPM","SRX5158528_SRR8347499_TPM","pir","subfam"
"NODE_1_length_10230_cov_6.96332",2.131429,1.872793,FALSE,"noCluster"
"NODE_2_length_9454_cov_15.2208",0,0,FALSE,"noCluster"
"NODE_3_length_8940_cov_12.9733",0.116478,0,FALSE,"noCluster"
"NODE_4_length_8884_cov_12.0279",0,0,FALSE,"noCluster"
"NODE_5_length_8849_cov_16.2861",8.945443,4.781537,FALSE,"noCluster"
"NODE_6_length_8436_cov_15.5857",34.609587,4.566053,FALSE,"noCluster"
"NODE_7_length_7481_cov_8.353",2.796374,1.033753,FALSE,"noCluster"
"NODE_8_length_7193_cov_5.92346",2.911544,0.538305,FALSE,"noCluster"
"NODE_9_length_7163_cov_9.50421",5.701972,3.243836,FALSE,"noCluster"
"NODE_10_length_7023_cov_8.03548",8.952268,6.621695,FALSE,"noCluster"
"NODE_11_length_6861_cov_4.84183",0,0,FALSE,"noCluster"
"NODE_12_length_6536_cov_9.70706",74.921075,19.025014,FALSE,"noCluster"
"NODE_13_length_6376_cov_22.4328",0,0,FALSE,"noCluster"
"NODE_14_length_6287_cov_11.9351",52.347982,11.142675,FALSE,"noCluster"
"NODE_15_length_6248_cov_10.9162",383.106467,35.514417,FALSE,"noCluster"
"NODE_16_length_6220_cov_4.48844",0.845537,0,FALSE,"noCluster"
"NODE_17_length_6136_cov_3.70733",9.261028,6.983985,FALSE,"noCluster"
"NODE_18_length_6122_cov_6.04122",28.364484,1.909261,FALSE,"noCluster"
"NODE_19_length_6099_cov_81.9824",45.732705,30.668224,FALSE,"noCluster"
"NODE_20_length_6078_cov_5.4627",64.42773,2.564888,FALSE,"noCluster"
"NODE_21_length_6012_cov_98.5474",52.723053,31.130964,FALSE,"noCluster"
"NODE_22_length_5743_cov_7.44343",17.631401,5.442399,FALSE,"noCluster"
"NODE_23_length_5660_cov_46.405",0.282797,0,FALSE,"noCluster"
"NODE_24_length_5583_cov_5.46703",0.945598,0,FALSE,"noCluster"
"NODE_25_length_5511_cov_6.13728",3.833672,1.420555,FALSE,"noCluster"
"NODE_26_length_5419_cov_1111.07",11833.086204,11121.962184,FALSE,"noCluster"
"NODE_27_length_5333_cov_22.8491",3.976692,1.474029,FALSE,"noCluster"
"NODE_28_length_5274_cov_10.0275",0,0,FALSE,"noCluster"
"NODE_29_length_5127_cov_4.75265",148.975683,36.775541,FALSE,"noCluster"
"NODE_30_length_5126_cov_4.7096",0,0,FALSE,"noCluster"
"NODE_31_length_5044_cov_4.8623",2.101643,7.794109,FALSE,"noCluster"
"NODE_32_length_5017_cov_9.66152",8.876378,0,FALSE,"noCluster"
"NODE_33_length_5013_cov_7.21024",0.211518,0,FALSE,"noCluster"
"NODE_34_length_4975_cov_6.69911",2.558416,6.326266,FALSE,"noCluster"
"NODE_35_length_4916_cov_34.8018",557.094768,89.686686,FALSE,"noCluster"
"NODE_36_length_4895_cov_6.15878",0,0,FALSE,"noCluster"
"NODE_37_length_4887_cov_6.55624",68.63661,11.280889,FALSE,"noCluster"
"NODE_38_length_4882_cov_15.079",0.974827,0,FALSE,"noCluster"
"NODE_39_length_4773_cov_5.25565",0,0,FALSE,"noCluster"
"NODE_40_length_4749_cov_69.8679",51.025027,15.77897,FALSE,"noCluster"
"NODE_41_length_4695_cov_7.46468",12.683027,0,FALSE,"noCluster"
"NODE_42_length_4601_cov_29.2649",7.633569,1.71739,FALSE,"noCluster"
"NODE_43_length_4598_cov_39.6436",0,0,FALSE,"noCluster"
"NODE_44_length_4581_cov_22.664",0.464753,0,FALSE,"noCluster"
"NODE_45_length_4581_cov_10.0822",22.075752,2.587971,FALSE,"noCluster"
"NODE_46_length_4580_cov_6.11128",6.508023,4.31428,FALSE,"noCluster"
"NODE_47_length_4549_cov_4.02081",2.106776,0,FALSE,"noCluster"
"NODE_48_length_4506_cov_7.64364",8.747687,1.755689,FALSE,"noCluster"
"NODE_49_length_4492_cov_18.5472",378.563544,41.39474,FALSE,"noCluster"
"NODE_50_length_4482_cov_35.6822",40.789873,16.773549,FALSE,"noCluster"
"NODE_51_length_4470_cov_13.6818",34.570516,4.426632,FALSE,"noCluster"
"NODE_52_length_4430_cov_5.59427",0.481344,0,FALSE,"noCluster"
"NODE_53_length_4389_cov_4.03994",5.34661,0,FALSE,"noCluster"
"NODE_54_length_4377_cov_12.6784",0,0,FALSE,"noCluster"
"NODE_55_length_4363_cov_5.26189",0,0,FALSE,"noCluster"
"NODE_56_length_4354_cov_7.3034",2.450755,0.910326,FALSE,"noCluster"
"NODE_57_length_4332_cov_5.50686",6.15951,0,FALSE,"noCluster"
"NODE_58_length_4311_cov_6.60215",0,0,FALSE,"noCluster"
"NODE_59_length_4280_cov_40.5011",29.942488,13.905382,FALSE,"noCluster"
"NODE_60_length_4257_cov_13.3935",11.041157,5.594048,FALSE,"noCluster"
"NODE_61_length_4205_cov_10.4403",4.067099,0.944587,FALSE,"noCluster"
"NODE_62_length_4203_cov_27.3108",16.276523,8.505584,FALSE,"noCluster"
"NODE_63_length_4123_cov_5.03374",0.778522,0,FALSE,"noCluster"
"NODE_64_length_4118_cov_4.74272",0,0,FALSE,"noCluster"
"NODE_65_length_4098_cov_5.25363",0.522343,0,FALSE,"noCluster"
"NODE_66_length_4076_cov_4.767",0,0,FALSE,"noCluster"
"NODE_67_length_4076_cov_6.02003",0,0,FALSE,"noCluster"
"NODE_68_length_4067_cov_5.65146",0.526531,0,FALSE,"noCluster"
"NODE_69_length_4045_cov_42.738",32.579215,35.691002,FALSE,"noCluster"
"NODE_70_length_4002_cov_11.4447",12.852798,2.98692,FALSE,"noCluster"
"NODE_71_length_3973_cov_27.8853",2.158599,0,FALSE,"noCluster"
"NODE_72_length_3965_cov_4.39878",2.433584,0,FALSE,"noCluster"
"NODE_73_length_3932_cov_15.0192",13.093888,3.043645,FALSE,"noCluster"
"NODE_74_length_3918_cov_4.8991",4.381065,1.018416,FALSE,"noCluster"
"NODE_75_length_3916_cov_13.7824",0,0,FALSE,"noCluster"
"NODE_76_length_3898_cov_12.9969",0,0,FALSE,"noCluster"
"NODE_77_length_3898_cov_6.82303",116.726166,36.863778,TRUE,"C_2"
"NODE_78_length_3893_cov_5.43808",4.410725,2.050795,FALSE,"noCluster"
"NODE_79_length_3828_cov_5.75784",3.647925,5.220026,FALSE,"noCluster"
"NODE_80_length_3827_cov_3.42804",1.964809,0,FALSE,"noCluster"
"NODE_81_length_3819_cov_5.94136",46.415732,27.212508,FALSE,"noCluster"
"NODE_82_length_3819_cov_8.29002",0,0,FALSE,"noCluster"
"NODE_83_length_3813_cov_33.1381",12.398085,0,FALSE,"noCluster"
"NODE_84_length_3799_cov_20.5709",47.522298,16.840425,FALSE,"noCluster"
"NODE_85_length_3791_cov_30.8675",0,0,FALSE,"noCluster"
"NODE_86_length_3777_cov_30.6215",14.515146,12.709013,FALSE,"noCluster"
"NODE_87_length_3765_cov_8.19453",0,0,FALSE,"noCluster"
"NODE_88_length_3760_cov_39.1001",0,0,FALSE,"noCluster"
"NODE_89_length_3755_cov_6.14213",0,0,FALSE,"noCluster"
"NODE_90_length_3689_cov_10.9417",47.853503,9.775387,FALSE,"noCluster"
"NODE_91_length_3644_cov_13.4586",6.798857,2.201077,FALSE,"noCluster"
"NODE_92_length_3642_cov_18.5991",13.014067,3.303559,FALSE,"noCluster"
"NODE_93_length_3629_cov_5.83732",4.453435,0,FALSE,"noCluster"
"NODE_94_length_3612_cov_13.6887",18.797626,16.665016,FALSE,"noCluster"
"NODE_95_length_3610_cov_4.44067",2.68695,0,FALSE,"noCluster"
"NODE_96_length_3573_cov_26.0455",16.600385,10.116223,FALSE,"noCluster"
"NODE_97_length_3568_cov_16.9909",94.006167,51.782962,FALSE,"noCluster"
"NODE_98_length_3563_cov_8.00368",1.210891,0,FALSE,"noCluster"
"NODE_99_length_3559_cov_11.2243",0,0,FALSE,"noCluster"
"NODE_100_length_3548_cov_5.9431",0,0,FALSE,"noCluster"
"NODE_101_length_3524_cov_5.21083",0,0,FALSE,"noCluster"
"NODE_102_length_3520_cov_19.9848",6.746164,12.647579,FALSE,"noCluster"
