"Name","SRX5158525_SRR8347502_TPM","SRX5158526_SRR8347501_TPM","pir","subfam"
"NODE_1_length_13534_cov_11.9987",11.053319,8.792926,FALSE,"noCluster"
"NODE_2_length_13339_cov_18.7675",19.931943,79.936104,FALSE,"noCluster"
"NODE_3_length_12982_cov_13.7183",7.961849,18.192696,FALSE,"noCluster"
"NODE_4_length_12684_cov_26.5039",15.849866,44.209138,FALSE,"noCluster"
"NODE_5_length_12502_cov_12.5659",17.969016,37.518841,FALSE,"noCluster"
"NODE_6_length_12479_cov_6.50378",0.168044,0.530355,FALSE,"noCluster"
"NODE_7_length_11957_cov_11.2429",14.356569,52.614528,FALSE,"noCluster"
"NODE_8_length_11854_cov_10.2024",1.2916,2.723752,FALSE,"noCluster"
"NODE_9_length_11524_cov_8.5706",7.448321,24.07617,FALSE,"noCluster"
"NODE_10_length_11485_cov_13.6612",0.758227,2.379855,FALSE,"noCluster"
"NODE_11_length_11390_cov_10.8986",6.198843,26.981822,FALSE,"noCluster"
"NODE_12_length_11070_cov_13.3664",14.658919,32.265459,FALSE,"noCluster"
"NODE_13_length_10758_cov_15.9767",38.30219,55.950828,FALSE,"noCluster"
"NODE_14_length_10687_cov_18.4713",17.958591,25.448513,FALSE,"noCluster"
"NODE_15_length_10647_cov_13.6104",0.937545,1.014422,FALSE,"noCluster"
"NODE_16_length_10527_cov_19.672",9.01914,32.244798,FALSE,"noCluster"
"NODE_17_length_10422_cov_9.14544",4.684207,13.37152,FALSE,"noCluster"
"NODE_18_length_10390_cov_14.9093",13.751825,66.188628,FALSE,"noCluster"
"NODE_19_length_10319_cov_11.6525",12.384128,20.662782,FALSE,"noCluster"
"NODE_20_length_10181_cov_36.3073",17.266974,43.362215,FALSE,"noCluster"
"NODE_21_length_10159_cov_18.701",22.794679,47.296998,FALSE,"noCluster"
"NODE_22_length_10098_cov_29.6373",266.445291,148.19722,FALSE,"noCluster"
"NODE_23_length_9739_cov_5.85772",0.080032,0,FALSE,"noCluster"
"NODE_24_length_9730_cov_15.2254",2.555435,4.950416,FALSE,"noCluster"
"NODE_25_length_9651_cov_13.9689",11.824044,20.224803,FALSE,"noCluster"
"NODE_26_length_9632_cov_12.5596",7.891268,16.212322,FALSE,"noCluster"
"NODE_27_length_9574_cov_66.6105",1.009788,0.607372,FALSE,"noCluster"
"NODE_28_length_9547_cov_9.01272",0.081669,0.435086,FALSE,"noCluster"
"NODE_29_length_9455_cov_24.0861",7.018753,14.148548,FALSE,"noCluster"
"NODE_30_length_9442_cov_23.1427",7.821461,30.712823,FALSE,"noCluster"
"NODE_31_length_9351_cov_11.8344",13.837604,10.931545,FALSE,"noCluster"
"NODE_32_length_9291_cov_18.8383",8.991816,12.613692,FALSE,"noCluster"
