"Name","SRX5158501_SRR8347526_TPM","SRX5158500_SRR8347527_TPM","pir","subfam"
"NODE_1_length_9080_cov_9.64242",0.825336,0,FALSE,"none"
"NODE_2_length_8875_cov_5.40285",9.226246,10.159539,FALSE,"none"
"NODE_3_length_8785_cov_10.7266",0.226728,0,FALSE,"none"
"NODE_4_length_8699_cov_9.35818",0.013471,0,FALSE,"none"
"NODE_5_length_6155_cov_29.0356",2.743812,2.316404,FALSE,"none"
"NODE_6_length_5914_cov_4.2401",72.827556,63.746789,FALSE,"none"
"NODE_7_length_5608_cov_38.4915",115.328773,88.812709,FALSE,"none"
"NODE_8_length_5419_cov_1136.79",1049.752163,18591.727326,FALSE,"none"
"NODE_9_length_5214_cov_4.76954",0.204838,0,FALSE,"none"
"NODE_10_length_5209_cov_27.0611",765.493615,191.865111,FALSE,"none"
"NODE_11_length_5204_cov_5.56309",30.444508,28.69833,FALSE,"none"
"NODE_12_length_4957_cov_5.73416",2.589735,1.742221,FALSE,"none"
"NODE_13_length_4947_cov_10.3647",52.143176,44.811852,FALSE,"none"
"NODE_14_length_4896_cov_4.87045",1.578711,2.941679,FALSE,"none"
"NODE_15_length_4853_cov_5.6249",79.905306,36.816235,FALSE,"none"
"NODE_16_length_4830_cov_4.39233",0.024631,0,FALSE,"none"
"NODE_17_length_4748_cov_3.16564",9.7522,13.367561,FALSE,"none"
"NODE_18_length_4729_cov_6.06793",0.050351,0,FALSE,"none"
"NODE_19_length_4702_cov_11.8473",0.759755,0,FALSE,"none"
"NODE_20_length_4599_cov_20.9921",11.323874,7.540169,FALSE,"none"
"NODE_21_length_4564_cov_10.6222",180.114443,57.00816,FALSE,"none"
"NODE_22_length_4536_cov_22.7815",0.105143,0,FALSE,"none"
"NODE_23_length_4522_cov_14.7253",0.316442,0,FALSE,"none"
"NODE_24_length_4478_cov_12.7276",0.266388,0,FALSE,"none"
"NODE_25_length_4476_cov_9.13707",194.887458,59.395063,FALSE,"none"
"NODE_26_length_4474_cov_3.94934",1.519821,0,FALSE,"none"
"NODE_27_length_4463_cov_5.63205",13.900476,15.565064,FALSE,"none"
"NODE_28_length_4408_cov_4.70811",58.921203,30.225945,FALSE,"none"
"NODE_29_length_4346_cov_3.89056",9.122956,24.678559,FALSE,"none"
"NODE_30_length_4317_cov_6.42204",0.304375,0,FALSE,"none"
"NODE_31_length_4208_cov_9.43401",0.255739,0,FALSE,"none"
"NODE_32_length_4143_cov_4.54623",0,0,FALSE,"none"
"NODE_33_length_4089_cov_13.2374",53.535679,52.689625,FALSE,"none"
"NODE_34_length_4014_cov_42.6137",54.534739,40.954953,FALSE,"none"
"NODE_35_length_4014_cov_4.67043",6.476519,5.804299,FALSE,"none"
"NODE_36_length_4004_cov_8.24427",57.363054,53.832102,FALSE,"none"
"NODE_37_length_3998_cov_4.15032",25.447166,24.044453,FALSE,"none"
"NODE_38_length_3982_cov_5.30438",10.835017,6.585556,FALSE,"none"
"NODE_39_length_3963_cov_4.28397",59.735689,31.624551,FALSE,"none"
"NODE_40_length_3910_cov_5.91101",6.840158,2.238157,FALSE,"none"
"NODE_41_length_3909_cov_8.89577",81.88902,37.312757,FALSE,"none"
"NODE_42_length_3889_cov_4.52101",70.353946,49.522194,FALSE,"none"
"NODE_43_length_3865_cov_4.0929",70.349945,52.870504,FALSE,"none"
"NODE_44_length_3856_cov_5.47031",227.623496,72.688185,TRUE,"C_5"
"NODE_45_length_3851_cov_3.92221",6.606687,4.549288,FALSE,"none"
"NODE_46_length_3796_cov_6.16024",557.661252,187.859294,FALSE,"none"
"NODE_47_length_3775_cov_3.69749",1.431843,0.774478,FALSE,"none"
"NODE_48_length_3773_cov_7.80856",32.05919,47.269866,FALSE,"none"
"NODE_49_length_3755_cov_6.54433",20.57325,17.914125,FALSE,"none"
"NODE_50_length_3737_cov_27.2352",519.474178,219.204939,FALSE,"none"
"NODE_51_length_3681_cov_4.37527",0.065336,0,FALSE,"none"
"NODE_52_length_3678_cov_3.5487",196.868708,84.405487,FALSE,"none"
"NODE_53_length_3646_cov_3.32245",35.802801,43.402046,FALSE,"none"
"NODE_54_length_3639_cov_3.29562",63.581268,16.107858,FALSE,"none"
"NODE_55_length_3606_cov_7.4506",39.787809,47.982926,FALSE,"none"
"NODE_56_length_3599_cov_3.9728",0.33447,0,FALSE,"none"
"NODE_57_length_3571_cov_20.8751",68.218593,64.09997,FALSE,"none"
"NODE_58_length_3556_cov_3.42265",96.148524,47.053661,FALSE,"none"
"NODE_59_length_3541_cov_3.19299",59.808361,14.926406,FALSE,"none"
