"Name","SRX5158500_SRR8347527_TPM","SRX5158501_SRR8347526_TPM","pir","subfam"
"NODE_1_length_9080_cov_9.64242",0,0.825336,FALSE,"noCluster"
"NODE_2_length_8875_cov_5.40285",10.159539,9.226246,FALSE,"noCluster"
"NODE_3_length_8785_cov_10.7266",0,0.226728,FALSE,"noCluster"
"NODE_4_length_8699_cov_9.35818",0,0.013471,FALSE,"noCluster"
"NODE_5_length_6155_cov_29.0356",2.316404,2.743812,FALSE,"noCluster"
"NODE_6_length_5914_cov_4.2401",63.746789,72.827556,FALSE,"noCluster"
"NODE_7_length_5608_cov_38.4915",88.812709,115.328773,FALSE,"noCluster"
"NODE_8_length_5419_cov_1136.79",18591.727326,1049.752163,FALSE,"noCluster"
"NODE_9_length_5214_cov_4.76954",0,0.204838,FALSE,"noCluster"
"NODE_10_length_5209_cov_27.0611",191.865111,765.493615,FALSE,"noCluster"
"NODE_11_length_5204_cov_5.56309",28.69833,30.444508,FALSE,"noCluster"
"NODE_12_length_4957_cov_5.73416",1.742221,2.589735,FALSE,"noCluster"
"NODE_13_length_4947_cov_10.3647",44.811852,52.143176,FALSE,"noCluster"
"NODE_14_length_4896_cov_4.87045",2.941679,1.578711,FALSE,"noCluster"
"NODE_15_length_4853_cov_5.6249",36.816235,79.905306,FALSE,"noCluster"
"NODE_16_length_4830_cov_4.39233",0,0.024631,FALSE,"noCluster"
"NODE_17_length_4748_cov_3.16564",13.367561,9.7522,FALSE,"noCluster"
"NODE_18_length_4729_cov_6.06793",0,0.050351,FALSE,"noCluster"
"NODE_19_length_4702_cov_11.8473",0,0.759755,FALSE,"noCluster"
"NODE_20_length_4599_cov_20.9921",7.540169,11.323874,FALSE,"noCluster"
"NODE_21_length_4564_cov_10.6222",57.00816,180.114443,FALSE,"noCluster"
"NODE_22_length_4536_cov_22.7815",0,0.105143,FALSE,"noCluster"
"NODE_23_length_4522_cov_14.7253",0,0.316442,FALSE,"noCluster"
"NODE_24_length_4478_cov_12.7276",0,0.266388,FALSE,"noCluster"
"NODE_25_length_4476_cov_9.13707",59.395063,194.887458,FALSE,"noCluster"
"NODE_26_length_4474_cov_3.94934",0,1.519821,FALSE,"noCluster"
"NODE_27_length_4463_cov_5.63205",15.565064,13.900476,FALSE,"noCluster"
"NODE_28_length_4408_cov_4.70811",30.225945,58.921203,FALSE,"noCluster"
"NODE_29_length_4346_cov_3.89056",24.678559,9.122956,FALSE,"noCluster"
"NODE_30_length_4317_cov_6.42204",0,0.304375,FALSE,"noCluster"
"NODE_31_length_4208_cov_9.43401",0,0.255739,FALSE,"noCluster"
"NODE_32_length_4143_cov_4.54623",0,0,FALSE,"noCluster"
"NODE_33_length_4089_cov_13.2374",52.689625,53.535679,FALSE,"noCluster"
"NODE_34_length_4014_cov_42.6137",40.954953,54.534739,FALSE,"noCluster"
"NODE_35_length_4014_cov_4.67043",5.804299,6.476519,FALSE,"noCluster"
"NODE_36_length_4004_cov_8.24427",53.832102,57.363054,FALSE,"noCluster"
"NODE_37_length_3998_cov_4.15032",24.044453,25.447166,FALSE,"noCluster"
"NODE_38_length_3982_cov_5.30438",6.585556,10.835017,FALSE,"noCluster"
"NODE_39_length_3963_cov_4.28397",31.624551,59.735689,FALSE,"noCluster"
"NODE_40_length_3910_cov_5.91101",2.238157,6.840158,FALSE,"noCluster"
"NODE_41_length_3909_cov_8.89577",37.312757,81.88902,FALSE,"noCluster"
"NODE_42_length_3889_cov_4.52101",49.522194,70.353946,FALSE,"noCluster"
"NODE_43_length_3865_cov_4.0929",52.870504,70.349945,FALSE,"noCluster"
"NODE_44_length_3856_cov_5.47031",72.688185,227.623496,TRUE,"C_2"
"NODE_45_length_3851_cov_3.92221",4.549288,6.606687,FALSE,"noCluster"
"NODE_46_length_3796_cov_6.16024",187.859294,557.661252,FALSE,"noCluster"
"NODE_47_length_3775_cov_3.69749",0.774478,1.431843,FALSE,"noCluster"
"NODE_48_length_3773_cov_7.80856",47.269866,32.05919,FALSE,"noCluster"
"NODE_49_length_3755_cov_6.54433",17.914125,20.57325,FALSE,"noCluster"
"NODE_50_length_3737_cov_27.2352",219.204939,519.474178,FALSE,"noCluster"
"NODE_51_length_3681_cov_4.37527",0,0.065336,FALSE,"noCluster"
"NODE_52_length_3678_cov_3.5487",84.405487,196.868708,FALSE,"noCluster"
"NODE_53_length_3646_cov_3.32245",43.402046,35.802801,FALSE,"noCluster"
"NODE_54_length_3639_cov_3.29562",16.107858,63.581268,FALSE,"noCluster"
"NODE_55_length_3606_cov_7.4506",47.982926,39.787809,FALSE,"noCluster"
"NODE_56_length_3599_cov_3.9728",0,0.33447,FALSE,"noCluster"
"NODE_57_length_3571_cov_20.8751",64.09997,68.218593,FALSE,"noCluster"
"NODE_58_length_3556_cov_3.42265",47.053661,96.148524,FALSE,"noCluster"
"NODE_59_length_3541_cov_3.19299",14.926406,59.808361,FALSE,"noCluster"
"NODE_60_length_3540_cov_3.84574",48.940231,218.042226,FALSE,"noCluster"
"NODE_61_length_3536_cov_3.27576",0,0.238497,FALSE,"noCluster"
"NODE_62_length_3529_cov_4.36327",51.600297,34.947289,FALSE,"noCluster"
"NODE_63_length_3527_cov_6.33629",0,0.580756,FALSE,"noCluster"
"NODE_64_length_3510_cov_86.8536",874.75556,4745.810788,FALSE,"noCluster"
"NODE_65_length_3497_cov_5.70785",71.435658,155.92583,FALSE,"noCluster"
"NODE_66_length_3467_cov_20.0507",162.466168,745.501742,FALSE,"noCluster"
"NODE_67_length_3458_cov_5.19912",0,0.034877,FALSE,"noCluster"
"NODE_68_length_3436_cov_9.15751",0,1.263995,FALSE,"noCluster"
"NODE_69_length_3410_cov_7.07314",47.488418,104.830611,FALSE,"noCluster"
"NODE_70_length_3406_cov_7.00237",0.864514,3.685286,FALSE,"noCluster"
"NODE_71_length_3390_cov_4.76437",62.560352,151.956158,FALSE,"noCluster"
"NODE_72_length_3384_cov_10.02",44.397933,56.548396,FALSE,"noCluster"
"NODE_73_length_3375_cov_35.5141",532.554662,2056.179369,FALSE,"noCluster"
"NODE_74_length_3372_cov_7.1201",27.09011,30.725406,FALSE,"noCluster"
"NODE_75_length_3352_cov_4.86171",29.902187,43.674237,FALSE,"noCluster"
"NODE_76_length_3348_cov_3.10407",66.925981,163.83954,FALSE,"noCluster"
"NODE_77_length_3340_cov_3.95252",0,0.43405,FALSE,"noCluster"
"NODE_78_length_3331_cov_9.0476",42.500905,94.927657,FALSE,"noCluster"
"NODE_79_length_3323_cov_2.8766",0,0.618208,FALSE,"noCluster"
"NODE_80_length_3322_cov_3.01095",15.096244,8.229204,FALSE,"noCluster"
"NODE_81_length_3320_cov_17.6389",6.220126,9.864324,FALSE,"noCluster"
"NODE_82_length_3318_cov_3.5172",19.561638,22.436426,FALSE,"noCluster"
"NODE_83_length_3313_cov_2.84573",7.124866,9.557897,FALSE,"noCluster"
"NODE_84_length_3307_cov_6.83079",0,1.169602,FALSE,"noCluster"
"NODE_85_length_3289_cov_4.07432",23.337601,42.408592,FALSE,"noCluster"
"NODE_86_length_3283_cov_9.52985",24.28286,45.422062,FALSE,"noCluster"
"NODE_87_length_3282_cov_6.07356",11.69558,22.989855,FALSE,"noCluster"
"NODE_88_length_3277_cov_3.27466",0,0,FALSE,"noCluster"
"NODE_89_length_3269_cov_26.8427",486.992388,2281.79789,FALSE,"noCluster"
"NODE_90_length_3269_cov_4.43881",0,1.738847,FALSE,"noCluster"
"NODE_91_length_3268_cov_6.0408",159.070298,271.569519,FALSE,"noCluster"
"NODE_92_length_3235_cov_10.8048",210.160224,573.672636,FALSE,"noCluster"
"NODE_93_length_3232_cov_6.11316",16.466742,27.433049,FALSE,"noCluster"
"NODE_94_length_3231_cov_23.0028",188.48151,577.449015,TRUE,"unassigned_3"
"NODE_95_length_3229_cov_8.44775",10.986832,28.708837,FALSE,"noCluster"
"NODE_96_length_3212_cov_3.35168",41.435649,54.549011,FALSE,"noCluster"
"NODE_97_length_3210_cov_5.46364",95.8267,332.872882,FALSE,"noCluster"
"NODE_98_length_3205_cov_5.23455",0,0.566614,FALSE,"noCluster"
"NODE_99_length_3176_cov_6.34139",2.796154,0.724611,FALSE,"noCluster"
"NODE_100_length_3175_cov_4.41311",0,0.686702,FALSE,"noCluster"
"NODE_101_length_3167_cov_62.8749",154.70902,131.039946,FALSE,"noCluster"
"NODE_102_length_3164_cov_8.60907",0,3.560948,FALSE,"noCluster"
"NODE_103_length_3155_cov_28.3046",441.211295,1958.903989,FALSE,"noCluster"
"NODE_104_length_3155_cov_10.1813",0,1.497788,FALSE,"noCluster"
"NODE_105_length_3149_cov_6.6656",21.6356,17.355337,FALSE,"noCluster"
"NODE_106_length_3143_cov_5.44598",0,0.077119,FALSE,"noCluster"
"NODE_107_length_3139_cov_5.35351",48.139617,124.482062,FALSE,"noCluster"
"NODE_108_length_3133_cov_11.0384",15.186206,44.836562,FALSE,"noCluster"
"NODE_109_length_3129_cov_12.9444",0,1.239715,FALSE,"noCluster"
"NODE_110_length_3117_cov_5.25973",72.284492,190.552008,FALSE,"noCluster"
"NODE_111_length_3103_cov_5.54853",0,1.836916,FALSE,"noCluster"
"NODE_112_length_3094_cov_7.92943",3.83502,1.066056,FALSE,"noCluster"
"NODE_113_length_3062_cov_6.06009",6.787169,2.417761,FALSE,"noCluster"
"NODE_114_length_3057_cov_1156.76",1413.258306,2264.190458,FALSE,"noCluster"
"NODE_115_length_3055_cov_7.62442",0.972,2.22495,FALSE,"noCluster"
"NODE_116_length_3027_cov_5.02806",12.762577,12.396842,FALSE,"noCluster"
"NODE_117_length_3019_cov_9.79605",154.575071,473.617985,FALSE,"noCluster"
"NODE_118_length_3013_cov_12.143",74.98758,57.772937,FALSE,"noCluster"
"NODE_119_length_3000_cov_17.4412",158.609994,754.198421,FALSE,"noCluster"
"NODE_120_length_2994_cov_4.98379",39.738634,66.683348,FALSE,"noCluster"
"NODE_121_length_2985_cov_4.18631",0,0.32583,FALSE,"noCluster"
"NODE_122_length_2982_cov_41.6511",0,1.426561,FALSE,"noCluster"
"NODE_123_length_2978_cov_3.34805",0,0.448984,FALSE,"noCluster"
"NODE_124_length_2973_cov_9.37347",251.100257,826.236872,FALSE,"noCluster"
"NODE_125_length_2962_cov_10.5568",0,0.164199,FALSE,"noCluster"
"NODE_126_length_2959_cov_85.5202",10.062161,5.999692,FALSE,"noCluster"
"NODE_127_length_2952_cov_3.55601",1.008805,0.576755,FALSE,"noCluster"
"NODE_128_length_2952_cov_4.60192",65.572357,96.5241,FALSE,"noCluster"
"NODE_129_length_2947_cov_4.80542",65.693112,94.551171,FALSE,"noCluster"
"NODE_130_length_2938_cov_8.08778",162.243925,503.958006,FALSE,"noCluster"
"NODE_131_length_2924_cov_6.1477",0,0.166456,FALSE,"noCluster"
"NODE_132_length_2922_cov_3.08688",0,0.333154,FALSE,"noCluster"
"NODE_133_length_2922_cov_4.23849",30.60167,53.349002,FALSE,"noCluster"
"NODE_134_length_2917_cov_3.20562",61.317307,46.395327,FALSE,"noCluster"
"NODE_135_length_2911_cov_3.50243",0,0,FALSE,"noCluster"
"NODE_136_length_2894_cov_4.5582",5.153923,13.588821,FALSE,"noCluster"
"NODE_137_length_2893_cov_5.4021",16.498751,165.482324,FALSE,"noCluster"
"NODE_138_length_2887_cov_14.8083",39.273082,77.025426,FALSE,"noCluster"
"NODE_139_length_2876_cov_3.30355",12.453621,16.347361,FALSE,"noCluster"
"NODE_140_length_2863_cov_3.85477",74.047985,104.181024,FALSE,"noCluster"
"NODE_141_length_2862_cov_3.03818",25.039822,80.795648,FALSE,"noCluster"
"NODE_142_length_2862_cov_15.485",117.895827,339.303196,TRUE,"unassigned_3"
"NODE_143_length_2852_cov_7.85243",39.7977,65.244046,FALSE,"noCluster"
"NODE_144_length_2837_cov_5.8281",44.240204,49.005157,FALSE,"noCluster"
"NODE_145_length_2834_cov_8.69154",0,0.086029,FALSE,"noCluster"
"NODE_146_length_2831_cov_3.7005",0,0.086126,FALSE,"noCluster"
"NODE_147_length_2830_cov_5.46872",4.224705,11.028213,FALSE,"noCluster"
"NODE_148_length_2829_cov_3.951",39.093565,174.750613,FALSE,"noCluster"
"NODE_149_length_2825_cov_9.98496",13.756765,45.360919,FALSE,"noCluster"
"NODE_150_length_2823_cov_14.5355",59.30565,54.983646,FALSE,"noCluster"
"NODE_151_length_2822_cov_14.3675",54.031356,80.972549,FALSE,"noCluster"
"NODE_152_length_2812_cov_4.71644",0,2.558907,FALSE,"noCluster"
"NODE_153_length_2812_cov_2.74631",7.444812,7.999043,FALSE,"noCluster"
"NODE_154_length_2810_cov_6.87216",0,0.412777,FALSE,"noCluster"
"NODE_155_length_2807_cov_6.09913",0,0.695252,FALSE,"noCluster"
"NODE_156_length_2802_cov_9.98592",0,2.263843,FALSE,"noCluster"
"NODE_157_length_2793_cov_6.06812",115.714936,350.143953,FALSE,"noCluster"
"NODE_158_length_2783_cov_3.27236",100.034005,192.473377,FALSE,"noCluster"
"NODE_159_length_2782_cov_4.62641",32.281688,78.412986,FALSE,"noCluster"
"NODE_160_length_2781_cov_4.60771",1.076478,1.623716,FALSE,"noCluster"
"NODE_161_length_2764_cov_5.8312",93.198683,309.947868,FALSE,"noCluster"
"NODE_162_length_2755_cov_3.71455",55.466132,162.801497,FALSE,"noCluster"
"NODE_163_length_2751_cov_8.92826",0,0,FALSE,"noCluster"
"NODE_164_length_2750_cov_10.7652",0,0.71055,FALSE,"noCluster"
"NODE_165_length_2749_cov_4.21392",21.803273,19.903097,FALSE,"noCluster"
"NODE_166_length_2748_cov_4.43425",70.016873,88.909456,FALSE,"noCluster"
"NODE_167_length_2747_cov_3.07851",62.188741,105.683552,FALSE,"noCluster"
"NODE_168_length_2746_cov_17.063",138.615992,321.033351,FALSE,"noCluster"
"NODE_169_length_2743_cov_6.69262",2.185537,19.548556,FALSE,"noCluster"
"NODE_170_length_2743_cov_23.8351",1.092768,1.469481,FALSE,"noCluster"
"NODE_171_length_2736_cov_3.21199",14.245701,13.663123,FALSE,"noCluster"
"NODE_172_length_2722_cov_5.94868",0,0.179579,FALSE,"noCluster"
"NODE_173_length_2720_cov_8.36249",37.497579,71.676086,FALSE,"noCluster"
"NODE_174_length_2713_cov_8.76007",1.105982,2.61307,FALSE,"noCluster"
"NODE_175_length_2710_cov_5.21442",28.790331,50.518014,FALSE,"noCluster"
"NODE_176_length_2710_cov_3.91819",31.004972,115.56139,FALSE,"noCluster"
"NODE_177_length_2698_cov_15.9377",55.63543,54.571909,FALSE,"noCluster"
"NODE_178_length_2696_cov_6.58656",0,0.408194,FALSE,"noCluster"
"NODE_179_length_2694_cov_3.82788",0,0.317735,FALSE,"noCluster"
"NODE_180_length_2688_cov_21.3571",2.234478,1.182959,FALSE,"noCluster"
"NODE_181_length_2688_cov_5.20942",11.17239,17.979935,FALSE,"noCluster"
"NODE_182_length_2686_cov_3.26536",0,1.730308,FALSE,"noCluster"
"NODE_183_length_2682_cov_2.93582",3.359925,23.989093,FALSE,"noCluster"
"NODE_184_length_2675_cov_16.0564",184.202157,533.009613,FALSE,"noCluster"
"NODE_185_length_2671_cov_11.8647",32.625749,83.405343,FALSE,"noCluster"
"NODE_186_length_2667_cov_3.21906",14.64936,18.305912,FALSE,"noCluster"
"NODE_187_length_2662_cov_5.90224",0,0.183885,FALSE,"noCluster"
"NODE_188_length_2660_cov_6.77351",84.759188,285.525173,FALSE,"noCluster"
"NODE_189_length_2648_cov_4.30478",28.393386,86.411164,FALSE,"noCluster"
"NODE_190_length_2637_cov_6.56567",169.998545,600.17554,FALSE,"noCluster"
"NODE_191_length_2637_cov_5.8725",25.100456,26.050073,FALSE,"noCluster"
"NODE_192_length_2631_cov_5.9515",93.790223,182.771155,FALSE,"noCluster"
"NODE_193_length_2630_cov_36.4809",0,0.4191,FALSE,"noCluster"
"NODE_194_length_2627_cov_8.29838",0,1.165582,FALSE,"noCluster"
"NODE_195_length_2625_cov_3.75772",79.118912,244.317463,FALSE,"noCluster"
"NODE_196_length_2619_cov_5.69064",0,1.216148,FALSE,"noCluster"
"NODE_197_length_2614_cov_7.08989",19.583079,25.873801,FALSE,"noCluster"
"NODE_198_length_2613_cov_14.3407",50.706904,60.11211,FALSE,"noCluster"
"NODE_199_length_2606_cov_4.11582",86.687066,190.638201,FALSE,"noCluster"
"NODE_200_length_2606_cov_6.85775",0,0.047023,FALSE,"noCluster"
"NODE_201_length_2605_cov_3.52955",0,0.047043,FALSE,"noCluster"
"NODE_202_length_2605_cov_5.0486",84.410965,127.607144,FALSE,"noCluster"
"NODE_203_length_2603_cov_5.34319",0,0.141244,FALSE,"noCluster"
"NODE_204_length_2601_cov_3.44003",0,0.141359,FALSE,"noCluster"
"NODE_205_length_2597_cov_8.61232",0,0.283183,FALSE,"noCluster"
"NODE_206_length_2594_cov_7.59625",0,5.245337,FALSE,"noCluster"
"NODE_207_length_2592_cov_8.39195",0,0.237938,FALSE,"noCluster"
"NODE_208_length_2586_cov_4.55621",15.153414,11.473486,FALSE,"noCluster"
"NODE_209_length_2584_cov_7.62564",6.99983,16.322873,FALSE,"noCluster"
"NODE_210_length_2584_cov_4.33007",0,0.237251,FALSE,"noCluster"
"NODE_211_length_2584_cov_3.29047",0,1.470957,FALSE,"noCluster"
"NODE_212_length_2581_cov_3.96232",88.777746,209.752374,FALSE,"noCluster"
"NODE_213_length_2567_cov_4.79953",7.05079,8.276653,FALSE,"noCluster"
"NODE_214_length_2559_cov_3.74228",50.704373,147.767655,FALSE,"noCluster"
"NODE_215_length_2554_cov_9.36216",105.172232,329.231033,FALSE,"noCluster"
"NODE_216_length_2554_cov_5.21182",0,0,FALSE,"noCluster"
"NODE_217_length_2550_cov_5.13548",1.18375,0.324693,FALSE,"noCluster"
"NODE_218_length_2541_cov_4.16507",0,0.772912,FALSE,"noCluster"
"NODE_219_length_2540_cov_3.1065",85.599231,159.098935,FALSE,"noCluster"
"NODE_220_length_2538_cov_10.0559",10.709183,6.481306,FALSE,"noCluster"
"NODE_221_length_2537_cov_6.29752",0,2.129085,FALSE,"noCluster"
"NODE_222_length_2537_cov_11.4181",72.196912,152.598426,FALSE,"noCluster"
"NODE_223_length_2536_cov_7.71674",167.922841,599.216938,FALSE,"noCluster"
"NODE_224_length_2534_cov_10.4074",73.902561,198.864321,FALSE,"noCluster"
"NODE_225_length_2529_cov_10.2696",144.543127,1004.733662,FALSE,"noCluster"
"NODE_226_length_2522_cov_4.10566",71.893359,157.28662,FALSE,"noCluster"
"NODE_227_length_2520_cov_3.56454",19.18832,49.419125,FALSE,"noCluster"
"NODE_228_length_2516_cov_3.27668",6.006851,7.859946,FALSE,"noCluster"
"NODE_229_length_2516_cov_51.1168",528.602884,1952.848543,FALSE,"noCluster"
"NODE_230_length_2515_cov_2.71193",25.239824,11.682048,FALSE,"noCluster"
"NODE_231_length_2514_cov_3.84401",0,0.048861,FALSE,"noCluster"
"NODE_232_length_2508_cov_4.65455",51.840487,57.362435,FALSE,"noCluster"
"NODE_233_length_2508_cov_2.94222",10.850335,14.790934,FALSE,"noCluster"
"NODE_234_length_2505_cov_4.59223",0,0.294291,TRUE,"noCluster"
"NODE_235_length_2504_cov_5.15864",0,0,TRUE,"noCluster"
"NODE_236_length_2501_cov_3.20462",0,0.294794,FALSE,"noCluster"
"NODE_237_length_2498_cov_3.60446",50.858339,151.669243,FALSE,"noCluster"
"NODE_238_length_2479_cov_3.82052",4.884606,3.124696,FALSE,"noCluster"
"NODE_239_length_2478_cov_5.07198",0,0.496197,FALSE,"noCluster"
"NODE_240_length_2473_cov_5.46885",0,0.447543,FALSE,"noCluster"
"NODE_241_length_2472_cov_7.54613",0,4.328119,FALSE,"noCluster"
"NODE_242_length_2470_cov_5.74846",33.948794,45.21322,FALSE,"noCluster"
"NODE_243_length_2468_cov_4.25339",0,0.84719,FALSE,"noCluster"
"NODE_244_length_2464_cov_11.1888",57.779812,55.81191,FALSE,"noCluster"
"NODE_245_length_2464_cov_6.73468",4.917431,0.149764,FALSE,"noCluster"
"NODE_246_length_2464_cov_20.3636",792.228067,1286.374306,FALSE,"noCluster"
"NODE_247_length_2462_cov_4.84562",46.757488,167.849718,FALSE,"noCluster"
"NODE_248_length_2458_cov_5.69031",0,0.150155,FALSE,"noCluster"
"NODE_249_length_2453_cov_6.51281",0,0.250803,FALSE,"noCluster"
"NODE_250_length_2449_cov_5.26573",29.7042,97.682688,FALSE,"noCluster"
"NODE_251_length_2449_cov_120.907",0,0.653228,FALSE,"noCluster"
"NODE_252_length_2446_cov_5.42354",109.062974,442.911577,FALSE,"noCluster"
"NODE_253_length_2445_cov_5.81592",145.083395,298.503908,FALSE,"noCluster"
"NODE_254_length_2443_cov_11.8191",0,0.906846,FALSE,"noCluster"
"NODE_255_length_2440_cov_2.52098",0,0.252233,FALSE,"noCluster"
"NODE_256_length_2439_cov_35.8491",451.910736,2044.687953,FALSE,"noCluster"
"NODE_257_length_2433_cov_3.23292",11.220046,4.554175,FALSE,"noCluster"
"NODE_258_length_2424_cov_2.44793",45.064444,84.739528,FALSE,"noCluster"
"NODE_259_length_2423_cov_3.02008",2.504723,0,FALSE,"noCluster"
"NODE_260_length_2419_cov_13.4539",227.091984,905.805398,FALSE,"noCluster"
"NODE_261_length_2418_cov_12.7631",0,1.700534,FALSE,"noCluster"
"NODE_262_length_2417_cov_3.39136",42.697207,99.016473,FALSE,"noCluster"
"NODE_263_length_2394_cov_21.1474",277.945843,735.80875,FALSE,"noCluster"
"NODE_264_length_2390_cov_2.61179",0,0,FALSE,"noCluster"
"NODE_265_length_2387_cov_5.24299",0,0.51647,FALSE,"noCluster"
"NODE_266_length_2384_cov_9.42663",48.452142,87.142567,FALSE,"noCluster"
"NODE_267_length_2365_cov_3.40309",55.589014,94.201097,FALSE,"noCluster"
"NODE_268_length_2360_cov_4.10228",7.736616,3.241415,FALSE,"noCluster"
"NODE_269_length_2357_cov_6.67556",117.504318,349.502812,FALSE,"noCluster"
"NODE_270_length_2352_cov_11.6382",64.715075,213.241552,FALSE,"noCluster"
"NODE_271_length_2351_cov_5.80889",28.48807,64.831907,FALSE,"noCluster"
"NODE_272_length_2350_cov_4.18515",93.277701,261.336724,FALSE,"noCluster"
"NODE_273_length_2348_cov_5.44363",2.593496,2.733507,FALSE,"noCluster"
"NODE_274_length_2344_cov_2.83946",0,0.526637,FALSE,"noCluster"
"NODE_275_length_2343_cov_4.27446",7.798916,13.804209,FALSE,"noCluster"
"NODE_276_length_2336_cov_8.20365",2.608287,18.288621,FALSE,"noCluster"
"NODE_277_length_2335_cov_10.5825",41.752438,104.67856,FALSE,"noCluster"
"NODE_278_length_2330_cov_5.42055",22.233842,23.904539,FALSE,"noCluster"
"NODE_279_length_2327_cov_20.5689",222.656786,736.750919,FALSE,"noCluster"
"NODE_280_length_2327_cov_4.44725",60.248307,119.234981,FALSE,"noCluster"
"NODE_281_length_2326_cov_5.81814",52.013441,206.455994,FALSE,"noCluster"
"NODE_282_length_2324_cov_2.69838",59.023076,66.863137,FALSE,"noCluster"
"NODE_283_length_2321_cov_3.61364",32.837686,408.645666,FALSE,"noCluster"
"NODE_284_length_2315_cov_4.75898",2.634581,8.446707,FALSE,"noCluster"
"NODE_285_length_2313_cov_4.52895",0,0.641062,FALSE,"noCluster"
"NODE_286_length_2313_cov_7.61667",3.95567,1.282125,FALSE,"noCluster"
"NODE_287_length_2311_cov_3.2669",2.63965,21.923324,TRUE,"E"
"NODE_288_length_2308_cov_4.0567",0,0,FALSE,"noCluster"
"NODE_289_length_2305_cov_4.12412",9.265514,11.743014,FALSE,"noCluster"
"NODE_290_length_2295_cov_13.9085",47.882185,93.037255,FALSE,"noCluster"
