"Name","SRX5158499_SRR8347528_TPM","SRX5158498_SRR8347529_TPM","pir","subfam"
"NODE_1_length_10590_cov_8.54144",45.299155,67.240412,FALSE,"none"
"NODE_2_length_9125_cov_11.3412",0.224123,0,FALSE,"none"
"NODE_3_length_8652_cov_6.77921",241.80618,151.180815,FALSE,"none"
"NODE_4_length_6280_cov_6.5417",0.29312,0,FALSE,"none"
"NODE_5_length_6123_cov_22.4355",686.454588,169.655198,FALSE,"none"
"NODE_6_length_5980_cov_11.7032",0.110962,0.820957,FALSE,"none"
"NODE_7_length_5757_cov_15.2121",0.128202,0,FALSE,"none"
"NODE_8_length_5419_cov_1143.06",1550.126891,6422.226404,FALSE,"none"
"NODE_9_length_5219_cov_15.0627",766.260098,401.12234,FALSE,"none"
"NODE_10_length_4657_cov_11.0268",349.505064,497.202277,FALSE,"none"
"NODE_11_length_4623_cov_4.20702",80.611142,32.418082,FALSE,"none"
"NODE_12_length_4459_cov_5.20809",0.350494,0.556371,FALSE,"none"
"NODE_13_length_4282_cov_13.0795",549.889603,228.791151,FALSE,"none"
"NODE_14_length_4027_cov_5.71007",1.001931,1.547103,FALSE,"none"
"NODE_15_length_3970_cov_4.95149",43.689774,26.068106,FALSE,"none"
"NODE_16_length_3903_cov_6.21059",226.208713,167.986746,FALSE,"none"
"NODE_17_length_3809_cov_8.23438",333.737867,136.796414,FALSE,"none"
"NODE_18_length_3771_cov_3.78224",0.238432,0,FALSE,"none"
"NODE_19_length_3731_cov_6.24932",158.866206,279.564781,FALSE,"none"
"NODE_20_length_3705_cov_6.93382",2.287025,0.337682,FALSE,"none"
"NODE_21_length_3703_cov_17.527",684.155483,836.738664,FALSE,"none"
"NODE_22_length_3634_cov_158.897",4755.174218,1381.933049,FALSE,"none"
"NODE_23_length_3602_cov_21.058",222.732339,180.879072,FALSE,"none"
"NODE_24_length_3569_cov_19.1601",233.256928,153.13672,FALSE,"none"
"NODE_25_length_3413_cov_7.1497",1.124824,0,FALSE,"none"
"NODE_26_length_3390_cov_7.40794",0.621947,0,FALSE,"none"
"NODE_27_length_3336_cov_7.18801",4.801028,3.771578,FALSE,"none"
"NODE_28_length_3224_cov_4.96521",0.046831,0,FALSE,"none"
"NODE_29_length_3224_cov_32.7411",0.023415,0,TRUE,"unassigned_15"
"NODE_30_length_3182_cov_15.2817",170.411118,124.898368,FALSE,"none"
"NODE_31_length_3174_cov_7.89812",410.918903,560.562498,FALSE,"none"
"NODE_32_length_3156_cov_5.74608",169.087758,194.38362,FALSE,"none"
"NODE_33_length_3147_cov_3.74888",1.417112,0,FALSE,"none"
"NODE_34_length_3142_cov_7.40592",1.299192,0,FALSE,"none"
"NODE_35_length_3133_cov_3.73129",0.144791,0,TRUE,"C_5"
"NODE_36_length_3076_cov_3.39008",0,0,FALSE,"none"
"NODE_37_length_3075_cov_8.55556",214.949869,57.972898,FALSE,"none"
"NODE_38_length_3074_cov_18.1246",0.369305,0,FALSE,"none"
"NODE_39_length_3052_cov_5.35012",0.62019,0,FALSE,"none"
"NODE_40_length_2990_cov_5.93845",97.744122,177.254955,FALSE,"none"
"NODE_41_length_2975_cov_3.62373",0.203888,0,FALSE,"none"
"NODE_42_length_2947_cov_5.42073",0.617806,0,FALSE,"none"
"NODE_43_length_2901_cov_11.2392",3.507284,3.936988,FALSE,"none"
"NODE_44_length_2896_cov_18.1313",777.994112,333.945173,FALSE,"none"
"NODE_45_length_2892_cov_35.5089",983.241786,551.690429,FALSE,"none"
"NODE_46_length_2889_cov_3.93978",0.289177,0,FALSE,"none"
"NODE_47_length_2872_cov_7.54984",1.587213,0,FALSE,"none"
"NODE_48_length_2858_cov_22.7823",0.053182,0,TRUE,"Sal1_3"
"NODE_49_length_2845_cov_3.98293",192.128113,240.670717,FALSE,"none"
"NODE_50_length_2831_cov_17.3374",6.097098,5.387902,FALSE,"none"
"NODE_51_length_2824_cov_8.41634",242.289357,267.407126,FALSE,"none"
"NODE_52_length_2820_cov_5.61464",108.652475,65.375036,FALSE,"none"
"NODE_53_length_2816_cov_19.2778",0.189078,0,FALSE,"none"
"NODE_54_length_2807_cov_6.23107",161.07514,37.153632,FALSE,"none"
"NODE_55_length_2799_cov_4.92733",0,0,FALSE,"none"
"NODE_56_length_2773_cov_4.15109",23.474403,5.96743,FALSE,"none"
"NODE_57_length_2765_cov_43.2214",0.247858,0,FALSE,"none"
"NODE_58_length_2764_cov_17.9531",1.328022,0,FALSE,"none"
"NODE_59_length_2761_cov_3.68218",0.744716,0,FALSE,"none"
"NODE_60_length_2743_cov_4.09705",7.33239,10.681318,FALSE,"none"
"NODE_61_length_2741_cov_5.38626",42.332799,25.097458,FALSE,"none"
"NODE_62_length_2669_cov_4.38961",0.171558,0,FALSE,"none"
"NODE_63_length_2650_cov_17.0019",1088.342184,552.243203,FALSE,"none"
"NODE_64_length_2631_cov_8.51732",331.987957,451.143284,FALSE,"none"
"NODE_65_length_2627_cov_7.35736",0.494354,0,FALSE,"none"
"NODE_66_length_2622_cov_4.76439",0.145694,0,FALSE,"none"
"NODE_67_length_2614_cov_4.63735",68.465234,24.939695,FALSE,"none"
"NODE_68_length_2595_cov_3.58431",1.031159,0,FALSE,"none"
"NODE_69_length_2592_cov_6.69363",1.091426,4.441258,FALSE,"none"
"NODE_70_length_2584_cov_4.52293",40.604784,18.319254,FALSE,"none"
