"Name","SRX5158498_SRR8347529_TPM","SRX5158499_SRR8347528_TPM","pir","subfam"
"NODE_1_length_10590_cov_8.54144",67.240412,45.299155,FALSE,"noCluster"
"NODE_2_length_9125_cov_11.3412",0,0.224123,FALSE,"noCluster"
"NODE_3_length_8652_cov_6.77921",151.180815,241.80618,FALSE,"noCluster"
"NODE_4_length_6280_cov_6.5417",0,0.29312,FALSE,"noCluster"
"NODE_5_length_6123_cov_22.4355",169.655198,686.454588,FALSE,"noCluster"
"NODE_6_length_5980_cov_11.7032",0.820957,0.110962,FALSE,"noCluster"
"NODE_7_length_5757_cov_15.2121",0,0.128202,FALSE,"noCluster"
"NODE_8_length_5419_cov_1143.06",6422.226404,1550.126891,FALSE,"noCluster"
"NODE_9_length_5219_cov_15.0627",401.12234,766.260098,FALSE,"noCluster"
"NODE_10_length_4657_cov_11.0268",497.202277,349.505064,FALSE,"noCluster"
"NODE_11_length_4623_cov_4.20702",32.418082,80.611142,FALSE,"noCluster"
"NODE_12_length_4459_cov_5.20809",0.556371,0.350494,FALSE,"noCluster"
"NODE_13_length_4282_cov_13.0795",228.791151,549.889603,FALSE,"noCluster"
"NODE_14_length_4027_cov_5.71007",1.547103,1.001931,FALSE,"noCluster"
"NODE_15_length_3970_cov_4.95149",26.068106,43.689774,FALSE,"noCluster"
"NODE_16_length_3903_cov_6.21059",167.986746,226.208713,FALSE,"noCluster"
"NODE_17_length_3809_cov_8.23438",136.796414,333.737867,FALSE,"noCluster"
"NODE_18_length_3771_cov_3.78224",0,0.238432,FALSE,"noCluster"
"NODE_19_length_3731_cov_6.24932",279.564781,158.866206,FALSE,"noCluster"
"NODE_20_length_3705_cov_6.93382",0.337682,2.287025,FALSE,"noCluster"
"NODE_21_length_3703_cov_17.527",836.738664,684.155483,FALSE,"noCluster"
"NODE_22_length_3634_cov_158.897",1381.933049,4755.174218,FALSE,"noCluster"
"NODE_23_length_3602_cov_21.058",180.879072,222.732339,FALSE,"noCluster"
"NODE_24_length_3569_cov_19.1601",153.13672,233.256928,FALSE,"noCluster"
"NODE_25_length_3413_cov_7.1497",0,1.124824,FALSE,"noCluster"
"NODE_26_length_3390_cov_7.40794",0,0.621947,FALSE,"noCluster"
"NODE_27_length_3336_cov_7.18801",3.771578,4.801028,FALSE,"noCluster"
"NODE_28_length_3224_cov_4.96521",0,0.046831,FALSE,"noCluster"
"NODE_29_length_3224_cov_32.7411",0,0.023415,TRUE,"noCluster"
"NODE_30_length_3182_cov_15.2817",124.898368,170.411118,FALSE,"noCluster"
"NODE_31_length_3174_cov_7.89812",560.562498,410.918903,FALSE,"noCluster"
"NODE_32_length_3156_cov_5.74608",194.38362,169.087758,FALSE,"noCluster"
"NODE_33_length_3147_cov_3.74888",0,1.417112,FALSE,"noCluster"
"NODE_34_length_3142_cov_7.40592",0,1.299192,FALSE,"noCluster"
"NODE_35_length_3133_cov_3.73129",0,0.144791,TRUE,"noCluster"
"NODE_36_length_3076_cov_3.39008",0,0,FALSE,"noCluster"
"NODE_37_length_3075_cov_8.55556",57.972898,214.949869,FALSE,"noCluster"
