"Name","SRX5158505_SRR8347522_TPM","SRX5158504_SRR8347523_TPM","pir","subfam"
"NODE_1_length_5419_cov_1300.55",8790.946139,36665.086484,FALSE,"none"
"NODE_2_length_3690_cov_4.41756",148.101583,5.436562,FALSE,"none"
"NODE_3_length_3023_cov_86.7579",1583.379475,330.361665,FALSE,"none"
"NODE_4_length_2945_cov_7.36641",221.260146,142.666447,FALSE,"none"
"NODE_5_length_2580_cov_8.14488",0,0,FALSE,"none"
"NODE_6_length_2516_cov_3.89569",153.578988,0,FALSE,"none"
"NODE_7_length_2444_cov_3.99544",124.313878,48.117341,FALSE,"none"
"NODE_8_length_2322_cov_11.9061",461.222231,1.309229,FALSE,"none"
"NODE_9_length_2288_cov_5.37206",195.518254,29.302452,FALSE,"none"
"NODE_10_length_2167_cov_4.26476",156.942939,24.131864,FALSE,"none"
"NODE_11_length_2166_cov_4.18425",1.226755,0,FALSE,"none"
"NODE_12_length_2120_cov_4.6229",3.142126,0,FALSE,"none"
"NODE_13_length_1996_cov_5.97045",0.672927,0,FALSE,"none"
"NODE_14_length_1827_cov_24.6767",0,0,FALSE,"none"
"NODE_15_length_1724_cov_5.37907",0,0,FALSE,"none"
"NODE_16_length_1719_cov_4.09075",167.070585,7.505596,FALSE,"none"
"NODE_17_length_1705_cov_5.51376",217.095314,18.954635,FALSE,"none"
"NODE_18_length_1688_cov_15.9136",653.242567,5.757421,FALSE,"none"
"NODE_19_length_1591_cov_3.70026",0,0,FALSE,"none"
"NODE_20_length_1557_cov_5.00919",208.354659,0,FALSE,"none"
"NODE_21_length_1539_cov_3.92364",175.740489,6.465259,FALSE,"none"
"NODE_22_length_1538_cov_6.48173",268.826621,0,FALSE,"none"
"NODE_23_length_1503_cov_54.4714",146.114123,3800.236806,FALSE,"none"
"NODE_24_length_1487_cov_8.04058",57.870364,731.80211,FALSE,"none"
"NODE_25_length_1469_cov_43.9492",1811.698309,36.595065,FALSE,"none"
"NODE_26_length_1441_cov_3.51278",0,0,FALSE,"none"
"NODE_27_length_1410_cov_3.2658",7.079763,0,FALSE,"none"
"NODE_28_length_1366_cov_4.14629",174.481044,0,FALSE,"none"
"NODE_29_length_1366_cov_11.9265",2.102181,0,FALSE,"none"
"NODE_30_length_1308_cov_6.65804",0,0,FALSE,"none"
"NODE_31_length_1301_cov_22.2768",860.270128,203.81086,FALSE,"none"
"NODE_32_length_1278_cov_60.706",1301.455046,359.802461,FALSE,"none"
"NODE_33_length_1242_cov_3.02812",54.363278,196.971074,FALSE,"none"
"NODE_34_length_1238_cov_11.6307",499.546255,14.335941,FALSE,"none"
"NODE_35_length_1213_cov_3.82203",3.651641,0,FALSE,"none"
"NODE_36_length_1188_cov_1.91169",0,0,FALSE,"none"
"NODE_37_length_1181_cov_3.34059",0,0,FALSE,"none"
"NODE_38_length_1159_cov_6.63943",9.023863,37.673441,FALSE,"none"
"NODE_39_length_1136_cov_3.14234",119.015834,45.202015,FALSE,"none"
"NODE_40_length_1127_cov_9.3638",410.118573,9.795124,FALSE,"none"
"NODE_41_length_1125_cov_7.33516",283.852531,85.103848,FALSE,"none"
"NODE_42_length_1117_cov_4.26292",0,0,FALSE,"none"
"NODE_43_length_1085_cov_2.32034",0,0,FALSE,"none"
"NODE_44_length_1055_cov_29.3053",1284.436912,25.115893,FALSE,"none"
"NODE_45_length_1040_cov_4.21946",0,0,FALSE,"none"
"NODE_46_length_1005_cov_6.06379",0,0,FALSE,"none"
"NODE_47_length_1001_cov_3.875",0,0,FALSE,"none"
"NODE_48_length_994_cov_3.08221",146.297086,0,FALSE,"none"
"NODE_49_length_984_cov_6.59937",0,0,FALSE,"none"
"NODE_50_length_984_cov_2.83701",129.144129,7.951527,FALSE,"none"
"NODE_51_length_969_cov_4.69017",216.626092,4.068664,FALSE,"none"
"NODE_52_length_932_cov_62.9533",8.994114,0,FALSE,"none"
"NODE_53_length_882_cov_4.80212",224.483601,0,FALSE,"none"
"NODE_54_length_878_cov_4.52071",221.498911,4.740697,FALSE,"none"
"NODE_55_length_877_cov_4.63389",0,0,FALSE,"none"
"NODE_56_length_865_cov_4.15024",0,0,FALSE,"none"
"NODE_57_length_859_cov_6.27361",253.298527,19.640107,FALSE,"none"
"NODE_58_length_843_cov_3.01481",1.970266,0,FALSE,"none"
"NODE_59_length_842_cov_3.17182",167.753088,0,FALSE,"none"
"NODE_60_length_841_cov_24.0631",0,0,FALSE,"none"
"NODE_61_length_812_cov_3.39538",167.636158,0,FALSE,"none"
"NODE_62_length_798_cov_5.33203",270.583394,0,FALSE,"none"
"NODE_63_length_794_cov_16.5861",6.438299,111.868236,FALSE,"none"
"NODE_64_length_775_cov_3.71833",0,0,FALSE,"none"
"NODE_65_length_770_cov_2.64722",130.163374,29.482383,FALSE,"none"
"NODE_66_length_767_cov_9.89373",483.017759,29.683423,FALSE,"none"
"NODE_67_length_766_cov_2.84857",0,0,FALSE,"none"
"NODE_68_length_760_cov_1.91472",75.496337,99.009737,FALSE,"none"
"NODE_69_length_743_cov_3.6338",0,0,FALSE,"none"
"NODE_70_length_741_cov_4.03249",0,0,FALSE,"none"
"NODE_71_length_727_cov_2.40058",127.107771,26.12171,FALSE,"none"
"NODE_72_length_727_cov_4.05331",190.661657,58.773847,FALSE,"none"
"NODE_73_length_723_cov_7.56377",0,0,FALSE,"none"
"NODE_74_length_717_cov_4.23977",241.087073,0,FALSE,"none"
"NODE_75_length_697_cov_5.14006",0,0,FALSE,"none"
"NODE_76_length_693_cov_647.424",1339.51401,6312.438684,FALSE,"none"
"NODE_77_length_682_cov_2.17103",0,0,FALSE,"none"
"NODE_78_length_663_cov_1.96667",0,0,FALSE,"none"
"NODE_79_length_659_cov_96.6214",2299.216637,3290.060379,FALSE,"none"
"NODE_80_length_659_cov_3.33387",0,0,FALSE,"none"
"NODE_81_length_649_cov_179.804",1388.001304,3223.115041,FALSE,"none"
"NODE_82_length_646_cov_7.02121",0,0,FALSE,"none"
"NODE_83_length_633_cov_4.32833",242.883687,8.535856,FALSE,"none"
"NODE_84_length_624_cov_5.69036",326.352638,17.5881,FALSE,"none"
"NODE_85_length_616_cov_2.50772",142.876005,36.148153,FALSE,"none"
"NODE_86_length_616_cov_2.12521",111.125782,36.148153,FALSE,"none"
"NODE_87_length_609_cov_3.0434",9.708121,0,FALSE,"none"
"NODE_88_length_606_cov_1.09599",0,0,FALSE,"none"
"NODE_89_length_606_cov_2.26003",123.991024,28.081827,FALSE,"none"
"NODE_90_length_604_cov_4.23117",254.011979,0,FALSE,"none"
"NODE_91_length_603_cov_5.23158",0,0,FALSE,"none"
"NODE_92_length_600_cov_1.22928",82.951163,31.27478,FALSE,"none"
"NODE_93_length_595_cov_3.16192",0,0,FALSE,"none"
"NODE_94_length_563_cov_3.4566",0,0,FALSE,"none"
"NODE_95_length_555_cov_3.41762",212.660968,0,FALSE,"none"
"NODE_96_length_551_cov_3.55792",230.825641,0,FALSE,"none"
"NODE_97_length_546_cov_2.94347",191.619779,11.917549,FALSE,"none"
"NODE_98_length_543_cov_3.16471",233.035455,0,FALSE,"none"
"NODE_99_length_543_cov_3.26275",236.985208,36.246695,FALSE,"none"
"NODE_100_length_537_cov_3.9504",0,0,FALSE,"none"
"NODE_101_length_532_cov_19.5792",0,0,FALSE,"none"
"NODE_102_length_522_cov_2.77505",0,0,FALSE,"none"
"NODE_103_length_518_cov_2.57938",153.085212,27.311293,FALSE,"none"
"NODE_104_length_516_cov_6.64182",0,0,FALSE,"none"
"NODE_105_length_505_cov_4.01059",275.930908,73.228576,FALSE,"none"
"NODE_106_length_501_cov_3.30556",0,0,FALSE,"none"
"NODE_107_length_500_cov_3.67024",13.835568,0,FALSE,"none"
"NODE_108_length_493_cov_5.18261",355.544162,47.081587,FALSE,"none"
"NODE_109_length_491_cov_5.01528",367.972421,0,FALSE,"none"
"NODE_110_length_469_cov_3.97248",0,36.626216,FALSE,"none"
"NODE_111_length_464_cov_2.76334",10.725179,0,FALSE,"none"
"NODE_112_length_461_cov_3.0514",0,0,FALSE,"none"
"NODE_113_length_455_cov_2.4455",0,0,FALSE,"none"
"NODE_114_length_454_cov_3.51306",0,0,FALSE,"none"
"NODE_115_length_449_cov_4.0024",0,0,FALSE,"none"
"NODE_116_length_449_cov_4.90625",366.929262,84.913012,FALSE,"none"
"NODE_117_length_448_cov_5.04337",0,0,FALSE,"none"
"NODE_118_length_438_cov_5.09136",362.311316,115.557785,FALSE,"none"
"NODE_119_length_435_cov_2.78109",0,0,FALSE,"none"
"NODE_120_length_434_cov_3.00748",190.484304,214.45595,FALSE,"none"
"NODE_121_length_434_cov_3.86035",325.666713,47.656878,FALSE,"none"
"NODE_122_length_433_cov_4.25",259.170898,216.095569,FALSE,"none"
"NODE_123_length_428_cov_3.09114",258.300166,0,FALSE,"none"
"NODE_124_length_423_cov_49.2872",3584.302506,619.436533,FALSE,"none"
"NODE_125_length_412_cov_3.22691",0,0,FALSE,"none"
"NODE_126_length_411_cov_3.45503",80.325068,223.033308,FALSE,"none"
"NODE_127_length_401_cov_2.26359",165.916538,177.592473,FALSE,"none"
"NODE_128_length_401_cov_28.3342",0,0,FALSE,"none"
"NODE_129_length_401_cov_3.19837",0,0,FALSE,"none"
"NODE_130_length_401_cov_2.92391",0,0,FALSE,"none"
"NODE_131_length_397_cov_3.48901",244.479444,121.123231,FALSE,"none"
"NODE_132_length_396_cov_4.1157",140.105802,1065.941298,FALSE,"none"
"NODE_133_length_391_cov_2.97765",241.149578,187.619959,FALSE,"none"
"NODE_134_length_384_cov_3.17379",0,0,FALSE,"none"
"NODE_135_length_381_cov_4.33333",0,0,FALSE,"none"
"NODE_136_length_380_cov_2.4928",0,0,FALSE,"none"
"NODE_137_length_379_cov_4.28902",407.032362,65.929546,FALSE,"none"
"NODE_138_length_374_cov_3.13783",219.635436,200.661878,FALSE,"none"
"NODE_139_length_373_cov_4.34706",307.894263,368.743766,FALSE,"none"
"NODE_140_length_373_cov_1.73235",146.616316,0,FALSE,"none"
"NODE_141_length_367_cov_4.88024",413.803967,0,FALSE,"none"
"NODE_142_length_362_cov_2.73556",228.397116,100.908842,FALSE,"none"
"NODE_143_length_362_cov_3.13374",250.500063,33.636281,FALSE,"none"
"NODE_144_length_360_cov_4.62385",383.041628,0,FALSE,"none"
"NODE_145_length_360_cov_2.72477",206.253184,33.521975,FALSE,"none"
"NODE_146_length_360_cov_1.8318",0,0,FALSE,"none"
"NODE_147_length_357_cov_6.3642",419.40053,33.229111,FALSE,"none"
"NODE_148_length_356_cov_2.91022",0,0,FALSE,"none"
"NODE_149_length_355_cov_3.13354",0,0,FALSE,"none"
"NODE_150_length_355_cov_13.4969",0,0,FALSE,"none"
"NODE_151_length_355_cov_3.1118",249.844337,65.860733,FALSE,"none"
"NODE_152_length_353_cov_2.44375",161.325416,32.598054,FALSE,"none"
"NODE_153_length_349_cov_2.73734",21.843725,0,FALSE,"none"
"NODE_154_length_348_cov_2.8",0,0,FALSE,"none"
"NODE_155_length_345_cov_2.66987",0,0,FALSE,"none"
"NODE_156_length_343_cov_3.29032",252.028545,30.055178,FALSE,"none"
"NODE_157_length_340_cov_2.31596",185.891211,0,FALSE,"none"
"NODE_158_length_340_cov_4.8241",278.836817,667.231039,FALSE,"none"
"NODE_159_length_333_cov_47.2367",2815.071897,473.841799,FALSE,"none"
"NODE_160_length_332_cov_3.3311",0,0,FALSE,"none"
"NODE_161_length_330_cov_3.25589",225.158284,0,FALSE,"none"
"NODE_162_length_328_cov_2.64068",189.522484,0,FALSE,"none"
"NODE_163_length_326_cov_1.96928",0,0,FALSE,"none"
"NODE_164_length_322_cov_3.64706",274.535302,23.066602,FALSE,"none"
"NODE_165_length_322_cov_3.04152",0,0,FALSE,"none"
"NODE_166_length_321_cov_2.80903",0,0,FALSE,"none"
"NODE_167_length_316_cov_3.46643",220.684752,66.38716,FALSE,"none"
"NODE_168_length_312_cov_2.85305",0,566.073118,FALSE,"none"
"NODE_169_length_312_cov_20.8853",0,0,FALSE,"none"
"NODE_170_length_312_cov_22.8638",511.237236,3265.806452,FALSE,"none"
"NODE_171_length_311_cov_3.9964",0,0,FALSE,"none"
"NODE_172_length_310_cov_4.4296",101.502334,260.233895,FALSE,"none"
"NODE_173_length_309_cov_5.31884",327.471513,21.663357,FALSE,"none"
"NODE_174_length_309_cov_3.2029",0,0,FALSE,"none"
"NODE_175_length_304_cov_3.32472",214.975905,86.634913,FALSE,"none"
"NODE_176_length_302_cov_6.59108",448.911898,0,FALSE,"none"
"NODE_177_length_301_cov_3.99254",30.074408,674.646434,FALSE,"none"
"NODE_178_length_300_cov_3.3633",0,0,FALSE,"none"
"NODE_179_length_300_cov_1.65543",113.347782,0,FALSE,"none"
"NODE_180_length_299_cov_1020.59",57847.7258,9433.136938,FALSE,"none"
"NODE_181_length_298_cov_1.96604",145.07098,109.41611,FALSE,"none"
"NODE_182_length_298_cov_2.42642",0,0,FALSE,"none"
"NODE_183_length_298_cov_6.37358",83.988462,175.065777,FALSE,"none"
"NODE_184_length_298_cov_1.66038",122.165035,0,FALSE,"none"
"NODE_185_length_297_cov_3.73485",245.605888,65.821363,FALSE,"none"
"NODE_186_length_297_cov_2.96212",0,0,FALSE,"none"
"NODE_187_length_297_cov_2.25379",145.828496,0,FALSE,"none"
"NODE_188_length_296_cov_3.42205",0,0,FALSE,"none"
"NODE_189_length_296_cov_2.73764",0,0,FALSE,"none"
"NODE_190_length_295_cov_16.3397",0,0,FALSE,"none"
"NODE_191_length_295_cov_1.89313",0,0,FALSE,"none"
"NODE_192_length_295_cov_3.69847",237.830339,0,FALSE,"none"
"NODE_193_length_293_cov_3.20385",0,0,FALSE,"none"
"NODE_194_length_292_cov_4.22394",0,0,FALSE,"none"
"NODE_195_length_287_cov_2.67717",0,0,FALSE,"none"
"NODE_196_length_287_cov_2.61417",0,0,FALSE,"none"
"NODE_199_length_286_cov_3.3913",0,0,FALSE,"none"
"NODE_200_length_285_cov_2.83333",0,0,FALSE,"none"
"NODE_202_length_283_cov_2.824",0,0,FALSE,"none"
"NODE_203_length_282_cov_5.4498",0,0,FALSE,"none"
"NODE_204_length_282_cov_3.14056",0,0,FALSE,"none"
"NODE_205_length_282_cov_2.23695",166.166372,0,FALSE,"none"
"NODE_206_length_281_cov_1.9879",108.611705,115.705281,FALSE,"none"
"NODE_207_length_280_cov_4.05263",0,0,FALSE,"none"
"NODE_208_length_280_cov_6.42105",462.041887,0,FALSE,"none"
"NODE_209_length_279_cov_2.67073",0,0,FALSE,"none"
"NODE_210_length_276_cov_2.73663",0,0,FALSE,"none"
"NODE_211_length_275_cov_1.96694",0,0,FALSE,"none"
"NODE_212_length_275_cov_2.80579",0,0,FALSE,"none"
"NODE_213_length_274_cov_2.07884",0,0,FALSE,"none"
"NODE_214_length_274_cov_3.44398",0,0,FALSE,"none"
"NODE_215_length_273_cov_3.825",263.416196,47.676225,FALSE,"none"
"NODE_216_length_271_cov_3.21429",221.165163,0,FALSE,"none"
"NODE_217_length_271_cov_3.02941",238.858376,0,FALSE,"none"
"NODE_218_length_270_cov_40.9747",2536.36932,120.655298,FALSE,"none"
"NODE_219_length_269_cov_6.20763",394.002903,0,FALSE,"none"
"NODE_220_length_268_cov_1.88085",0,0,FALSE,"none"
"NODE_221_length_268_cov_2.09787",117.152326,97.270799,FALSE,"none"
"NODE_222_length_266_cov_3.00429",0,0,FALSE,"none"
"NODE_223_length_265_cov_4.03017",0,0,FALSE,"none"
"NODE_224_length_264_cov_1.83983",64.651138,221.401911,FALSE,"none"
"NODE_225_length_264_cov_2.93939",240.132798,0,FALSE,"none"
"NODE_226_length_264_cov_4.27706",0,0,FALSE,"none"
"NODE_227_length_264_cov_2.7316",203.189291,24.600212,FALSE,"none"
"NODE_228_length_263_cov_2.43043",0,0,FALSE,"none"
"NODE_229_length_263_cov_5.28696",0,0,FALSE,"none"
"NODE_230_length_263_cov_4.27826",334.444132,0,FALSE,"none"
"NODE_231_length_263_cov_4.24783",334.444132,24.69121,FALSE,"none"
"NODE_232_length_261_cov_1.62281",0,0,FALSE,"none"
"NODE_233_length_261_cov_1.08772",141.092127,99.559748,FALSE,"none"
"NODE_234_length_260_cov_2.09692",0,0,FALSE,"none"
"NODE_235_length_260_cov_3.5859",246.131195,0,FALSE,"none"
"NODE_236_length_259_cov_3.22566",266.7787,0,FALSE,"none"
"NODE_237_length_257_cov_2.27679",0,0,FALSE,"none"
"NODE_238_length_257_cov_3.94643",0,0,FALSE,"none"
"NODE_239_length_256_cov_27.9058",485.82915,1166.478856,FALSE,"none"
"NODE_240_length_254_cov_3.21719",256.043944,25.541313,FALSE,"none"
"NODE_241_length_254_cov_2.8914",229.705838,0,FALSE,"none"
"NODE_242_length_253_cov_3.01364",0,0,FALSE,"none"
"NODE_243_length_252_cov_3.59817",0,0,FALSE,"none"
"NODE_244_length_252_cov_2.75342",0,0,FALSE,"none"
"NODE_245_length_252_cov_2.07763",0,0,FALSE,"none"
"NODE_246_length_251_cov_3.18807",0,0,FALSE,"none"
"NODE_247_length_251_cov_7.32569",0,0,FALSE,"none"
"NODE_248_length_250_cov_2.57143",202.491912,0,FALSE,"none"
"NODE_249_length_250_cov_3.73733",323.987058,0,FALSE,"none"
"NODE_250_length_250_cov_3.86636",292.363525,51.958937,FALSE,"none"
"NODE_251_length_250_cov_3.29032",273.364081,0,FALSE,"none"
"NODE_252_length_249_cov_2.51852",0,0,FALSE,"none"
"NODE_253_length_249_cov_5.26389",326.20281,52.175591,FALSE,"none"
"NODE_254_length_249_cov_1.89815",142.71373,0,FALSE,"none"
"NODE_255_length_248_cov_4.85581",379.813233,0,FALSE,"none"
"NODE_256_length_247_cov_3.56542",320.491034,0,FALSE,"none"
"NODE_257_length_247_cov_4.60748",289.475773,26.251298,FALSE,"none"
"NODE_258_length_245_cov_2.80189",184.899536,0,FALSE,"none"
"NODE_259_length_245_cov_3.75472",124.314473,0,FALSE,"none"
"NODE_260_length_244_cov_3.04265",0,0,FALSE,"none"
"NODE_261_length_244_cov_11.4171",200.600101,106.006555,FALSE,"none"
"NODE_262_length_243_cov_1.05238",0,0,FALSE,"none"
"NODE_263_length_242_cov_2.66507",214.090676,106.914378,FALSE,"none"
"NODE_264_length_242_cov_7.68421",10.704534,0,FALSE,"none"
"NODE_265_length_242_cov_2.4689",224.79521,0,FALSE,"none"
"NODE_266_length_241_cov_3.43269",0,0,FALSE,"none"
"NODE_267_length_240_cov_2.54589",0,0,FALSE,"none"
"NODE_268_length_240_cov_3.28502",0,0,FALSE,"none"
"NODE_269_length_239_cov_2.06311",0,0,FALSE,"none"
"NODE_270_length_239_cov_2.38835",196.768751,0,FALSE,"none"
"NODE_271_length_238_cov_3.31707",0,0,FALSE,"none"
"NODE_272_length_238_cov_2.1561",0,0,FALSE,"none"
"NODE_273_length_237_cov_2.66667",288.47148,0,FALSE,"none"
"NODE_274_length_237_cov_3.27941",255.186309,0,FALSE,"none"
"NODE_275_length_235_cov_1.76733",0,0,FALSE,"none"
"NODE_276_length_235_cov_1.5099",0,0,FALSE,"none"
"NODE_277_length_235_cov_3.63861",270.267881,0,FALSE,"none"
"NODE_278_length_235_cov_2.61386",0,0,FALSE,"none"
"NODE_279_length_234_cov_1.8806",0,0,FALSE,"none"
"NODE_280_length_234_cov_4.92537",0,0,FALSE,"none"
"NODE_281_length_233_cov_3.455",251.580904,0,FALSE,"none"
"NODE_282_length_233_cov_3.335",0,0,FALSE,"none"
"NODE_283_length_233_cov_3.59",34.306487,0,FALSE,"none"
"NODE_284_length_233_cov_2.805",0,0,FALSE,"none"
"NODE_285_length_232_cov_2.28643",161.350351,0,FALSE,"none"
"NODE_286_length_232_cov_3.36683",0,0,FALSE,"none"
"NODE_287_length_231_cov_2.06061",0,0,FALSE,"none"
"NODE_288_length_230_cov_2.76142",0,0,FALSE,"none"
"NODE_289_length_229_cov_3.90306",0,0,FALSE,"none"
"NODE_290_length_229_cov_2.16327",188.746147,28.17762,FALSE,"none"
"NODE_291_length_229_cov_5.5051",389.288927,56.355239,FALSE,"none"
"NODE_292_length_228_cov_3.66154",0,0,FALSE,"none"
"NODE_293_length_228_cov_2.77949",0,0,FALSE,"none"
