"Name","SRX5158504_SRR8347523_TPM","SRX5158505_SRR8347522_TPM","pir","subfam"
"NODE_1_length_5419_cov_1300.55",36665.086484,8790.946139,FALSE,"noCluster"
"NODE_2_length_3690_cov_4.41756",5.436562,148.101583,FALSE,"noCluster"
"NODE_3_length_3023_cov_86.7579",330.361665,1583.379475,FALSE,"noCluster"
"NODE_4_length_2945_cov_7.36641",142.666447,221.260146,FALSE,"noCluster"
"NODE_5_length_2580_cov_8.14488",0,0,FALSE,"noCluster"
"NODE_6_length_2516_cov_3.89569",0,153.578988,FALSE,"noCluster"
"NODE_7_length_2444_cov_3.99544",48.117341,124.313878,FALSE,"noCluster"
"NODE_8_length_2322_cov_11.9061",1.309229,461.222231,FALSE,"noCluster"
"NODE_9_length_2288_cov_5.37206",29.302452,195.518254,FALSE,"noCluster"
"NODE_10_length_2167_cov_4.26476",24.131864,156.942939,FALSE,"noCluster"
"NODE_11_length_2166_cov_4.18425",0,1.226755,FALSE,"noCluster"
"NODE_12_length_2120_cov_4.6229",0,3.142126,FALSE,"noCluster"
"NODE_13_length_1996_cov_5.97045",0,0.672927,FALSE,"noCluster"
"NODE_14_length_1827_cov_24.6767",0,0,FALSE,"noCluster"
"NODE_15_length_1724_cov_5.37907",0,0,FALSE,"noCluster"
"NODE_16_length_1719_cov_4.09075",7.505596,167.070585,FALSE,"noCluster"
"NODE_17_length_1705_cov_5.51376",18.954635,217.095314,FALSE,"noCluster"
"NODE_18_length_1688_cov_15.9136",5.757421,653.242567,FALSE,"noCluster"
"NODE_19_length_1591_cov_3.70026",0,0,FALSE,"noCluster"
"NODE_20_length_1557_cov_5.00919",0,208.354659,FALSE,"noCluster"
"NODE_21_length_1539_cov_3.92364",6.465259,175.740489,FALSE,"noCluster"
"NODE_22_length_1538_cov_6.48173",0,268.826621,FALSE,"noCluster"
"NODE_23_length_1503_cov_54.4714",3800.236806,146.114123,FALSE,"noCluster"
"NODE_24_length_1487_cov_8.04058",731.80211,57.870364,FALSE,"noCluster"
"NODE_25_length_1469_cov_43.9492",36.595065,1811.698309,FALSE,"noCluster"
"NODE_26_length_1441_cov_3.51278",0,0,FALSE,"noCluster"
"NODE_27_length_1410_cov_3.2658",0,7.079763,FALSE,"noCluster"
"NODE_28_length_1366_cov_4.14629",0,174.481044,FALSE,"noCluster"
"NODE_29_length_1366_cov_11.9265",0,2.102181,FALSE,"noCluster"
"NODE_30_length_1308_cov_6.65804",0,0,FALSE,"noCluster"
"NODE_31_length_1301_cov_22.2768",203.81086,860.270128,FALSE,"noCluster"
"NODE_32_length_1278_cov_60.706",359.802461,1301.455046,FALSE,"noCluster"
"NODE_33_length_1242_cov_3.02812",196.971074,54.363278,FALSE,"noCluster"
"NODE_34_length_1238_cov_11.6307",14.335941,499.546255,FALSE,"noCluster"
"NODE_35_length_1213_cov_3.82203",0,3.651641,FALSE,"noCluster"
"NODE_36_length_1188_cov_1.91169",0,0,FALSE,"noCluster"
"NODE_37_length_1181_cov_3.34059",0,0,FALSE,"noCluster"
"NODE_38_length_1159_cov_6.63943",37.673441,9.023863,FALSE,"noCluster"
"NODE_39_length_1136_cov_3.14234",45.202015,119.015834,FALSE,"noCluster"
"NODE_40_length_1127_cov_9.3638",9.795124,410.118573,FALSE,"noCluster"
"NODE_41_length_1125_cov_7.33516",85.103848,283.852531,FALSE,"noCluster"
"NODE_42_length_1117_cov_4.26292",0,0,FALSE,"noCluster"
"NODE_43_length_1085_cov_2.32034",0,0,FALSE,"noCluster"
"NODE_44_length_1055_cov_29.3053",25.115893,1284.436912,FALSE,"noCluster"
"NODE_45_length_1040_cov_4.21946",0,0,FALSE,"noCluster"
"NODE_46_length_1005_cov_6.06379",0,0,FALSE,"noCluster"
"NODE_47_length_1001_cov_3.875",0,0,FALSE,"noCluster"
"NODE_48_length_994_cov_3.08221",0,146.297086,FALSE,"noCluster"
"NODE_49_length_984_cov_6.59937",0,0,FALSE,"noCluster"
"NODE_50_length_984_cov_2.83701",7.951527,129.144129,FALSE,"noCluster"
"NODE_51_length_969_cov_4.69017",4.068664,216.626092,FALSE,"noCluster"
"NODE_52_length_932_cov_62.9533",0,8.994114,FALSE,"noCluster"
"NODE_53_length_882_cov_4.80212",0,224.483601,FALSE,"noCluster"
"NODE_54_length_878_cov_4.52071",4.740697,221.498911,FALSE,"noCluster"
"NODE_55_length_877_cov_4.63389",0,0,FALSE,"noCluster"
"NODE_56_length_865_cov_4.15024",0,0,FALSE,"noCluster"
"NODE_57_length_859_cov_6.27361",19.640107,253.298527,FALSE,"noCluster"
"NODE_58_length_843_cov_3.01481",0,1.970266,FALSE,"noCluster"
"NODE_59_length_842_cov_3.17182",0,167.753088,FALSE,"noCluster"
"NODE_60_length_841_cov_24.0631",0,0,FALSE,"noCluster"
"NODE_61_length_812_cov_3.39538",0,167.636158,FALSE,"noCluster"
"NODE_62_length_798_cov_5.33203",0,270.583394,FALSE,"noCluster"
"NODE_63_length_794_cov_16.5861",111.868236,6.438299,FALSE,"noCluster"
"NODE_64_length_775_cov_3.71833",0,0,FALSE,"noCluster"
"NODE_65_length_770_cov_2.64722",29.482383,130.163374,FALSE,"noCluster"
"NODE_66_length_767_cov_9.89373",29.683423,483.017759,FALSE,"noCluster"
"NODE_67_length_766_cov_2.84857",0,0,FALSE,"noCluster"
"NODE_68_length_760_cov_1.91472",99.009737,75.496337,FALSE,"noCluster"
"NODE_69_length_743_cov_3.6338",0,0,FALSE,"noCluster"
"NODE_70_length_741_cov_4.03249",0,0,FALSE,"noCluster"
"NODE_71_length_727_cov_2.40058",26.12171,127.107771,FALSE,"noCluster"
"NODE_72_length_727_cov_4.05331",58.773847,190.661657,FALSE,"noCluster"
"NODE_73_length_723_cov_7.56377",0,0,FALSE,"noCluster"
"NODE_74_length_717_cov_4.23977",0,241.087073,FALSE,"noCluster"
"NODE_75_length_697_cov_5.14006",0,0,FALSE,"noCluster"
"NODE_76_length_693_cov_647.424",6312.438684,1339.51401,FALSE,"noCluster"
"NODE_77_length_682_cov_2.17103",0,0,FALSE,"noCluster"
"NODE_78_length_663_cov_1.96667",0,0,FALSE,"noCluster"
"NODE_79_length_659_cov_96.6214",3290.060379,2299.216637,FALSE,"noCluster"
"NODE_80_length_659_cov_3.33387",0,0,FALSE,"noCluster"
"NODE_81_length_649_cov_179.804",3223.115041,1388.001304,FALSE,"noCluster"
"NODE_82_length_646_cov_7.02121",0,0,FALSE,"noCluster"
"NODE_83_length_633_cov_4.32833",8.535856,242.883687,FALSE,"noCluster"
"NODE_84_length_624_cov_5.69036",17.5881,326.352638,FALSE,"noCluster"
"NODE_85_length_616_cov_2.50772",36.148153,142.876005,FALSE,"noCluster"
"NODE_86_length_616_cov_2.12521",36.148153,111.125782,FALSE,"noCluster"
"NODE_87_length_609_cov_3.0434",0,9.708121,FALSE,"noCluster"
"NODE_88_length_606_cov_1.09599",0,0,FALSE,"noCluster"
"NODE_89_length_606_cov_2.26003",28.081827,123.991024,FALSE,"noCluster"
"NODE_90_length_604_cov_4.23117",0,254.011979,FALSE,"noCluster"
"NODE_91_length_603_cov_5.23158",0,0,FALSE,"noCluster"
"NODE_92_length_600_cov_1.22928",31.27478,82.951163,FALSE,"noCluster"
