"Name","SRX5158503_SRR8347524_TPM","SRX5158502_SRR8347525_TPM","pir","subfam"
"NODE_1_length_18829_cov_6.86838",0,0,FALSE,"none"
"NODE_2_length_16136_cov_10.2588",0.055104,0,FALSE,"none"
"NODE_3_length_13377_cov_23.3207",0.13324,0,FALSE,"none"
"NODE_4_length_12637_cov_10.567",9.457236,1.805269,FALSE,"none"
"NODE_5_length_11994_cov_20.0212",39.887151,4.441904,FALSE,"none"
"NODE_6_length_11787_cov_15.7368",20.579411,7.104811,FALSE,"none"
"NODE_7_length_11724_cov_25.0609",0,0,FALSE,"none"
"NODE_8_length_11167_cov_12.7784",0.560109,0,FALSE,"none"
"NODE_9_length_11080_cov_11.583",14.517731,2.751419,FALSE,"none"
"NODE_10_length_11038_cov_8.08587",0.161932,0,FALSE,"none"
"NODE_11_length_10625_cov_11.6405",6.228292,2.333078,FALSE,"none"
"NODE_12_length_10500_cov_15.1218",19.337032,2.906322,FALSE,"none"
"NODE_13_length_10465_cov_106.109",135.221351,31.349464,FALSE,"none"
"NODE_14_length_10059_cov_14.9996",17.263339,11.575877,FALSE,"none"
"NODE_15_length_9962_cov_7.21734",1.348025,0,FALSE,"none"
"NODE_16_length_9961_cov_49.0132",6.381303,1.341713,FALSE,"none"
"NODE_17_length_9903_cov_11.1598",12.205812,6.748658,FALSE,"none"
"NODE_18_length_9758_cov_12.2684",10.371321,8.22122,FALSE,"none"
"NODE_19_length_9752_cov_5.06245",0,0,FALSE,"none"
"NODE_20_length_9539_cov_25.2114",19.631027,3.405652,FALSE,"none"
"NODE_21_length_9366_cov_16.7485",0.095697,0,FALSE,"none"
"NODE_22_length_9360_cov_13.9742",25.854944,5.106159,FALSE,"none"
"NODE_23_length_9327_cov_24.9335",4.524278,2.067993,FALSE,"none"
"NODE_24_length_9156_cov_11.6922",11.850064,4.595747,FALSE,"none"
"NODE_25_length_9100_cov_38.831",1.183914,0.210448,FALSE,"none"
"NODE_26_length_9071_cov_133.853",180.956761,75.079944,FALSE,"none"
"NODE_27_length_9005_cov_45.2235",53.078933,21.536202,FALSE,"none"
"NODE_28_length_8997_cov_26.873",10.468467,4.678792,FALSE,"none"
"NODE_29_length_8868_cov_10.0461",5.463685,2.805876,FALSE,"none"
"NODE_30_length_8851_cov_42.9365",15.755303,10.408178,FALSE,"none"
"NODE_31_length_8836_cov_36.4555",0,0,FALSE,"none"
"NODE_32_length_8816_cov_14.2039",7.634122,10.856948,FALSE,"none"
"NODE_33_length_8806_cov_202.052",3.566718,0.869565,FALSE,"none"
"NODE_34_length_8729_cov_18.092",27.556742,4.60642,FALSE,"none"
"NODE_35_length_8674_cov_11.9147",13.143122,4.194757,FALSE,"none"
"NODE_36_length_8667_cov_18.1557",1.760766,4.198224,FALSE,"none"
"NODE_37_length_8603_cov_17.0942",0.208722,0,FALSE,"none"
"NODE_38_length_8512_cov_23.7158",0.1055,0,FALSE,"none"
"NODE_39_length_8474_cov_18.7049",26.707829,9.044478,FALSE,"none"
"NODE_40_length_8457_cov_60.1573",48.746268,14.274373,FALSE,"none"
"NODE_41_length_8376_cov_37.9788",4.719003,1.372929,FALSE,"none"
"NODE_42_length_8342_cov_12.0403",0.753876,0,FALSE,"none"
"NODE_43_length_8296_cov_12.2533",22.636104,4.852721,FALSE,"none"
"NODE_44_length_8268_cov_34.892",0,0,FALSE,"none"
"NODE_45_length_8258_cov_10.966",0.54408,0,FALSE,"none"
"NODE_46_length_8249_cov_9.34153",12.309911,4.648619,FALSE,"none"
"NODE_47_length_8078_cov_7.55376",3.450134,0,FALSE,"none"
"NODE_48_length_8061_cov_22.3568",19.741626,3.569823,FALSE,"none"
"NODE_49_length_8020_cov_61.6726",52.447698,30.143685,FALSE,"none"
"NODE_50_length_7829_cov_23.4642",8.748458,0.736926,FALSE,"none"
"NODE_51_length_7742_cov_7.94383",16.854385,3.968822,FALSE,"none"
"NODE_52_length_7735_cov_14.6644",11.518133,7.696735,FALSE,"none"
"NODE_53_length_7705_cov_20.3702",0,0,FALSE,"none"
