"Name","SRX5158502_SRR8347525_TPM","SRX5158503_SRR8347524_TPM","pir","subfam"
"NODE_1_length_18829_cov_6.86838",0,0,FALSE,"noCluster"
"NODE_2_length_16136_cov_10.2588",0,0.055104,FALSE,"noCluster"
"NODE_3_length_13377_cov_23.3207",0,0.13324,FALSE,"noCluster"
"NODE_4_length_12637_cov_10.567",1.805269,9.457236,FALSE,"noCluster"
"NODE_5_length_11994_cov_20.0212",4.441904,39.887151,FALSE,"noCluster"
"NODE_6_length_11787_cov_15.7368",7.104811,20.579411,FALSE,"noCluster"
"NODE_7_length_11724_cov_25.0609",0,0,FALSE,"noCluster"
"NODE_8_length_11167_cov_12.7784",0,0.560109,FALSE,"noCluster"
"NODE_9_length_11080_cov_11.583",2.751419,14.517731,FALSE,"noCluster"
"NODE_10_length_11038_cov_8.08587",0,0.161932,FALSE,"noCluster"
"NODE_11_length_10625_cov_11.6405",2.333078,6.228292,FALSE,"noCluster"
"NODE_12_length_10500_cov_15.1218",2.906322,19.337032,FALSE,"noCluster"
"NODE_13_length_10465_cov_106.109",31.349464,135.221351,FALSE,"noCluster"
"NODE_14_length_10059_cov_14.9996",11.575877,17.263339,FALSE,"noCluster"
"NODE_15_length_9962_cov_7.21734",0,1.348025,FALSE,"noCluster"
"NODE_16_length_9961_cov_49.0132",1.341713,6.381303,FALSE,"noCluster"
"NODE_17_length_9903_cov_11.1598",6.748658,12.205812,FALSE,"noCluster"
"NODE_18_length_9758_cov_12.2684",8.22122,10.371321,FALSE,"noCluster"
"NODE_19_length_9752_cov_5.06245",0,0,FALSE,"noCluster"
"NODE_20_length_9539_cov_25.2114",3.405652,19.631027,FALSE,"noCluster"
"NODE_21_length_9366_cov_16.7485",0,0.095697,FALSE,"noCluster"
"NODE_22_length_9360_cov_13.9742",5.106159,25.854944,FALSE,"noCluster"
"NODE_23_length_9327_cov_24.9335",2.067993,4.524278,FALSE,"noCluster"
"NODE_24_length_9156_cov_11.6922",4.595747,11.850064,FALSE,"noCluster"
"NODE_25_length_9100_cov_38.831",0.210448,1.183914,FALSE,"noCluster"
"NODE_26_length_9071_cov_133.853",75.079944,180.956761,FALSE,"noCluster"
"NODE_27_length_9005_cov_45.2235",21.536202,53.078933,FALSE,"noCluster"
"NODE_28_length_8997_cov_26.873",4.678792,10.468467,FALSE,"noCluster"
"NODE_29_length_8868_cov_10.0461",2.805876,5.463685,FALSE,"noCluster"
"NODE_30_length_8851_cov_42.9365",10.408178,15.755303,FALSE,"noCluster"
"NODE_31_length_8836_cov_36.4555",0,0,FALSE,"noCluster"
"NODE_32_length_8816_cov_14.2039",10.856948,7.634122,FALSE,"noCluster"
"NODE_33_length_8806_cov_202.052",0.869565,3.566718,FALSE,"noCluster"
"NODE_34_length_8729_cov_18.092",4.60642,27.556742,FALSE,"noCluster"
"NODE_35_length_8674_cov_11.9147",4.194757,13.143122,FALSE,"noCluster"
"NODE_36_length_8667_cov_18.1557",4.198224,1.760766,FALSE,"noCluster"
"NODE_37_length_8603_cov_17.0942",0,0.208722,FALSE,"noCluster"
"NODE_38_length_8512_cov_23.7158",0,0.1055,FALSE,"noCluster"
"NODE_39_length_8474_cov_18.7049",9.044478,26.707829,FALSE,"noCluster"
"NODE_40_length_8457_cov_60.1573",14.274373,48.746268,FALSE,"noCluster"
"NODE_41_length_8376_cov_37.9788",1.372929,4.719003,FALSE,"noCluster"
