"Name","SRX5158497_SRR8347530_TPM","SRX5158496_SRR8347531_TPM","pir","subfam"
"NODE_1_length_17100_cov_8.64036",82.114673,2.837542,FALSE,"none"
"NODE_2_length_13326_cov_11.0447",2.996558,0.107474,FALSE,"none"
"NODE_3_length_13120_cov_5.98074",14.289258,0.982705,FALSE,"none"
"NODE_4_length_12944_cov_9.40051",9.699435,0,FALSE,"none"
"NODE_5_length_12883_cov_9.42755",8.480271,0.111232,FALSE,"none"
"NODE_6_length_11693_cov_19.0462",27.719524,2.33245,FALSE,"none"
"NODE_7_length_11382_cov_28.3088",17.294065,1.387962,FALSE,"none"
"NODE_8_length_11315_cov_9.24109",0.144382,0,FALSE,"none"
"NODE_9_length_11148_cov_6.16257",6.229607,0.386635,FALSE,"none"
"NODE_10_length_11134_cov_17.1985",9.172888,0.38713,FALSE,"none"
"NODE_11_length_11037_cov_9.93348",8.225932,0,FALSE,"none"
"NODE_12_length_10783_cov_11.368",37.390158,0,FALSE,"none"
"NODE_13_length_10550_cov_16.0506",17.750401,0.817998,FALSE,"none"
"NODE_14_length_10493_cov_9.45707",6.313201,0.822533,FALSE,"none"
"NODE_15_length_10467_cov_11.6864",4.453843,0,FALSE,"none"
"NODE_16_length_10384_cov_11.6892",9.295178,0,FALSE,"none"
"NODE_17_length_10368_cov_21.0986",10.335417,0,FALSE,"none"
"NODE_18_length_10364_cov_5.6555",20.915728,0,FALSE,"none"
"NODE_19_length_10355_cov_13.4363",0.236991,0,FALSE,"none"
"NODE_20_length_10332_cov_18.3991",10.92627,0,FALSE,"none"
"NODE_21_length_10189_cov_16.5729",18.229505,0,FALSE,"none"
"NODE_22_length_10175_cov_12.4889",9.971905,0,FALSE,"none"
"NODE_23_length_10036_cov_16.5104",12.39588,0,FALSE,"none"
"NODE_24_length_9953_cov_18.2736",11.925364,0.144688,FALSE,"none"
"NODE_25_length_9772_cov_14.995",8.79843,0.58971,FALSE,"none"
"NODE_26_length_9669_cov_116.856",0.169407,0,FALSE,"none"
"NODE_27_length_9418_cov_8.37027",13.659451,0,FALSE,"none"
"NODE_28_length_9411_cov_7.82203",6.704297,0,FALSE,"none"
"NODE_29_length_9291_cov_17.4069",19.974813,0,FALSE,"none"
"NODE_30_length_9239_cov_15.9592",20.760601,2.810379,FALSE,"none"
"NODE_31_length_9185_cov_12.9365",6.158394,0,FALSE,"none"
"NODE_32_length_9154_cov_15.3318",33.49549,1.576163,FALSE,"none"
"NODE_33_length_9094_cov_11.2765",2.704873,0,FALSE,"none"
"NODE_34_length_8998_cov_9.87842",0.182286,0,FALSE,"none"
"NODE_35_length_8981_cov_6.16428",7.031567,0.160726,FALSE,"none"
"NODE_36_length_8885_cov_14.7978",12.648556,0,FALSE,"none"
"NODE_37_length_8877_cov_17.6687",44.634068,1.626547,FALSE,"none"
"NODE_38_length_8813_cov_45.7162",52.877696,1.96638,FALSE,"none"
"NODE_39_length_8802_cov_12.0064",10.905944,0.984449,FALSE,"none"
"NODE_40_length_8802_cov_19.9699",0.27964,0.492225,FALSE,"none"
"NODE_41_length_8802_cov_19.794",23.955792,1.968898,FALSE,"none"
"NODE_42_length_8774_cov_15.4772",19.825524,0,FALSE,"none"
"NODE_43_length_8746_cov_15.3753",45.972792,1.15606,FALSE,"none"
"NODE_44_length_8727_cov_7.17805",0,0,FALSE,"none"
"NODE_45_length_8627_cov_12.5641",9.257759,4.689632,FALSE,"none"
"NODE_46_length_8622_cov_51.9105",14.755823,2.34621,FALSE,"none"
"NODE_47_length_8603_cov_23.2802",73.277493,2.85542,FALSE,"none"
"NODE_48_length_8584_cov_21.4301",9.371634,1.515124,FALSE,"none"
"NODE_49_length_8548_cov_12.2058",1.920799,0,FALSE,"none"
"NODE_50_length_8540_cov_5.85024",0,0,FALSE,"none"
"NODE_51_length_8442_cov_16.2186",9.435283,0.342503,FALSE,"none"
"NODE_52_length_8417_cov_8.9573",0,0,FALSE,"none"
"NODE_53_length_8325_cov_9.64315",17.858706,0,FALSE,"none"
"NODE_54_length_8309_cov_12.6609",5.832793,0,FALSE,"none"
"NODE_55_length_8290_cov_9.07254",17.935704,1.046843,FALSE,"none"
"NODE_56_length_8286_cov_24.1086",12.392643,0,FALSE,"none"
"NODE_57_length_8273_cov_3.75968",8.539821,0,FALSE,"none"
"NODE_58_length_8264_cov_54.0652",21.111592,0.526026,FALSE,"none"
"NODE_59_length_8251_cov_25.4288",9.558783,0,FALSE,"none"
"NODE_60_length_8249_cov_8.25353",7.469648,0,FALSE,"none"
"NODE_61_length_8236_cov_13.3378",22.94385,1.75648,FALSE,"none"
"NODE_62_length_8227_cov_77.8182",102.794296,4.542657,FALSE,"none"
