"Name","SRX5158523_SRR8347504_TPM","SRX5158524_SRR8347503_TPM","pir","subfam"
"NODE_1_length_15506_cov_14.244",29.780451,7.577187,FALSE,"noCluster"
"NODE_2_length_14935_cov_9.76319",49.677656,11.907272,FALSE,"noCluster"
"NODE_3_length_13313_cov_14.9628",31.839518,9.282423,FALSE,"noCluster"
"NODE_4_length_12615_cov_9.70535",42.131179,6.381111,FALSE,"noCluster"
"NODE_5_length_11559_cov_12.5394",82.16194,19.462681,FALSE,"noCluster"
"NODE_6_length_11501_cov_8.69745",0.025528,0,FALSE,"noCluster"
"NODE_7_length_11465_cov_10.4875",41.857849,12.401391,FALSE,"noCluster"
"NODE_8_length_11234_cov_10.2755",0.405804,0.130712,FALSE,"noCluster"
"NODE_9_length_11087_cov_26.9074",21.803062,4.189725,FALSE,"noCluster"
"NODE_10_length_10931_cov_9.28143",15.88182,2.952468,FALSE,"noCluster"
"NODE_11_length_10833_cov_8.81574",7.120344,1.557541,FALSE,"noCluster"
"NODE_12_length_10687_cov_12.9453",37.002937,9.681157,FALSE,"noCluster"
"NODE_13_length_10541_cov_8.47587",16.564455,7.728792,FALSE,"noCluster"
"NODE_14_length_10439_cov_11.2712",41.379859,5.625715,FALSE,"noCluster"
"NODE_15_length_10332_cov_13.2218",7.218152,2.202954,FALSE,"noCluster"
"NODE_16_length_10272_cov_6.4644",0.042948,0,FALSE,"noCluster"
"NODE_17_length_10262_cov_7.89745",26.179117,2.719155,FALSE,"noCluster"
"NODE_18_length_10255_cov_80.7033",500.336117,31.862378,FALSE,"noCluster"
"NODE_19_length_10177_cov_12.7798",14.322208,2.381461,FALSE,"noCluster"
"NODE_20_length_9952_cov_19.5971",13.999089,3.765232,FALSE,"noCluster"
"NODE_21_length_9667_cov_5.44976",19.549704,3.041893,FALSE,"noCluster"
"NODE_22_length_9575_cov_11.1632",37.66722,9.829438,FALSE,"noCluster"
"NODE_23_length_9483_cov_7.39655",31.979236,9.073629,FALSE,"noCluster"
"NODE_24_length_9458_cov_8.57379",34.184547,6.454203,FALSE,"noCluster"
"NODE_25_length_9322_cov_7.53364",4.958563,1.820174,FALSE,"noCluster"
"NODE_26_length_9204_cov_7.98103",19.045861,1.838888,FALSE,"noCluster"
"NODE_27_length_9203_cov_11.7034",2.144897,0.479763,FALSE,"noCluster"
"NODE_28_length_9147_cov_511.826",0.193277,0,FALSE,"noCluster"
"NODE_29_length_9126_cov_16.2411",31.602055,5.000251,FALSE,"noCluster"
"NODE_30_length_9087_cov_10.6249",0,0,FALSE,"noCluster"
"NODE_31_length_8990_cov_13.1964",84.438949,17.11606,FALSE,"noCluster"
"NODE_32_length_8981_cov_90.1235",14.013671,4.754772,FALSE,"noCluster"
"NODE_33_length_8926_cov_10.5075",8.157118,0.742452,FALSE,"noCluster"
"NODE_34_length_8902_cov_11.0695",16.789516,5.707808,FALSE,"noCluster"
"NODE_35_length_8902_cov_15.3204",37.089266,8.603073,FALSE,"noCluster"
"NODE_36_length_8864_cov_13.9042",14.118853,4.901961,FALSE,"noCluster"
"NODE_37_length_8844_cov_13.1326",0.250024,0,FALSE,"noCluster"
"NODE_38_length_8838_cov_10.0614",0.01668,0,FALSE,"noCluster"
"NODE_39_length_8829_cov_44.0103",54.243141,10.427565,FALSE,"noCluster"
"NODE_40_length_8827_cov_10.577",49.434838,7.676464,FALSE,"noCluster"
"NODE_41_length_8802_cov_11.9163",35.374441,7.029282,FALSE,"noCluster"
"NODE_42_length_8789_cov_24.8643",18.227863,10.224623,FALSE,"noCluster"
"NODE_43_length_8774_cov_29.1641",24.230926,6.128697,FALSE,"noCluster"
"NODE_44_length_8758_cov_12.3341",2.138039,0,FALSE,"noCluster"
"NODE_45_length_8679_cov_9.7046",10.145198,3.211456,FALSE,"noCluster"
"NODE_46_length_8673_cov_13.7725",48.152528,8.410431,FALSE,"noCluster"
"NODE_47_length_8637_cov_22.2939",18.680272,2.388841,FALSE,"noCluster"
"NODE_48_length_8573_cov_15.0834",29.265823,10.487944,FALSE,"noCluster"
"NODE_49_length_8568_cov_9.81747",6.765612,1.720361,FALSE,"noCluster"
"NODE_50_length_8513_cov_16.838",2.014818,0.259759,FALSE,"noCluster"
"NODE_51_length_8493_cov_24.3478",6.531198,5.294473,FALSE,"noCluster"
"NODE_52_length_8447_cov_7.67887",3.042057,1.161522,FALSE,"noCluster"
"NODE_53_length_8399_cov_14.5531",33.256868,8.076496,FALSE,"noCluster"
"NODE_54_length_8396_cov_44.8538",218.603226,25.643464,FALSE,"noCluster"
"NODE_55_length_8392_cov_14.3194",8.244597,4.129556,FALSE,"noCluster"
"NODE_56_length_8379_cov_28.6155",0.228944,0.264007,FALSE,"noCluster"
"NODE_57_length_8279_cov_14.4694",6.257607,5.34538,FALSE,"noCluster"
