"Name","SRX5158519_SRR8347508_TPM","SRX5158520_SRR8347507_TPM","pir","subfam"
"NODE_1_length_6013_cov_21.4455",0.303101,0,FALSE,"none"
"NODE_2_length_6002_cov_20.3171",0,0,FALSE,"none"
"NODE_3_length_5419_cov_969.064",10775.31207,16367.626061,FALSE,"none"
"NODE_4_length_5255_cov_6.8311",37.464694,2.599762,FALSE,"none"
"NODE_5_length_4835_cov_5.42128",0,0,FALSE,"none"
"NODE_6_length_4534_cov_17.579",0.812848,0,FALSE,"none"
"NODE_7_length_4388_cov_8.44501",227.111485,6.754999,FALSE,"none"
"NODE_8_length_4340_cov_7.47806",39.77935,0,FALSE,"none"
"NODE_9_length_4241_cov_7.28208",1.743434,0,FALSE,"none"
"NODE_10_length_3870_cov_11.0401",217.378185,5.67423,FALSE,"none"
"NODE_11_length_3746_cov_7.9324",266.213712,5.34449,FALSE,"none"
"NODE_12_length_3612_cov_6.34311",0,0,FALSE,"none"
"NODE_13_length_3593_cov_20.211",0.518985,0,FALSE,"none"
"NODE_14_length_3540_cov_12.7191",263.604545,3.979661,FALSE,"none"
"NODE_15_length_3507_cov_10.3932",0,0,FALSE,"none"
"NODE_16_length_3337_cov_6.11229",127.128772,1.213272,FALSE,"none"
"NODE_17_length_3286_cov_21.6545",1.71161,0,FALSE,"none"
"NODE_18_length_3275_cov_11.1021",1.717724,0,FALSE,"none"
"NODE_19_length_3156_cov_4.32373",77.128702,0.645202,FALSE,"none"
"NODE_20_length_3143_cov_5.89871",190.125571,7.129777,FALSE,"none"
"NODE_21_length_3109_cov_7.5751",1.815587,0,FALSE,"none"
"NODE_22_length_3083_cov_28.5669",657.969854,13.243609,FALSE,"none"
"NODE_23_length_3076_cov_7.39435",0.306064,0,FALSE,"none"
"NODE_24_length_3041_cov_311.727",13790.479083,426.948599,FALSE,"none"
"NODE_25_length_3023_cov_43.2405",0,0,FALSE,"none"
"NODE_26_length_2997_cov_30.6738",1103.634058,38.268467,FALSE,"none"
"NODE_27_length_2972_cov_5.87683",69.856163,1.379561,FALSE,"none"
"NODE_28_length_2947_cov_5.29478",151.875708,11.141077,FALSE,"none"
"NODE_29_length_2827_cov_11.5009",172.201945,5.836003,TRUE,"unassigned_15"
"NODE_30_length_2789_cov_5.95755",96.200669,0.740678,FALSE,"none"
"NODE_31_length_2771_cov_10.7754",4.449995,0,FALSE,"none"
"NODE_32_length_2760_cov_11.7613",0.687551,0,FALSE,"none"
"NODE_33_length_2725_cov_9.91753",0.348532,0,FALSE,"none"
"NODE_34_length_2719_cov_8.29226",211.712481,3.048761,FALSE,"none"
"NODE_35_length_2699_cov_7.55664",2.465059,0,FALSE,"none"
