"Name","SRX5158521_SRR8347506_TPM","SRX5158522_SRR8347505_TPM","pir","subfam"
"NODE_1_length_17969_cov_7.98433",3.074072,0,FALSE,"noCluster"
"NODE_2_length_16987_cov_12.201",3.823665,0.821658,FALSE,"noCluster"
"NODE_3_length_12408_cov_8.95362",2.137971,1.130022,FALSE,"noCluster"
"NODE_4_length_10032_cov_70.0737",8.038692,1.262964,FALSE,"noCluster"
"NODE_5_length_9843_cov_6.46575",6.146751,0.143082,FALSE,"noCluster"
"NODE_6_length_9642_cov_125.291",0.418474,0,FALSE,"noCluster"
"NODE_7_length_9158_cov_24.3017",0.264597,0,FALSE,"noCluster"
"NODE_8_length_9140_cov_5.54068",0,0,FALSE,"noCluster"
"NODE_9_length_9115_cov_6.11121",15.774831,6.500544,FALSE,"noCluster"
"NODE_10_length_9052_cov_20.7482",0,0,FALSE,"noCluster"
"NODE_11_length_9000_cov_7.81555",0.269328,0,FALSE,"noCluster"
"NODE_12_length_8884_cov_20.9626",1.182616,0.158895,FALSE,"noCluster"
"NODE_13_length_8867_cov_10.6709",12.031555,6.209079,FALSE,"noCluster"
"NODE_14_length_8853_cov_6.74841",0,0.797325,FALSE,"noCluster"
"NODE_15_length_8744_cov_15.3763",13.128592,4.360526,FALSE,"noCluster"
"NODE_16_length_8681_cov_8.56753",35.554953,2.603226,FALSE,"noCluster"
"NODE_17_length_8593_cov_17.0918",1.317557,0,FALSE,"noCluster"
"NODE_18_length_8562_cov_6.7947",0,0,FALSE,"noCluster"
"NODE_19_length_8550_cov_69.4423",0,0,FALSE,"noCluster"
"NODE_20_length_8493_cov_10.2424",0.190482,0,FALSE,"noCluster"
"NODE_21_length_8370_cov_7.16565",4.736773,0.337801,FALSE,"noCluster"
"NODE_22_length_8302_cov_9.015",30.997565,6.472124,FALSE,"noCluster"
"NODE_23_length_8293_cov_11.7114",7.312671,5.115258,FALSE,"noCluster"
"NODE_24_length_8292_cov_10.6801",2.244721,0.511589,FALSE,"noCluster"
"NODE_25_length_8231_cov_10.4427",0,0,FALSE,"noCluster"
"NODE_26_length_8201_cov_23.2296",23.787099,2.759534,FALSE,"noCluster"
"NODE_27_length_8155_cov_21.452",81.401281,15.959156,FALSE,"noCluster"
"NODE_28_length_8066_cov_54.9549",235.780478,9.47341,FALSE,"noCluster"
"NODE_29_length_8029_cov_7.12106",4.336992,0,FALSE,"noCluster"
"NODE_30_length_7912_cov_11.3113",5.42632,0,FALSE,"noCluster"
"NODE_31_length_7871_cov_13.7853",12.866012,1.079383,FALSE,"noCluster"
"NODE_32_length_7779_cov_13.5301",25.938747,2.731243,FALSE,"noCluster"
"NODE_33_length_7693_cov_6.7911",17.490032,15.839016,FALSE,"noCluster"
"NODE_34_length_7552_cov_10.1052",0.644235,0.18771,FALSE,"noCluster"
"NODE_35_length_7534_cov_24.1568",11.194022,0.188171,FALSE,"noCluster"
