"Name","SRX5158492_SRR8347535_TPM","SRX5158493_SRR8347534_TPM","pir","subfam"
"NODE_1_length_8789_cov_13.8705",870.941348,55.683153,FALSE,"noCluster"
"NODE_2_length_6117_cov_14.6818",895.901564,38.96554,FALSE,"noCluster"
"NODE_3_length_5782_cov_6.86641",44.214892,11.151858,FALSE,"noCluster"
"NODE_4_length_5686_cov_5.07129",0.12254,0,FALSE,"noCluster"
"NODE_5_length_5419_cov_784.08",1638.96944,4611.406837,FALSE,"noCluster"
"NODE_6_length_4949_cov_23.3173",1137.972465,104.433884,FALSE,"noCluster"
"NODE_7_length_4813_cov_5.67658",60.443394,12.003035,FALSE,"noCluster"
"NODE_8_length_4408_cov_14.3374",0.371943,0,FALSE,"noCluster"
"NODE_9_length_4277_cov_6.2811",194.488345,17.714812,FALSE,"noCluster"
"NODE_10_length_4249_cov_5.01305",189.17289,34.892818,FALSE,"noCluster"
"NODE_11_length_4184_cov_11.3987",50.300531,5.327306,FALSE,"noCluster"
"NODE_12_length_4120_cov_9.59726",12.02676,0.13447,FALSE,"noCluster"
"NODE_13_length_3873_cov_5.74089",54.346659,9.75715,FALSE,"noCluster"
"NODE_14_length_3782_cov_5.33894",57.89314,12.505388,FALSE,"noCluster"
"NODE_15_length_3667_cov_12.1863",0.257444,0,FALSE,"noCluster"
"NODE_16_length_3569_cov_23.2967",1.390436,0,FALSE,"noCluster"
"NODE_17_length_3550_cov_8.93034",2.663293,0,FALSE,"noCluster"
"NODE_18_length_3500_cov_193.24",7068.595769,353.478426,FALSE,"noCluster"
"NODE_19_length_3462_cov_7.68883",99.527337,25.356895,FALSE,"noCluster"
"NODE_20_length_3399_cov_9.22935",1.184665,0,FALSE,"noCluster"
"NODE_21_length_3367_cov_24.2247",147.026957,45.576515,FALSE,"noCluster"
"NODE_22_length_3282_cov_24.9701",649.265434,128.623075,FALSE,"noCluster"
"NODE_23_length_3250_cov_43.6752",518.555585,88.938894,FALSE,"noCluster"
"NODE_24_length_3247_cov_10.2586",1.681698,0,FALSE,"noCluster"
"NODE_25_length_3213_cov_45.8368",718.096878,137.400908,FALSE,"noCluster"
"NODE_26_length_3211_cov_5.78697",270.618781,19.066937,FALSE,"noCluster"
"NODE_27_length_3186_cov_6.08849",123.89591,34.924328,FALSE,"noCluster"
"NODE_28_length_3180_cov_19.4741",213.82926,64.509879,FALSE,"noCluster"
"NODE_29_length_3172_cov_20.3122",289.18514,65.391774,FALSE,"noCluster"
"NODE_30_length_3141_cov_7.57432",0.984322,0,FALSE,"noCluster"
"NODE_31_length_3140_cov_43.3624",1.287623,0,FALSE,"noCluster"
"NODE_32_length_3107_cov_8.63273",0.076591,0,FALSE,"noCluster"
"NODE_33_length_3107_cov_12.5576",14.705398,5.434854,FALSE,"noCluster"
"NODE_34_length_3089_cov_4.6767",0,0,FALSE,"noCluster"
"NODE_35_length_3071_cov_521.327",0.077538,0.36685,FALSE,"noCluster"
"NODE_36_length_3057_cov_4.51423",133.464008,12.533813,FALSE,"noCluster"
"NODE_37_length_3017_cov_4.60925",1.106045,0,FALSE,"noCluster"
"NODE_38_length_3010_cov_5.62412",61.298666,8.057871,FALSE,"noCluster"
"NODE_39_length_2995_cov_5.46826",0.716546,0,FALSE,"noCluster"
"NODE_40_length_2992_cov_30.1862",1455.116847,92.499514,TRUE,"unassigned_3"
"NODE_41_length_2991_cov_14.6988",2.790506,0.188663,FALSE,"noCluster"
"NODE_42_length_2941_cov_13.3566",2.353701,0,FALSE,"noCluster"
