"Name","SRX2600377_SRR5298190_TPM","pir","subfam"
"NODE_1_length_20069_cov_22.1155",1.747973,FALSE,"none"
"NODE_2_length_14530_cov_57.8993",4.558265,FALSE,"none"
"NODE_3_length_13640_cov_70.162",5.568062,FALSE,"none"
"NODE_4_length_13624_cov_145.394",11.431849,FALSE,"none"
"NODE_5_length_13257_cov_88.1819",7.032871,FALSE,"none"
"NODE_6_length_12792_cov_124.778",9.998662,FALSE,"none"
"NODE_7_length_12189_cov_17.506",1.395246,FALSE,"none"
"NODE_8_length_12090_cov_42.4684",3.369063,FALSE,"none"
"NODE_9_length_11683_cov_13.5688",1.088004,FALSE,"none"
"NODE_10_length_11497_cov_25.2479",2.069199,FALSE,"none"
"NODE_11_length_11380_cov_65.843",5.209757,FALSE,"none"
"NODE_12_length_11243_cov_58.0659",4.661409,FALSE,"none"
"NODE_13_length_11123_cov_32.7155",2.63611,FALSE,"none"
"NODE_14_length_11099_cov_29.2847",2.329541,FALSE,"none"
"NODE_15_length_11094_cov_46.3632",3.733125,FALSE,"none"
"NODE_16_length_10901_cov_41.9061",3.375018,FALSE,"none"
"NODE_17_length_10866_cov_71.405",5.682285,FALSE,"none"
"NODE_18_length_10554_cov_26.9927",2.176376,FALSE,"none"
"NODE_19_length_10470_cov_58.192",4.679031,FALSE,"none"
"NODE_20_length_10334_cov_42.0471",3.345609,FALSE,"none"
"NODE_21_length_9902_cov_19.2148",1.52165,FALSE,"none"
"NODE_22_length_9812_cov_16.1574",1.296603,FALSE,"none"
"NODE_23_length_9801_cov_8.61497",0.689077,FALSE,"none"
"NODE_24_length_9768_cov_28.1619",2.248596,FALSE,"none"
"NODE_25_length_9766_cov_39.9142",3.217791,FALSE,"none"
"NODE_26_length_9523_cov_42.9688",3.50701,FALSE,"none"
"NODE_27_length_9303_cov_16.8368",1.347343,FALSE,"none"
"NODE_28_length_9151_cov_57.7042",4.642609,FALSE,"none"
"NODE_29_length_9036_cov_414.606",33.053666,FALSE,"none"
"NODE_30_length_8971_cov_294.354",23.586981,FALSE,"none"
"NODE_31_length_8956_cov_10.0447",0.805815,FALSE,"none"
"NODE_32_length_8883_cov_10.2163",0.830147,FALSE,"none"
"NODE_33_length_8877_cov_10.7526",0.869796,FALSE,"none"
"NODE_34_length_8814_cov_49.818",3.965658,FALSE,"none"
"NODE_35_length_8704_cov_9.7028",0.776104,FALSE,"none"
"NODE_36_length_8574_cov_55.1314",4.377504,FALSE,"none"
"NODE_37_length_8481_cov_23.7276",1.897025,FALSE,"none"
"NODE_38_length_8449_cov_18.9202",1.520163,FALSE,"none"
"NODE_39_length_8424_cov_264.415",21.256465,FALSE,"none"
"NODE_40_length_8364_cov_10.4547",0.850145,FALSE,"none"
"NODE_41_length_8346_cov_18.8988",1.541433,FALSE,"none"
"NODE_42_length_8316_cov_15.5548",1.244872,FALSE,"none"
"NODE_43_length_8290_cov_100.792",8.199915,FALSE,"none"
"NODE_44_length_8235_cov_57.8111",4.64602,FALSE,"none"
"NODE_45_length_8226_cov_20.0781",1.611057,FALSE,"none"
"NODE_46_length_8162_cov_24.7781",1.985465,FALSE,"none"
"NODE_47_length_8119_cov_14.8579",1.192016,FALSE,"none"
"NODE_48_length_8098_cov_11.8191",0.946486,FALSE,"none"
"NODE_49_length_8020_cov_31.9439",2.580208,FALSE,"none"
"NODE_50_length_7979_cov_18.9554",1.52558,FALSE,"none"
"NODE_51_length_7958_cov_69.7992",5.57826,FALSE,"none"
"NODE_52_length_7951_cov_20.1846",1.626649,FALSE,"none"
"NODE_53_length_7946_cov_16.4489",1.334889,FALSE,"none"
