"Name","SRX697827_SRR1571697_TPM","SRX697828_SRR1571698_TPM","SRX697829_SRR1571699_TPM","SRX697830_SRR1571700_TPM","SRX697831_SRR1571701_TPM","SRX697832_SRR1571702_TPM","SRX697833_SRR1571703_TPM","pir","subfam"
"NODE_1_length_38407_cov_50.3239",1.265881,0.931213,1.755557,6.588732,15.326197,11.902763,6.169891,FALSE,"noCluster"
"NODE_2_length_38032_cov_36.0697",2.516546,2.327479,2.424413,5.332448,9.664253,6.0973,3.825261,FALSE,"noCluster"
"NODE_3_length_37130_cov_95.5952",12.575931,13.323954,9.360909,5.767081,9.590593,13.685365,18.608959,FALSE,"noCluster"
"NODE_4_length_35512_cov_62.9902",2.84353,3.442923,9.621859,13.719291,12.593616,7.125675,6.173532,FALSE,"noCluster"
"NODE_5_length_35473_cov_118.054",6.050912,2.821737,2.483287,2.34134,27.81721,36.810537,22.391435,FALSE,"noCluster"
"NODE_6_length_35383_cov_42.7534",2.834257,5.185487,6.309834,5.501629,6.322192,5.272047,5.653095,FALSE,"noCluster"
"NODE_7_length_34966_cov_43.8681",5.621945,4.979811,5.700112,5.039474,4.428141,4.519976,7.688257,FALSE,"noCluster"
"NODE_8_length_34149_cov_62.1691",10.326881,11.434227,9.963016,5.714813,5.815617,5.958188,6.026792,FALSE,"noCluster"
"NODE_9_length_33663_cov_31.2771",2.901962,4.639021,5.07907,4.205819,5.026796,3.537836,2.397534,FALSE,"noCluster"
"NODE_10_length_32745_cov_45.786",6.429129,10.560302,10.186198,6.656405,3.038118,1.778879,1.942615,FALSE,"noCluster"
"NODE_11_length_31745_cov_121.741",7.684785,6.158401,6.373221,9.458643,25.243915,30.917667,19.954439,FALSE,"noCluster"
"NODE_12_length_31694_cov_55.7968",13.404296,12.355491,9.217606,4.387141,4.598019,3.740158,2.679881,FALSE,"noCluster"
"NODE_13_length_31304_cov_40.4394",7.607741,10.341994,8.124077,3.390313,2.282815,2.194672,2.438499,FALSE,"noCluster"
"NODE_14_length_31056_cov_47.777",7.121205,8.214836,8.874379,6.876237,4.332078,2.811827,3.415976,FALSE,"noCluster"
"NODE_15_length_30697_cov_28.6601",3.67097,2.981724,3.331583,2.742883,2.187164,3.562141,6.181788,FALSE,"noCluster"
"NODE_16_length_30368_cov_58.411",4.990518,6.717353,9.404994,13.481979,9.229226,4.714515,3.960701,FALSE,"noCluster"
"NODE_17_length_30353_cov_41.4846",4.767485,5.7259,6.289079,6.524519,6.042942,3.687627,3.970116,FALSE,"noCluster"
"NODE_18_length_29796_cov_30.4118",4.258367,5.199067,6.002884,4.472869,2.178105,1.961321,2.915522,FALSE,"noCluster"
"NODE_19_length_29143_cov_72.2824",8.682487,9.13452,9.034637,8.153643,9.716483,9.258488,8.935434,FALSE,"noCluster"
"NODE_20_length_28825_cov_73.241",2.940441,5.601322,7.402403,8.172092,22.562537,11.277621,6.220387,FALSE,"noCluster"
"NODE_21_length_27802_cov_78.3227",4.788719,10.645053,11.340789,12.230118,16.394335,9.258736,5.073127,FALSE,"noCluster"
"NODE_22_length_27056_cov_26.5293",3.174113,4.36884,5.184184,2.884346,2.009451,2.297517,3.155472,FALSE,"noCluster"
"NODE_23_length_26880_cov_46.2268",5.514052,5.301567,6.277465,5.769969,6.092934,5.406628,6.430576,FALSE,"noCluster"
"NODE_24_length_26568_cov_107.793",12.409882,13.685947,14.762944,16.916875,19.358358,11.145538,7.644718,FALSE,"noCluster"
"NODE_25_length_26560_cov_43.1285",3.671835,3.865248,5.689457,5.743435,5.507396,5.651632,7.05896,FALSE,"noCluster"
"NODE_26_length_26557_cov_33.6197",5.852189,7.36142,7.15624,3.944561,2.310891,1.756754,1.931346,FALSE,"noCluster"
"NODE_27_length_25930_cov_18.8515",2.143811,1.869656,1.580683,0.778662,1.911901,3.117786,4.550712,FALSE,"noCluster"
"NODE_28_length_25906_cov_101.196",14.843097,11.535272,8.817701,5.139087,5.625621,19.24072,22.183975,FALSE,"noCluster"
"NODE_29_length_25450_cov_36.7277",3.798651,6.608316,7.838721,5.150276,2.954786,2.674826,3.261624,FALSE,"noCluster"
"NODE_30_length_25112_cov_82.241",11.906963,12.43735,12.469473,11.587721,10.560899,8.730768,6.844252,FALSE,"noCluster"
"NODE_31_length_25105_cov_28.7924",0.657992,2.435454,6.008653,5.451329,4.458233,2.76704,3.40747,FALSE,"noCluster"
