"Name","SRX697834_SRR1571704_TPM","SRX697835_SRR1571705_TPM","SRX697836_SRR1571706_TPM","SRX697837_SRR1571707_TPM","SRX697838_SRR1571708_TPM","SRX697839_SRR1571709_TPM","SRX697840_SRR1571710_TPM","SRX697841_SRR1571711_TPM","pir","subfam"
"NODE_1_length_50673_cov_96.1007",7.471656,4.394298,4.153894,6.964906,13.260677,10.79247,5.339621,4.630093,FALSE,"none"
"NODE_2_length_48627_cov_124.552",9.680375,9.544572,8.366895,11.567592,11.281994,8.861387,6.846508,7.083165,FALSE,"none"
"NODE_3_length_44929_cov_62.384",3.684635,1.87341,2.051274,3.175204,5.954446,8.689177,7.086084,4.860399,FALSE,"none"
"NODE_4_length_41334_cov_66.9246",5.804865,6.351244,6.140948,6.793246,5.142859,3.19355,2.5499,3.384611,FALSE,"none"
"NODE_5_length_41043_cov_82.2581",5.740229,5.404001,5.096257,8.270622,8.127506,6.508494,4.763323,5.33872,FALSE,"none"
"NODE_6_length_40411_cov_105.784",6.08444,7.722504,4.041541,4.571334,4.112889,7.660424,14.405766,14.272913,FALSE,"none"
"NODE_7_length_40138_cov_61.0854",4.213996,1.83399,1.904718,4.602105,8.481012,6.765815,4.581187,4.032947,FALSE,"none"
"NODE_8_length_39099_cov_37.5851",1.838732,1.6654,1.575201,2.340797,2.501501,3.059715,3.537838,5.192612,FALSE,"none"
"NODE_9_length_36835_cov_41.5407",2.231292,2.301158,2.372204,3.202997,3.629376,2.983682,3.095142,3.956079,FALSE,"none"
"NODE_10_length_36143_cov_97.5313",5.562393,4.078227,5.853632,11.473734,12.28495,8.335373,4.767094,5.515563,FALSE,"none"
"NODE_11_length_35916_cov_94.8208",6.731953,3.752444,3.517528,4.765733,10.817399,13.346692,8.523139,5.233325,FALSE,"none"
"NODE_12_length_34127_cov_105.052",10.341045,7.645602,5.748147,9.364216,12.692697,6.626209,3.275593,3.665215,FALSE,"none"
"NODE_13_length_33803_cov_43.3146",3.303835,3.198154,3.285798,4.31029,4.268465,3.487303,2.122344,1.941689,FALSE,"none"
"NODE_14_length_32436_cov_84.2028",7.682102,8.153448,6.6687,6.905945,5.395981,4.716365,4.855383,5.288289,FALSE,"none"
