"Name","SRX6838396_SRR10106504_TPM","pir","subfam"
"NODE_1_length_6375_cov_94.9142",147.639898,FALSE,"none"
"NODE_2_length_6231_cov_349.244",538.165547,FALSE,"none"
"NODE_3_length_6163_cov_10.2967",14.624251,FALSE,"none"
"NODE_4_length_5747_cov_44.1608",69.447497,FALSE,"none"
"NODE_5_length_5327_cov_7.29647",11.399131,FALSE,"none"
"NODE_6_length_5032_cov_4.0225",6.321145,FALSE,"none"
"NODE_7_length_5005_cov_8.41333",12.456577,FALSE,"none"
"NODE_8_length_4974_cov_12.6158",19.180191,FALSE,"none"
"NODE_9_length_4932_cov_3.98913",3.842239,FALSE,"none"
"NODE_10_length_4782_cov_4.37064",7.03609,FALSE,"none"
"NODE_11_length_4756_cov_25.8188",41.755163,FALSE,"none"
"NODE_12_length_4746_cov_4.08953",6.491482,FALSE,"none"
"NODE_13_length_4742_cov_15.4754",26.223968,FALSE,"none"
"NODE_14_length_4555_cov_16.3827",25.969913,FALSE,"none"
"NODE_15_length_4503_cov_2.91457",3.899691,FALSE,"none"
"NODE_16_length_4439_cov_12.1875",19.057732,FALSE,"none"
"NODE_17_length_4351_cov_918.141",1378.779792,FALSE,"none"
"NODE_18_length_4304_cov_3.32502",5.377269,FALSE,"none"
"NODE_19_length_4297_cov_4.44059",7.229462,FALSE,"none"
"NODE_20_length_4284_cov_5.53843",8.035066,FALSE,"none"
"NODE_21_length_4116_cov_6.3243",7.79553,FALSE,"none"
"NODE_22_length_4104_cov_8.34008",11.994621,FALSE,"none"
"NODE_23_length_4043_cov_11.2472",16.062438,FALSE,"none"
"NODE_24_length_4027_cov_18.1156",29.231884,FALSE,"none"
"NODE_25_length_4014_cov_11.3379",18.195455,FALSE,"none"
"NODE_26_length_3996_cov_7.83507",10.950005,FALSE,"none"
"NODE_27_length_3995_cov_20.053",33.647056,FALSE,"none"
"NODE_28_length_3894_cov_10.5457",16.378222,FALSE,"none"
"NODE_29_length_3869_cov_11.0341",17.265114,FALSE,"none"
"NODE_30_length_3828_cov_14.0708",22.568273,FALSE,"none"
"NODE_31_length_3816_cov_4.5339",5.633545,FALSE,"none"
"NODE_32_length_3804_cov_4.97466",5.855782,FALSE,"none"
"NODE_33_length_3793_cov_14.5003",22.911952,FALSE,"none"
"NODE_34_length_3779_cov_5.67642",8.186653,FALSE,"none"
"NODE_35_length_3767_cov_22.2662",33.692324,FALSE,"none"
"NODE_36_length_3758_cov_8.30273",11.929518,FALSE,"none"
"NODE_37_length_3734_cov_23.5738",36.939247,FALSE,"none"
"NODE_38_length_3732_cov_13.8822",21.335841,FALSE,"none"
"NODE_39_length_3691_cov_10.6183",18.064171,FALSE,"none"
"NODE_40_length_3671_cov_10.4618",15.252619,FALSE,"none"
"NODE_41_length_3659_cov_6.21448",7.431012,FALSE,"none"
"NODE_42_length_3649_cov_6.90373",9.991452,FALSE,"none"
"NODE_43_length_3644_cov_8.47729",13.950573,FALSE,"none"
"NODE_44_length_3621_cov_28.3517",46.242204,FALSE,"none"
"NODE_45_length_3608_cov_18.1984",27.928045,FALSE,"none"
"NODE_46_length_3583_cov_5.89683",8.452281,FALSE,"none"
"NODE_47_length_3579_cov_8.47588",13.197848,FALSE,"none"
"NODE_48_length_3549_cov_4.34001",5.475219,FALSE,"none"
"NODE_49_length_3547_cov_11.52",18.494037,FALSE,"none"
"NODE_50_length_3542_cov_4.49871",5.820142,FALSE,"none"
"NODE_51_length_3538_cov_32.5823",54.61947,FALSE,"none"
"NODE_52_length_3537_cov_12.1307",17.776448,FALSE,"none"
"NODE_53_length_3489_cov_55.5661",82.531857,FALSE,"none"
"NODE_54_length_3475_cov_8.63509",12.809239,FALSE,"none"
"NODE_55_length_3472_cov_9.89494",17.961379,FALSE,"none"
"NODE_56_length_3450_cov_30.7323",46.7318,FALSE,"none"
"NODE_57_length_3449_cov_7.15262",10.39869,FALSE,"none"
"NODE_58_length_3448_cov_11.7168",18.833183,FALSE,"none"
"NODE_59_length_3447_cov_4.98968",7.646482,FALSE,"none"
"NODE_60_length_3438_cov_45.4268",64.327134,FALSE,"none"
"NODE_61_length_3420_cov_5.06003",8.016165,FALSE,"none"
"NODE_62_length_3411_cov_52.4917",84.114642,FALSE,"none"
"NODE_63_length_3401_cov_4.92439",6.948122,FALSE,"none"
"NODE_64_length_3395_cov_77.209",122.12505,FALSE,"none"
"NODE_65_length_3379_cov_10.3291",15.205218,FALSE,"none"
"NODE_66_length_3376_cov_8.01777",9.958149,FALSE,"none"
"NODE_67_length_3343_cov_2.13686",3.529671,FALSE,"none"
"NODE_68_length_3336_cov_9.34197",14.58972,FALSE,"none"
"NODE_69_length_3326_cov_104.298",144.481024,FALSE,"none"
"NODE_70_length_3315_cov_12.5169",20.153058,FALSE,"none"
"NODE_71_length_3314_cov_133.446",217.543211,FALSE,"none"
"NODE_72_length_3304_cov_7.39982",10.54775,FALSE,"none"
"NODE_73_length_3261_cov_7.63943",9.699209,FALSE,"none"
"NODE_74_length_3252_cov_10.3794",14.160225,FALSE,"none"
"NODE_75_length_3250_cov_21.1274",32.341489,FALSE,"none"
"NODE_76_length_3244_cov_88.9376",141.588376,FALSE,"none"
"NODE_77_length_3244_cov_3.23581",6.288616,FALSE,"none"
"NODE_78_length_3220_cov_4.29795",5.82757,FALSE,"none"
"NODE_79_length_3191_cov_4.7331",7.287384,FALSE,"none"
"NODE_80_length_3188_cov_3.81775",6.412949,FALSE,"none"
"NODE_81_length_3188_cov_26.8334",42.804011,FALSE,"none"
"NODE_82_length_3153_cov_10.5623",14.679098,FALSE,"none"
"NODE_83_length_3151_cov_13.8224",23.125551,FALSE,"none"
"NODE_84_length_3141_cov_10.9809",14.831362,FALSE,"none"
"NODE_85_length_3138_cov_14.2027",18.567526,FALSE,"none"
"NODE_86_length_3138_cov_14.4619",22.25016,FALSE,"none"
"NODE_87_length_3114_cov_6.13697",10.449587,FALSE,"none"
"NODE_88_length_3112_cov_36.9869",58.930469,FALSE,"none"
"NODE_89_length_3107_cov_4.86435",7.750799,FALSE,"none"
"NODE_90_length_3098_cov_4.75058",6.766729,FALSE,"none"
"NODE_91_length_3092_cov_4.31841",5.779252,FALSE,"none"
"NODE_92_length_3090_cov_10.9384",17.740527,FALSE,"none"
"NODE_93_length_3078_cov_9.46742",12.017621,FALSE,"none"
"NODE_94_length_3069_cov_19.278",29.483248,FALSE,"none"
"NODE_95_length_3061_cov_8.70958",14.482126,FALSE,"none"
"NODE_96_length_3056_cov_9.85238",15.683254,FALSE,"none"
"NODE_97_length_3045_cov_8.67224",10.857673,FALSE,"none"
"NODE_98_length_3044_cov_3.3262",5.092883,FALSE,"none"
"NODE_99_length_3039_cov_6.5506",9.550419,FALSE,"none"
"NODE_100_length_3003_cov_6.71303",11.883034,FALSE,"none"
"NODE_101_length_3002_cov_27.8901",40.521483,FALSE,"none"
"NODE_102_length_2988_cov_7.38868",11.93986,FALSE,"none"
"NODE_103_length_2987_cov_9.44986",15.298737,FALSE,"none"
"NODE_104_length_2982_cov_19.6638",31.653388,FALSE,"none"
"NODE_105_length_2969_cov_4.25566",7.019163,FALSE,"none"
"NODE_106_length_2966_cov_7.28547",11.627031,FALSE,"none"
"NODE_107_length_2964_cov_4.98109",6.109355,FALSE,"none"
"NODE_108_length_2962_cov_4.76264",7.541743,FALSE,"none"
"NODE_109_length_2954_cov_10.584",18.191439,FALSE,"none"
"NODE_110_length_2949_cov_4.81479",8.884817,FALSE,"none"
"NODE_111_length_2944_cov_20.2461",33.157587,FALSE,"none"
"NODE_112_length_2933_cov_6.23211",10.181309,FALSE,"none"
"NODE_113_length_2889_cov_5.47777",9.280758,FALSE,"none"
"NODE_114_length_2889_cov_4.75229",6.392293,FALSE,"none"
"NODE_115_length_2884_cov_3.49664",5.930929,FALSE,"none"
