"Name","SRX6838397_SRR10106503_TPM","pir","subfam"
"NODE_1_length_5215_cov_9.65213",10.654133,FALSE,"noCluster"
"NODE_2_length_5051_cov_5.86209",7.219881,FALSE,"noCluster"
"NODE_3_length_4512_cov_7.5912",8.547592,FALSE,"noCluster"
"NODE_4_length_4468_cov_3.98232",3.720526,FALSE,"noCluster"
"NODE_5_length_4356_cov_855.564",977.358793,FALSE,"noCluster"
"NODE_6_length_4331_cov_27.4275",31.111081,FALSE,"noCluster"
"NODE_7_length_4313_cov_7.50775",8.462996,FALSE,"noCluster"
"NODE_8_length_4184_cov_10.3507",12.12503,FALSE,"noCluster"
"NODE_9_length_4152_cov_7.56163",8.794343,FALSE,"noCluster"
"NODE_10_length_4071_cov_36.1775",41.416577,FALSE,"noCluster"
"NODE_11_length_4049_cov_7.21457",8.492034,FALSE,"noCluster"
"NODE_12_length_4005_cov_6.27696",6.737204,FALSE,"noCluster"
"NODE_13_length_3988_cov_57.1505",25.497498,FALSE,"noCluster"
"NODE_14_length_3927_cov_14.814",12.935413,FALSE,"noCluster"
"NODE_15_length_3862_cov_8.6488",10.131331,FALSE,"noCluster"
"NODE_16_length_3786_cov_4.84267",5.43166,FALSE,"noCluster"
"NODE_17_length_3772_cov_13.1415",16.367025,FALSE,"noCluster"
"NODE_18_length_3753_cov_3.16955",3.985564,FALSE,"noCluster"
"NODE_19_length_3729_cov_23.7156",26.078239,FALSE,"noCluster"
"NODE_20_length_3654_cov_12.6099",14.996712,FALSE,"noCluster"
"NODE_21_length_3611_cov_27.858",17.576503,FALSE,"noCluster"
"NODE_22_length_3599_cov_5.34678",6.798198,FALSE,"noCluster"
"NODE_23_length_3544_cov_19.8825",25.550168,FALSE,"noCluster"
"NODE_24_length_3527_cov_21.286",25.327026,FALSE,"noCluster"
"NODE_25_length_3516_cov_7.14504",8.39737,FALSE,"noCluster"
"NODE_26_length_3505_cov_8.23913",9.134768,FALSE,"noCluster"
"NODE_27_length_3503_cov_10.3173",12.113987,FALSE,"noCluster"
"NODE_28_length_3490_cov_7.42824",9.063984,FALSE,"noCluster"
"NODE_29_length_3482_cov_10.4476",13.48488,FALSE,"noCluster"
"NODE_30_length_3436_cov_12.2399",15.416225,FALSE,"noCluster"
"NODE_31_length_3408_cov_33.7754",39.862135,FALSE,"noCluster"
"NODE_32_length_3387_cov_45.4313",53.858493,FALSE,"noCluster"
"NODE_33_length_3370_cov_35.9376",38.135662,FALSE,"noCluster"
"NODE_34_length_3364_cov_5.32548",6.94248,FALSE,"noCluster"
"NODE_35_length_3359_cov_9.52331",11.078422,FALSE,"noCluster"
"NODE_36_length_3302_cov_15.0293",17.977067,FALSE,"noCluster"
"NODE_37_length_3280_cov_8.42574",9.544283,FALSE,"noCluster"
"NODE_38_length_3266_cov_6.17689",6.824132,FALSE,"noCluster"
"NODE_39_length_3250_cov_5.7662",6.590572,FALSE,"noCluster"
"NODE_40_length_3249_cov_6.95711",8.595706,FALSE,"noCluster"
"NODE_41_length_3244_cov_99.4813",118.068528,FALSE,"noCluster"
"NODE_42_length_3226_cov_10.1249",13.5911,FALSE,"noCluster"
"NODE_43_length_3209_cov_7.66994",9.381809,FALSE,"noCluster"
"NODE_44_length_3183_cov_9.72474",12.084247,FALSE,"noCluster"
"NODE_45_length_3156_cov_13.464",16.469657,FALSE,"noCluster"
"NODE_46_length_3144_cov_490.657",596.540589,FALSE,"noCluster"
"NODE_47_length_3128_cov_15.5376",19.797038,FALSE,"noCluster"
"NODE_48_length_3125_cov_5.61759",6.292114,FALSE,"noCluster"
"NODE_49_length_3124_cov_4.53926",5.987217,FALSE,"noCluster"
"NODE_50_length_3113_cov_93.7466",109.008184,FALSE,"noCluster"
"NODE_51_length_3104_cov_6.89374",8.1644,FALSE,"noCluster"
"NODE_52_length_3099_cov_2.55486",2.434187,FALSE,"noCluster"
"NODE_53_length_3090_cov_2.16771",2.790131,FALSE,"noCluster"
"NODE_54_length_3074_cov_28.057",33.383109,FALSE,"noCluster"
"NODE_55_length_3063_cov_3.20977",3.909746,FALSE,"noCluster"
"NODE_56_length_3063_cov_11.7912",13.409412,FALSE,"noCluster"
"NODE_57_length_3058_cov_27.7499",38.615389,FALSE,"noCluster"
"NODE_58_length_3024_cov_3.37487",4.352882,FALSE,"noCluster"
"NODE_59_length_3019_cov_10.0186",12.204739,FALSE,"noCluster"
"NODE_60_length_3017_cov_14.2009",17.490812,FALSE,"noCluster"
"NODE_61_length_3014_cov_4.63569",5.89951,FALSE,"noCluster"
"NODE_62_length_2979_cov_4.84644",6.248022,FALSE,"noCluster"
"NODE_63_length_2968_cov_8.44284",10.078681,FALSE,"noCluster"
"NODE_64_length_2967_cov_3.88908",5.214553,FALSE,"noCluster"
"NODE_65_length_2960_cov_8.54802",9.190752,FALSE,"noCluster"
"NODE_66_length_2907_cov_8.92391",10.924752,FALSE,"noCluster"
"NODE_67_length_2904_cov_14.232",16.61201,FALSE,"noCluster"
"NODE_68_length_2903_cov_4.00386",4.950872,FALSE,"noCluster"
"NODE_69_length_2899_cov_9.81857",11.854005,FALSE,"noCluster"
"NODE_70_length_2896_cov_3.89124",3.718277,FALSE,"noCluster"
"NODE_71_length_2864_cov_4.86152",5.924506,FALSE,"noCluster"
"NODE_72_length_2856_cov_7.44163",9.330967,FALSE,"noCluster"
"NODE_73_length_2855_cov_5.27607",6.252539,FALSE,"noCluster"
"NODE_74_length_2843_cov_8.56241",10.510992,FALSE,"noCluster"
"NODE_75_length_2836_cov_14.9932",10.162273,FALSE,"noCluster"
"NODE_76_length_2834_cov_2.48902",3.115552,FALSE,"noCluster"
"NODE_77_length_2829_cov_4.29092",5.342462,FALSE,"noCluster"
"NODE_78_length_2828_cov_9.42986",11.772359,FALSE,"noCluster"
"NODE_79_length_2815_cov_5.54638",6.752552,FALSE,"noCluster"
"NODE_80_length_2814_cov_27.8601",33.953121,FALSE,"noCluster"
"NODE_81_length_2803_cov_9.16157",9.83858,FALSE,"noCluster"
"NODE_82_length_2790_cov_66.0867",76.228795,FALSE,"noCluster"
"NODE_83_length_2778_cov_4.82152",5.619877,FALSE,"noCluster"
"NODE_84_length_2777_cov_3.45885",4.321993,FALSE,"noCluster"
"NODE_85_length_2772_cov_18.8248",23.000454,FALSE,"noCluster"
"NODE_86_length_2771_cov_4.86193",6.183539,FALSE,"noCluster"
"NODE_87_length_2766_cov_12.7348",15.344048,FALSE,"noCluster"
"NODE_88_length_2759_cov_2.47411",2.875969,FALSE,"noCluster"
"NODE_89_length_2756_cov_17.5061",21.915034,FALSE,"noCluster"
"NODE_90_length_2745_cov_3.37435",4.279429,FALSE,"noCluster"
"NODE_91_length_2739_cov_64.5883",79.849505,FALSE,"noCluster"
"NODE_92_length_2736_cov_3.80306",5.613306,FALSE,"noCluster"
"NODE_93_length_2728_cov_40.2155",49.893864,FALSE,"noCluster"
"NODE_94_length_2727_cov_4.75823",5.971298,FALSE,"noCluster"
"NODE_95_length_2726_cov_9.51329",11.605346,FALSE,"noCluster"
"NODE_96_length_2718_cov_30.641",34.989604,FALSE,"noCluster"
"NODE_97_length_2690_cov_2.75863",3.522033,FALSE,"noCluster"
"NODE_98_length_2678_cov_8.9005",10.4824,FALSE,"noCluster"
"NODE_99_length_2677_cov_9.14493",9.4069,FALSE,"noCluster"
"NODE_100_length_2676_cov_21.9023",26.69313,FALSE,"noCluster"
"NODE_101_length_2663_cov_18.7009",22.461718,FALSE,"noCluster"
"NODE_102_length_2657_cov_10.5123",12.746392,FALSE,"noCluster"
"NODE_103_length_2650_cov_3.06667",4.146471,FALSE,"noCluster"
"NODE_104_length_2650_cov_17.1757",21.492051,FALSE,"noCluster"
"NODE_105_length_2648_cov_6.8469",7.270211,FALSE,"noCluster"
"NODE_106_length_2643_cov_19.1356",21.763879,FALSE,"noCluster"
"NODE_107_length_2640_cov_7.9675",9.176417,FALSE,"noCluster"
"NODE_108_length_2630_cov_3.19883",3.881635,FALSE,"noCluster"
"NODE_109_length_2617_cov_11.0367",11.177078,FALSE,"noCluster"
"NODE_110_length_2615_cov_19.0609",23.144472,FALSE,"noCluster"
"NODE_111_length_2614_cov_5.63384",6.120809,FALSE,"noCluster"
"NODE_112_length_2611_cov_9.52191",11.644464,FALSE,"noCluster"
"NODE_113_length_2605_cov_15.491",18.415241,FALSE,"noCluster"
"NODE_114_length_2603_cov_7.45173",9.180343,FALSE,"noCluster"
"NODE_115_length_2601_cov_19.4827",22.210464,FALSE,"noCluster"
"NODE_116_length_2598_cov_3.82422",4.560351,FALSE,"noCluster"
"NODE_117_length_2595_cov_4.08031",5.623899,FALSE,"noCluster"
"NODE_118_length_2591_cov_9.57098",12.213984,FALSE,"noCluster"
"NODE_119_length_2588_cov_7.80379",9.527584,FALSE,"noCluster"
"NODE_120_length_2581_cov_15.0218",18.563768,FALSE,"noCluster"
"NODE_121_length_2578_cov_5.71819",6.469906,FALSE,"noCluster"
"NODE_122_length_2573_cov_3.3336",3.982328,FALSE,"noCluster"
"NODE_123_length_2571_cov_28.3017",34.878687,FALSE,"noCluster"
"NODE_124_length_2567_cov_10.629",13.622647,FALSE,"noCluster"
"NODE_125_length_2564_cov_20.2324",21.731963,FALSE,"noCluster"
"NODE_126_length_2553_cov_11.5657",14.127198,FALSE,"noCluster"
"NODE_127_length_2541_cov_16.6275",21.235908,FALSE,"noCluster"
"NODE_128_length_2533_cov_3.27563",4.077395,FALSE,"noCluster"
"NODE_129_length_2533_cov_60.0327",73.772838,FALSE,"noCluster"
"NODE_130_length_2532_cov_40.3387",58.78362,FALSE,"noCluster"
"NODE_131_length_2529_cov_4.61884",5.980915,FALSE,"noCluster"
"NODE_132_length_2509_cov_6.90546",6.887244,FALSE,"noCluster"
"NODE_133_length_2485_cov_4.40782",5.667196,FALSE,"noCluster"
"NODE_134_length_2483_cov_24.0478",24.248117,FALSE,"noCluster"
"NODE_135_length_2482_cov_13.6593",18.103688,FALSE,"noCluster"
"NODE_136_length_2482_cov_14.0915",17.218452,FALSE,"noCluster"
"NODE_137_length_2481_cov_440.756",546.816819,FALSE,"noCluster"
"NODE_138_length_2478_cov_5.08296",5.448033,FALSE,"noCluster"
"NODE_139_length_2478_cov_35.702",44.412595,FALSE,"noCluster"
"NODE_140_length_2475_cov_3.02149",3.91548,FALSE,"noCluster"
"NODE_141_length_2466_cov_6.64413",7.965021,FALSE,"noCluster"
"NODE_142_length_2464_cov_74.9884",92.043793,FALSE,"noCluster"
"NODE_143_length_2463_cov_31.8106",42.568826,FALSE,"noCluster"
"NODE_144_length_2461_cov_5.00873",5.639532,FALSE,"noCluster"
"NODE_145_length_2459_cov_9.5495",11.27396,FALSE,"noCluster"
"NODE_146_length_2457_cov_28.2032",35.170907,FALSE,"noCluster"
"NODE_147_length_2451_cov_11.2366",13.396064,FALSE,"noCluster"
"NODE_148_length_2435_cov_5.62227",7.44421,FALSE,"noCluster"
