"Name","SRX6875288_SRR10149833_TPM","pir","subfam"
"NODE_1_length_8360_cov_93.8964",17.221029,FALSE,"noCluster"
"NODE_2_length_8267_cov_49.5843",9.025249,FALSE,"noCluster"
"NODE_3_length_8152_cov_11.3971",2.05739,FALSE,"noCluster"
"NODE_4_length_7672_cov_40.3109",7.735639,FALSE,"noCluster"
"NODE_5_length_7184_cov_31.2371",5.814454,FALSE,"noCluster"
"NODE_6_length_6601_cov_18.1098",2.93497,FALSE,"noCluster"
"NODE_7_length_6574_cov_23.6638",3.910445,FALSE,"noCluster"
"NODE_8_length_6526_cov_35.6569",6.129109,FALSE,"noCluster"
"NODE_9_length_6513_cov_31.5373",5.578757,FALSE,"noCluster"
"NODE_10_length_6390_cov_81.2238",14.979433,FALSE,"noCluster"
"NODE_11_length_6360_cov_59.9964",10.80099,FALSE,"noCluster"
"NODE_12_length_6300_cov_12.3211",2.296999,FALSE,"noCluster"
"NODE_13_length_6187_cov_73.3783",13.442836,FALSE,"noCluster"
"NODE_14_length_6100_cov_6.05972",1.150688,FALSE,"noCluster"
"NODE_15_length_5810_cov_17.3242",2.995801,FALSE,"noCluster"
"NODE_16_length_5805_cov_19.2",3.159551,FALSE,"noCluster"
"NODE_17_length_5766_cov_39.4882",7.181207,FALSE,"noCluster"
"NODE_18_length_5707_cov_14.3723",2.551623,FALSE,"noCluster"
"NODE_19_length_5429_cov_224.418",31.224677,FALSE,"noCluster"
"NODE_20_length_5422_cov_19.2944",3.320222,FALSE,"noCluster"
"NODE_21_length_5285_cov_18.1419",3.392669,FALSE,"noCluster"
"NODE_22_length_5278_cov_13.0758",2.485446,FALSE,"noCluster"
"NODE_23_length_5199_cov_22.0025",4.110193,FALSE,"noCluster"
"NODE_24_length_5174_cov_7734.76",1440.47798,FALSE,"noCluster"
"NODE_25_length_5168_cov_12.4492",2.310566,FALSE,"noCluster"
"NODE_26_length_5138_cov_17.6724",3.36281,FALSE,"noCluster"
"NODE_27_length_5133_cov_271.252",50.50615,FALSE,"noCluster"
"NODE_28_length_5132_cov_21.4388",4.152903,FALSE,"noCluster"
"NODE_29_length_5118_cov_44.2153",8.115216,FALSE,"noCluster"
"NODE_30_length_5059_cov_6.85592",1.29364,FALSE,"noCluster"
"NODE_31_length_5011_cov_9.13136",1.687676,FALSE,"noCluster"
"NODE_32_length_4898_cov_19.0652",3.683783,FALSE,"noCluster"
"NODE_33_length_4898_cov_166.833",31.919747,FALSE,"noCluster"
"NODE_34_length_4867_cov_108.311",19.921914,FALSE,"noCluster"
"NODE_35_length_4844_cov_7.04907",1.349933,FALSE,"noCluster"
"NODE_36_length_4774_cov_50.327",9.146589,FALSE,"noCluster"
"NODE_37_length_4757_cov_8.19205",1.518457,FALSE,"noCluster"
"NODE_38_length_4752_cov_14.5655",2.620079,FALSE,"noCluster"
"NODE_39_length_4738_cov_11.0188",2.084479,FALSE,"noCluster"
"NODE_40_length_4676_cov_191.892",34.284101,FALSE,"noCluster"
"NODE_41_length_4659_cov_157.79",29.504428,FALSE,"noCluster"
"NODE_42_length_4658_cov_78.8312",14.791428,FALSE,"noCluster"
"NODE_43_length_4612_cov_59.8497",10.839284,FALSE,"noCluster"
"NODE_44_length_4593_cov_6.12296",1.048717,FALSE,"noCluster"
"NODE_45_length_4586_cov_47.9265",9.277885,FALSE,"noCluster"
"NODE_46_length_4584_cov_8.25127",1.528194,FALSE,"noCluster"
"NODE_47_length_4579_cov_29.6222",5.755024,FALSE,"noCluster"
"NODE_48_length_4575_cov_5.39934",0.999921,FALSE,"noCluster"
"NODE_49_length_4541_cov_111.846",20.910683,FALSE,"noCluster"
"NODE_50_length_4495_cov_94.8408",17.108631,FALSE,"noCluster"
"NODE_51_length_4492_cov_18.7945",3.528315,FALSE,"noCluster"
"NODE_52_length_4481_cov_14.803",2.629995,FALSE,"noCluster"
"NODE_53_length_4459_cov_19.6617",3.499532,FALSE,"noCluster"
"NODE_54_length_4441_cov_25.622",4.925161,FALSE,"noCluster"
"NODE_55_length_4412_cov_26.8788",5.00513,FALSE,"noCluster"
"NODE_56_length_4395_cov_26.5919",4.979071,FALSE,"noCluster"
"NODE_57_length_4383_cov_25.363",4.502171,FALSE,"noCluster"
"NODE_58_length_4367_cov_12.5496",2.431668,FALSE,"noCluster"
"NODE_59_length_4361_cov_20.9919",3.776191,FALSE,"noCluster"
"NODE_60_length_4357_cov_23.6106",4.231525,FALSE,"noCluster"
"NODE_61_length_4350_cov_7.54598",1.516084,FALSE,"noCluster"
"NODE_62_length_4337_cov_37.8232",2.976713,FALSE,"noCluster"
"NODE_63_length_4319_cov_13.3117",2.286192,FALSE,"noCluster"
"NODE_64_length_4311_cov_174.113",31.915716,FALSE,"noCluster"
"NODE_65_length_4296_cov_14.2282",2.693466,FALSE,"noCluster"
"NODE_66_length_4295_cov_29.9073",2.062919,FALSE,"noCluster"
"NODE_67_length_4285_cov_23.27",4.346947,FALSE,"noCluster"
"NODE_68_length_4277_cov_8.00971",1.167226,FALSE,"noCluster"
"NODE_69_length_4270_cov_28.6",4.969054,FALSE,"noCluster"
"NODE_70_length_4268_cov_13.2298",2.453987,FALSE,"noCluster"
"NODE_71_length_4218_cov_630.357",117.068104,FALSE,"noCluster"
"NODE_72_length_4211_cov_5.35924",0.988266,FALSE,"noCluster"
"NODE_73_length_4204_cov_11.7431",2.377885,FALSE,"noCluster"
"NODE_74_length_4201_cov_249.595",53.819164,FALSE,"noCluster"
"NODE_75_length_4200_cov_10.565",2.02207,FALSE,"noCluster"
"NODE_76_length_4195_cov_21.1483",3.431585,FALSE,"noCluster"
"NODE_77_length_4179_cov_8.55553",1.592151,FALSE,"noCluster"
"NODE_78_length_4174_cov_19.1469",3.387684,FALSE,"noCluster"
"NODE_79_length_4166_cov_47.8604",9.613745,FALSE,"noCluster"
"NODE_80_length_4151_cov_48.9148",7.873949,FALSE,"noCluster"
"NODE_81_length_4151_cov_25.604",4.710591,FALSE,"noCluster"
"NODE_82_length_4140_cov_16.1836",2.88519,FALSE,"noCluster"
"NODE_83_length_4136_cov_6.80348",1.352062,FALSE,"noCluster"
"NODE_84_length_4122_cov_50.6676",9.594761,FALSE,"noCluster"
"NODE_85_length_4102_cov_15.3926",2.830199,FALSE,"noCluster"
"NODE_86_length_4101_cov_22.4063",4.149862,FALSE,"noCluster"
"NODE_87_length_4094_cov_12.179",2.399727,FALSE,"noCluster"
"NODE_88_length_4089_cov_13.0263",2.455471,FALSE,"noCluster"
"NODE_89_length_4088_cov_8.25564",1.534516,FALSE,"noCluster"
"NODE_90_length_4084_cov_5.70414",0.954862,FALSE,"noCluster"
"NODE_91_length_4074_cov_12.2595",2.057016,FALSE,"noCluster"
"NODE_92_length_4073_cov_6.2989",1.058922,FALSE,"noCluster"
"NODE_93_length_4065_cov_60.7456",11.114631,FALSE,"noCluster"
"NODE_94_length_4029_cov_4.10393",0.781099,FALSE,"noCluster"
"NODE_95_length_4021_cov_14.0585",2.201596,FALSE,"noCluster"
"NODE_96_length_3965_cov_37.6248",6.875571,FALSE,"noCluster"
"NODE_97_length_3957_cov_14.1561",2.549608,FALSE,"noCluster"
"NODE_98_length_3933_cov_19.7223",3.686821,FALSE,"noCluster"
"NODE_99_length_3918_cov_15.248",2.013076,FALSE,"noCluster"
"NODE_100_length_3908_cov_28.4272",5.579925,FALSE,"noCluster"
"NODE_101_length_3903_cov_5.32199",0.92877,FALSE,"noCluster"
"NODE_102_length_3883_cov_27.2325",5.031446,FALSE,"noCluster"
"NODE_103_length_3882_cov_35.284",6.486292,FALSE,"noCluster"
"NODE_104_length_3872_cov_37.8407",7.043944,FALSE,"noCluster"
"NODE_105_length_3856_cov_12.4294",2.500857,FALSE,"noCluster"
"NODE_106_length_3847_cov_5.02611",0.953459,FALSE,"noCluster"
"NODE_107_length_3841_cov_33.5832",6.455867,FALSE,"noCluster"
"NODE_108_length_3804_cov_6.16591",1.231483,FALSE,"noCluster"
"NODE_109_length_3801_cov_15.6345",2.647673,FALSE,"noCluster"
"NODE_110_length_3799_cov_6.36004",0.959792,FALSE,"noCluster"
"NODE_111_length_3790_cov_249.817",46.690286,FALSE,"noCluster"
"NODE_112_length_3783_cov_119.359",21.851827,FALSE,"noCluster"
"NODE_113_length_3770_cov_22.1884",4.116074,FALSE,"noCluster"
"NODE_114_length_3768_cov_22.1993",4.078735,FALSE,"noCluster"
"NODE_115_length_3736_cov_7.69954",1.422759,FALSE,"noCluster"
"NODE_116_length_3731_cov_12.5403",2.241709,FALSE,"noCluster"
"NODE_117_length_3728_cov_16.3147",2.913095,FALSE,"noCluster"
"NODE_118_length_3718_cov_72.8531",14.77852,FALSE,"noCluster"
"NODE_119_length_3704_cov_408.283",76.363894,FALSE,"noCluster"
"NODE_120_length_3704_cov_14.088",2.773193,FALSE,"noCluster"
"NODE_121_length_3692_cov_24.7036",4.751092,FALSE,"noCluster"
"NODE_122_length_3670_cov_6.92393",1.149995,FALSE,"noCluster"
"NODE_123_length_3664_cov_8.12469",1.538861,FALSE,"noCluster"
"NODE_124_length_3652_cov_34.1657",6.245006,FALSE,"noCluster"
"NODE_125_length_3639_cov_6.10463",1.144135,FALSE,"noCluster"
"NODE_126_length_3605_cov_113.685",21.205115,FALSE,"noCluster"
"NODE_127_length_3603_cov_30.8047",6.371951,FALSE,"noCluster"
"NODE_128_length_3587_cov_13.0971",2.41005,FALSE,"noCluster"
"NODE_129_length_3581_cov_47.6353",8.598839,FALSE,"noCluster"
"NODE_130_length_3581_cov_2.23965",0.496775,FALSE,"noCluster"
"NODE_131_length_3572_cov_13.8209",2.561882,FALSE,"noCluster"
"NODE_132_length_3558_cov_62.8787",11.646093,FALSE,"noCluster"
"NODE_133_length_3556_cov_10.8201",2.022337,FALSE,"noCluster"
