UniqueCount	AmbigCount
4277	0
7116	1
2650	0
3150	0
1229	1
901	0
1852	0
1269	2
7110	3
1403	0
7532	0
888	0
736	0
1796	0
1843	0
3301	0
991	0
1104	2
2786	0
870	3
1177	0
4323	2
754	0
2091	0
1347	5
703	0
1317	1
345	1
1060	1
3518	1
1251	0
1452	4
947	3
3166	1
948	4
2480	1
812	4
719	1
946	0
3326	0
850	0
5684	0
1126	1
2178	0
931	2
1137	0
358	0
1244	0
1411	0
2409	5
1224	0
2601	0
421	0
899	0
1453	3
1227	17
418	0
1756	3
1121	0
796	0
971	0
1350	1
852	0
463	0
1544	0
681	29
1241	3
585	1
24529	12
461	0
1296	0
2557	0
629	0
958	1
1111	2
391	0
1126	1
1201	0
5906	5
663	0
527	1
341	5
5322	0
464	0
396	0
1514	0
1165	0
556	0
2774	0
2001	0
1451	14
445	0
1197	0
3087	1
575	0
1105	0
460	1
894	1
646	0
649	0
356	0
180	0
591	0
1233	0
824	0
433	1
4471	5
282	0
1206	0
10792	6
570	0
250	0
631	0
1615	0
511	0
334	0
1264	0
445	0
533	0
513	0
203	0
757	2
259	0
1134	0
542	0
895	0
189	2
459	1
613	1
530	0
1516	12
529	0
471	0
948	0
610	0
630	0
269	0
328	0
482	0
1011	0
496	0
239	0
429	0
1655	4
471	0
653	0
3503	1
286	0
720	0
651	0
810	0
1354	0
361	0
735	6
558	0
439	1
285	0
4564	2
477	0
2214	3
492	0
304	0
761	0
360	0
214	1
523	0
486	0
374	0
247	0
455	0
657	1
498	0
388	0
529	0
314	0
2678	7
853	0
1005	0
622	0
830	0
315	0
157	0
401	0
408	0
569	0
541	1
615	0
918	0
245	0
378	1
544	0
267	0
251	0
603	0
542	0
467	0
756	0
577	0
330	0
2882	1
800	0
1179	0
849	3
562	0
175	0
299	0
548	0
255	0
447	0
441	0
606	0
390	0
139	24
935	0
453	0
400	0
286	0
746	1
536	0
837	0
734	0
1556	0
215	0
447	0
213	0
390	0
759	1
284	0
303	0
269	0
493	0
659	0
111	0
488	0
442	0
436	0
229	1
2688	1
226	0
400	0
823	1
340	1
1181	0
636	0
822	0
525	4
322	0
3251	5
192	0
804	0
575	0
688	9
199	0
2909	22
228	0
366	0
508	0
671	0
397	0
348	1
539	1
262	0
122	0
928	0
269	0
156	0
209	0
401	0
619	0
404	0
167	2
597	0
517	3
629	0
407	82
369	0
185	0
164	0
721	0
4778	11
984	0
374	0
243	0
451	1
115	2
147	0
236	0
255	0
488	0
195	1
221	0
1067	0
460	0
355	0
212	0
333	4
414	172
2162	5
325	0
949	8
277	0
87	0
91	0
295	0
295	0
210	1
195	0
229	0
262	0
151	0
221	0
275	8
356	0
418	0
199	0
288	0
132	0
168	0
133	0
430	1
500	1
7383	234
766	0
132	0
971	1
172	0
284	0
251	0
913	0
964	97
670	0
376	0
191	0
666	0
234	0
627	0
201	0
1182	0
246	0
130	0
947	0
139	0
674	0
1023	0
553	0
445	0
472	1
145	0
333	6
444	2
165	0
464	0
330	1
298	0
280	0
112	0
149	0
151	0
282	0
207	0
303	0
220	0
336	0
159	0
413	0
138	0
238	0
428	0
263	0
132	0
2547	1
292	0
573	0
251	0
350	1
638	0
192	0
317	0
137	0
437	1
410	0
269	0
517	0
241	2
939	0
3116	1
255	1
826	1
2227	5
1559	0
712	0
426	0
238	0
77	0
663	0
340	0
410	1
605	0
375	0
202	120
392	5
602	0
532	0
442	1
148	0
1136	2
264	0
548	1
149	2
622	0
1175	1
91	0
472	1
149	0
443	0
307	0
126	0
2606	1
97	1
744	0
1787	0
217	0
580	0
87	0
307	0
541	0
483	0
740	0
80	0
314	2
164	0
126	0
373	0
125	0
197	0
238	0
462	0
378	8
408	5
165	0
177	0
116	0
784	0
416	0
335	0
108	0
478	1
996	0
560	0
316	0
128	0
830	0
562	2
974	0
606	1
267	1
176	0
102	0
190	0
184	2
1569	5
763	1
1270	0
267	0
452	0
298	1
108	0
561	0
343	1
382	0
239	3
62	0
215	0
129	0
236	1
79	0
228	0
451	0
182	0
124	0
620	0
134	0
104	0
625	4
142	0
463	0
324	0
556	0
187	0
200	0
311	0
721	2
362	0
345	0
342	1
75	0
95	1
52	0
151	0
199	0
395	3
378	0
77	0
236	0
563	0
478	8
282	0
175	0
77	0
387	1
369	1
438	7
190	0
709	0
148	0
191	0
137	0
131	0
267	0
181	0
245	0
403	1
140	0
101	0
129	6
177	0
303	0
87	0
280	0
689	0
2398	2
295	0
112	8
318	0
259	0
428	0
388	0
145	0
136	1
89	0
367	0
101	0
364	1
201	0
218	0
98	9
507	1
188	0
178	0
345	0
477	0
177	0
107	0
100	0
364	0
44	0
130	0
98	0
253	0
283	0
101	0
308	0
1031	0
1346	0
80	0
672	1
485	0
845	0
184	0
419	0
184	0
69	0
179	0
136	0
133	0
260	0
191	0
306	0
526	0
227	1
198	1
336	3
119	0
100	0
1003	0
91	0
229	0
721	2
579	2
244	0
206	0
383	0
132	0
80	0
179	0
260	0
217	0
341	0
287	0
155	0
216	1
1509	1
1268	22
270	0
311	0
258	0
168	0
405	0
188	0
113	0
4995	4
385	0
104	0
407	0
171	0
139	0
108	0
105	0
411	0
296	0
247	0
167	0
69	0
303	1
1355	0
89	0
85	1
138	14
435	0
184	0
879	19
450	36
171	0
123	0
139	0
126	2
192	0
149	0
180	0
450	5
184	0
799	0
532	0
262	0
490	0
188	0
70	0
125	1
284	0
789	0
1123	0
497	0
102	0
77	9
401	0
43	0
225	0
129	0
254	0
87	0
703	0
123	1
99	0
306	0
224	0
245	3
210	0
284	0
181	0
727	0
89	0
82	0
472	0
181	0
182	0
90	0
320	0
271	2
155	0
273	0
83	0
122	6
280	0
717	0
148	0
1227	15
102	0
46	0
113	0
104	4
168	0
327	0
162	0
147	0
142	2
214	0
297	0
208	0
72	0
112	1
92	0
120	1
208	4
170	0
60	0
330	10
236	2
65	0
71	0
142	0
274	0
493	5
106	0
1061	0
376	1
234	0
167	0
302	0
146	0
190	0
203	1
96	0
167	4
303	12
95	0
318	0
295	0
86	0
206	0
137	0
315	0
217	9
850	0
156	0
55	0
845	0
99	0
169	0
380	0
1558	1
376	0
184	0
696	1
192	1
155	0
595	4
68	0
122	0
341	0
237	2
294	0
156	0
189	0
148	0
179	0
100	1
107	0
181	1
117	0
78	0
171	1
172	1
144	0
553	0
133	0
266	0
87	0
94	0
329	1
519	0
85	0
866	0
99	0
109	0
557	0
270	0
630	0
62	0
278	0
452	0
331	0
167	361
113	0
109	0
196	0
55	0
91	0
156	0
88	1
177	0
91	0
385	0
176	0
129	0
102	0
196	0
202	0
73	0
934	0
335	0
129	0
82	0
208	0
173	0
98	0
514	2
160	0
95	0
484	1
116	0
286	0
123	0
179	0
182	0
145	0
182	0
95	0
185	0
152	0
103	0
43	0
1376	1
133	0
100	0
144	0
59	0
806	0
163	0
252	0
124	0
1260	5
352	1
136	0
65	0
574	2
537	0
286	1
148	0
129	0
45	0
371	0
218	0
99	0
138	0
173	0
235	0
415	1
121	1
325	0
1874	0
201	0
236	0
48	0
690	3
99	0
278	0
549	0
87	2
402	0
155	0
109	0
100	0
292	0
122	0
30	0
49	0
110	0
161	0
272	0
90	0
112	0
133	0
145	0
73	0
100	0
66	0
92	1
114	0
756	4
78	0
887	2
124	0
87	0
63	0
88	0
389	0
180	0
121	0
172	0
71	0
88	1
300	0
92	0
110	0
53	0
585	0
233	0
205	1
265	0
157	0
205	0
131	0
739	0
138	0
170	0
170	0
176	0
163	0
34	0
84	0
216	0
178	0
86	0
75	0
389	0
140	0
424	0
98	0
124	0
43	0
96	0
51	0
380	0
54	0
630	0
156	0
327	0
155	1
162	0
138	0
133	0
758	0
105	0
276	0
255	0
65	0
107	0
285	0
51	195
368	0
74	2
78	0
243	0
325	0
338	0
113	0
