UniqueCount	AmbigCount
0	0
0	0
0	0
109	1
33254	0
0	0
102	0
0	0
169	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
397	0
1151	3
313	0
25	0
17	0
86	0
0	0
0	0
152	0
62	0
2	0
446	0
277	2
1	0
74	5
62	0
0	0
117	0
1	0
0	0
156	4
74	0
3	0
0	0
65	0
0	0
1	0
0	0
5	0
0	0
43	0
1	0
0	0
236	0
0	0
190	0
35	0
0	0
0	0
0	0
90	0
0	0
6	0
0	0
0	0
53	0
390	0
17	0
7	0
0	0
85	0
33	0
1	0
28	0
47	0
68	0
0	0
0	0
2	0
0	0
0	0
37	0
13	0
0	0
0	0
41	0
0	0
0	0
65	0
0	0
0	0
0	0
1	0
0	0
89	0
0	0
224	2
52	2
0	0
12	0
2	0
14	0
0	0
4	0
42	0
0	0
32	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
12	0
93	0
65	0
144	0
26	0
30	0
44	0
71	0
19	0
28	0
63	0
12	0
0	0
63	0
3	0
651	0
167	2
0	0
36	0
3	0
2	0
0	0
74	0
122	0
0	0
0	0
69	0
0	0
11	0
1	0
0	0
0	0
0	0
45	0
0	0
0	0
0	0
78	0
50	0
29	0
0	0
10	0
0	0
0	0
36	0
30	0
52	0
53	0
5	1
35	0
27	0
17	0
2	0
159	0
54	0
215	0
17	0
0	0
0	0
19	0
18	0
0	0
0	0
0	0
958	0
94	0
48	0
0	0
1	0
36	0
0	0
0	0
38	0
0	0
54	0
40	0
29	0
0	0
0	0
30	0
0	0
2	0
10	0
0	0
0	0
1	0
229	0
40	0
92	0
16	0
0	0
0	0
2	0
28	0
32	3
0	0
33	0
51	0
39	0
39	0
68	0
61	0
11	0
0	0
0	0
58	0
0	0
70	3
0	0
16	0
20	0
0	0
0	0
0	0
288	4
25	0
21	0
0	0
17	0
36	0
0	0
59	0
30	0
28	0
0	0
18	0
11	0
0	0
145	0
5	0
2	0
38	0
95	9
48	0
4	0
3	0
29	0
14	0
0	0
0	0
23	0
54	0
0	0
25	0
0	0
34	0
0	0
10	0
0	0
0	0
51	0
0	0
14	0
0	0
0	0
0	0
9	0
71	0
3	0
148	0
7	0
0	0
2	0
0	0
0	0
33	0
0	0
0	0
0	0
8	0
0	0
0	0
23	0
0	0
0	0
414	18
36	0
20	0
31	0
0	0
21	0
12	0
0	0
45	0
0	0
0	0
0	0
5	0
0	0
23	0
0	0
16	0
154	0
0	0
23	0
53	0
23	0
19	0
0	0
0	0
23	0
0	0
29	0
0	0
0	0
0	0
0	0
42	0
17	0
35	0
11	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
749	0
154	0
0	0
