Experiment,Samples combined,Cat Sample stage(s),Sample_stage,Analysis?,Strandedness?,file_prefix,Concatenated file,Rationale,Single end?,Geography_source,Paper,sample,fastq_1,fastq_2,accession,run_accession,experiment_accession,sample_accession,secondary_sample_accession,study_accession,secondary_study_accession,parent_study,submission_accession,run_alias,experiment_alias,sample_alias,study_alias,library_layout,library_selection,library_source,library_strategy,library_name,instrument_model,instrument_platform,base_count,read_count,tax_id,scientific_name,sample_title,experiment_title,study_title,description,sample_description,fastq_md5,fastq_bytes,fastq_ftp,fastq_galaxy,fastq_aspera,assembly,ht_index
Kim19,A_0 before CQ,Asexual_Mixed,BL01_0hr,scspades-complete,Stranded,,,Separate clinical isolates - before and after CQ for each patient combined,,Cambodia,Characterization of P. vivax blood stage transcriptomes from field isolates reveals similarities among infections and complex gene isoforms,SRX5158512,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158512_SRR8347515_1.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158512_SRR8347515_2.fastq.gz,SAMN10605276,SRR8347515,SRX5158512,SAMN10605276,SRS4168330,PRJNA378759,SRP108632,PRJNA9540,SRA824629,Index_1.A_0_R1.fastq.gz,A_0,A_0,PRJNA378759,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,A_0,Illumina HiSeq 2500,ILLUMINA,69253100,692531,5855,Plasmodium vivax,BL01_0hr,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,Plasmodium vivax Transcriptome or Gene expression,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,BL01_0hr,2899d785cf6310ca8e28c9cdf6fe278c;64742ce727dbb7e2df7425e2f769f280,19700433;21323885,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/005/SRR8347515/SRR8347515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/005/SRR8347515/SRR8347515_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/005/SRR8347515/SRR8347515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/005/SRR8347515/SRR8347515_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/005/SRR8347515/SRR8347515_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/005/SRR8347515/SRR8347515_2.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_A/Kim19_A_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Kim19_A_0.95_cdhitest.fasta
Kim19,A_1 after CQ,Asexual_Mixed,BL01_8hr,scspades-complete,Stranded,Kim19_A,,Separate clinical isolates - before and after CQ for each patient combined,,Cambodia,Characterization of P. vivax blood stage transcriptomes from field isolates reveals similarities among infections and complex gene isoforms,SRX5158513,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158513_SRR8347514_1.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158513_SRR8347514_2.fastq.gz,SAMN10605277,SRR8347514,SRX5158513,SAMN10605277,SRS4168331,PRJNA378759,SRP108632,PRJNA9540,SRA824629,Index_2.A_1_R1.fastq.gz,A_1,A_1,PRJNA378759,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,A_1,Illumina HiSeq 2500,ILLUMINA,93903200,939032,5855,Plasmodium vivax,BL01_8hr,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,Plasmodium vivax Transcriptome or Gene expression,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,BL01_8hr,a02dafe8e6a74baf51b51ea750ac3566;c73e2555dc9377d6da0cac80dc934fff,27463112;29099136,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/004/SRR8347514/SRR8347514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/004/SRR8347514/SRR8347514_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/004/SRR8347514/SRR8347514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/004/SRR8347514/SRR8347514_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/004/SRR8347514/SRR8347514_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/004/SRR8347514/SRR8347514_2.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_A/Kim19_A_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Kim19_A_0.95_cdhitest.fasta
Kim19,B_0,Asexual_Mixed,BL02_0hr,scspades-complete,Stranded,,,Separate clinical isolates - before and after CQ for each patient combined,,Cambodia,Characterization of P. vivax blood stage transcriptomes from field isolates reveals similarities among infections and complex gene isoforms,SRX5158514,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158514_SRR8347513_1.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158514_SRR8347513_2.fastq.gz,SAMN10605278,SRR8347513,SRX5158514,SAMN10605278,SRS4168332,PRJNA378759,SRP108632,PRJNA9540,SRA824629,Index_3.B_0_R1.fastq.gz,B_0,B_0,PRJNA378759,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,B_0,Illumina HiSeq 2500,ILLUMINA,432976600,4329766,5855,Plasmodium vivax,BL02_0hr,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,Plasmodium vivax Transcriptome or Gene expression,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,BL02_0hr,69d179b40cf6ff196e73be5f16f83320;8d166791aafb93b311c6ffdf00f78108,127495928;131467987,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/003/SRR8347513/SRR8347513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/003/SRR8347513/SRR8347513_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/003/SRR8347513/SRR8347513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/003/SRR8347513/SRR8347513_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/003/SRR8347513/SRR8347513_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/003/SRR8347513/SRR8347513_2.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_B/Kim19_B_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Kim19_B_0.95_cdhitest.fasta
Kim19,B_1,Asexual_Mixed,BL02_8hr,scspades-complete,Stranded,Kim19_B,,Separate clinical isolates - before and after CQ for each patient combined,,Cambodia,Characterization of P. vivax blood stage transcriptomes from field isolates reveals similarities among infections and complex gene isoforms,SRX5158515,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158515_SRR8347512_1.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158515_SRR8347512_2.fastq.gz,SAMN10605279,SRR8347512,SRX5158515,SAMN10605279,SRS4168333,PRJNA378759,SRP108632,PRJNA9540,SRA824629,Index_4.B_1_R1.fastq.gz,B_1,B_1,PRJNA378759,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,B_1,Illumina HiSeq 2500,ILLUMINA,316412200,3164122,5855,Plasmodium vivax,BL02_8hr,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,Plasmodium vivax Transcriptome or Gene expression,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,BL02_8hr,120a44651db2ade1987da59b301e4b41;b26dd217a73ca468b047ca8ab0d0ef2f,93366687;96377339,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/002/SRR8347512/SRR8347512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/002/SRR8347512/SRR8347512_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/002/SRR8347512/SRR8347512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/002/SRR8347512/SRR8347512_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/002/SRR8347512/SRR8347512_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/002/SRR8347512/SRR8347512_2.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_B/Kim19_B_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Kim19_B_0.95_cdhitest.fasta
Kim19,C_0,Asexual_Mixed,BL03_0hr,scspades-complete,Stranded,,,Separate clinical isolates - before and after CQ for each patient combined,,Cambodia,Characterization of P. vivax blood stage transcriptomes from field isolates reveals similarities among infections and complex gene isoforms,SRX5158508,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158508_SRR8347519_1.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158508_SRR8347519_2.fastq.gz,SAMN10605280,SRR8347519,SRX5158508,SAMN10605280,SRS4168326,PRJNA378759,SRP108632,PRJNA9540,SRA824629,Index_5.C_0_R1.fastq.gz,C_0,C_0,PRJNA378759,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,C_0,Illumina HiSeq 2500,ILLUMINA,3714723600,37147236,5855,Plasmodium vivax,BL03_0hr,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,Plasmodium vivax Transcriptome or Gene expression,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,BL03_0hr,7de3f925e08529b4615d84dc4c76dbae;798cb8ffe25d0a614c1aa24f94c078b1,1073469285;1094369184,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/009/SRR8347519/SRR8347519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/009/SRR8347519/SRR8347519_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/009/SRR8347519/SRR8347519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/009/SRR8347519/SRR8347519_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/009/SRR8347519/SRR8347519_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/009/SRR8347519/SRR8347519_2.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_C/Kim19_C_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Kim19_C_0.95_cdhitest.fasta
Kim19,C_1,Asexual_Mixed,BL03_8hr,scspades-complete,Stranded,Kim19_C,,Separate clinical isolates - before and after CQ for each patient combined,,Cambodia,Characterization of P. vivax blood stage transcriptomes from field isolates reveals similarities among infections and complex gene isoforms,SRX5158516,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158516_SRR8347511_1.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158516_SRR8347511_2.fastq.gz,SAMN10605281,SRR8347511,SRX5158516,SAMN10605281,SRS4168334,PRJNA378759,SRP108632,PRJNA9540,SRA824629,Index_6.C_1_R1.fastq.gz,C_1,C_1,PRJNA378759,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,C_1,Illumina HiSeq 2500,ILLUMINA,649591300,6495913,5855,Plasmodium vivax,BL03_8hr,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,Plasmodium vivax Transcriptome or Gene expression,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,BL03_8hr,e187b14e4df6b8c715b5677190a5a29e;266138a48c037598601b95f390a02cf5,190637820;194274486,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/001/SRR8347511/SRR8347511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/001/SRR8347511/SRR8347511_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/001/SRR8347511/SRR8347511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/001/SRR8347511/SRR8347511_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/001/SRR8347511/SRR8347511_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/001/SRR8347511/SRR8347511_2.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_C/Kim19_C_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Kim19_C_0.95_cdhitest.fasta
Kim19,D_0,Asexual_Mixed,BL05_0hr,scspades-complete,Stranded,,,Separate clinical isolates - before and after CQ for each patient combined,,Cambodia,Characterization of P. vivax blood stage transcriptomes from field isolates reveals similarities among infections and complex gene isoforms,SRX5158510,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158510_SRR8347517_1.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158510_SRR8347517_2.fastq.gz,SAMN10605282,SRR8347517,SRX5158510,SAMN10605282,SRS4168328,PRJNA378759,SRP108632,PRJNA9540,SRA824629,Index_7.D_0_R1.fastq.gz,D_0,D_0,PRJNA378759,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,D_0,Illumina HiSeq 2500,ILLUMINA,1225743100,12257431,5855,Plasmodium vivax,BL05_0hr,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,Plasmodium vivax Transcriptome or Gene expression,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,BL05_0hr,e87e0808201f353382b34b720044063e;8b2eee6d63a0ceeba79752357593de04,356209162;362429084,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/007/SRR8347517/SRR8347517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/007/SRR8347517/SRR8347517_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/007/SRR8347517/SRR8347517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/007/SRR8347517/SRR8347517_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/007/SRR8347517/SRR8347517_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/007/SRR8347517/SRR8347517_2.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_D/Kim19_D_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Kim19_D_0.95_cdhitest.fasta
Kim19,D_1,Asexual_Mixed,BL05_8hr,scspades-complete,Stranded,Kim19_D,,Separate clinical isolates - before and after CQ for each patient combined,,Cambodia,Characterization of P. vivax blood stage transcriptomes from field isolates reveals similarities among infections and complex gene isoforms,SRX5158511,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158511_SRR8347516_1.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158511_SRR8347516_2.fastq.gz,SAMN10605283,SRR8347516,SRX5158511,SAMN10605283,SRS4168329,PRJNA378759,SRP108632,PRJNA9540,SRA824629,Index_8.D_1_R1.fastq.gz,D_1,D_1,PRJNA378759,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,D_1,Illumina HiSeq 2500,ILLUMINA,264970600,2649706,5855,Plasmodium vivax,BL05_8hr,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,Plasmodium vivax Transcriptome or Gene expression,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,BL05_8hr,351c1c60c2ad9ea4bb300e8e0076856c;d8b87de11e07708e562dfe95c60ed43c,77168158;79338715,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/006/SRR8347516/SRR8347516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/006/SRR8347516/SRR8347516_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/006/SRR8347516/SRR8347516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/006/SRR8347516/SRR8347516_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/006/SRR8347516/SRR8347516_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/006/SRR8347516/SRR8347516_2.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_D/Kim19_D_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Kim19_D_0.95_cdhitest.fasta
Kim19,E_0,Asexual_Mixed,BL06_0hr,scspades-complete,Stranded,,,Separate clinical isolates - before and after CQ for each patient combined,,Cambodia,Characterization of P. vivax blood stage transcriptomes from field isolates reveals similarities among infections and complex gene isoforms,SRX5158506,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158506_SRR8347521_1.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158506_SRR8347521_2.fastq.gz,SAMN10605284,SRR8347521,SRX5158506,SAMN10605284,SRS4168324,PRJNA378759,SRP108632,PRJNA9540,SRA824629,Index_9.E_0_R1.fastq.gz,E_0,E_0,PRJNA378759,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,E_0,Illumina HiSeq 2500,ILLUMINA,93717000,937170,5855,Plasmodium vivax,BL06_0hr,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,Plasmodium vivax Transcriptome or Gene expression,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,BL06_0hr,77c35faeb92960abacfa99b3fa3555eb;90af8801c461fe986e4fcbcf9e01480a,27264540;28283521,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/001/SRR8347521/SRR8347521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/001/SRR8347521/SRR8347521_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/001/SRR8347521/SRR8347521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/001/SRR8347521/SRR8347521_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/001/SRR8347521/SRR8347521_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/001/SRR8347521/SRR8347521_2.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_E/Kim19_E_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Kim19_E_0.95_cdhitest.fasta
Kim19,E_1,Asexual_Mixed,BL06_8hr,scspades-complete,Stranded,Kim19_E,,Separate clinical isolates - before and after CQ for each patient combined,,Cambodia,Characterization of P. vivax blood stage transcriptomes from field isolates reveals similarities among infections and complex gene isoforms,SRX5158507,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158507_SRR8347520_1.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158507_SRR8347520_2.fastq.gz,SAMN10605285,SRR8347520,SRX5158507,SAMN10605285,SRS4168325,PRJNA378759,SRP108632,PRJNA9540,SRA824629,Index_10.E_1_R1.fastq.gz,E_1,E_1,PRJNA378759,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,E_1,Illumina HiSeq 2500,ILLUMINA,31732100,317321,5855,Plasmodium vivax,BL06_8hr,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,Plasmodium vivax Transcriptome or Gene expression,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,BL06_8hr,19033b9ca6af9fe3a2ed3cab26295ada;9c90ae2766c759f54fca4015b4fb3d41,9585428;10063508,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/000/SRR8347520/SRR8347520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/000/SRR8347520/SRR8347520_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/000/SRR8347520/SRR8347520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/000/SRR8347520/SRR8347520_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/000/SRR8347520/SRR8347520_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/000/SRR8347520/SRR8347520_2.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_E/Kim19_E_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Kim19_E_0.95_cdhitest.fasta
Kim19,F_0,Asexual_Mixed,BL07_0hr,scspades-complete,Stranded,,,Separate clinical isolates - before and after CQ for each patient combined,,Cambodia,Characterization of P. vivax blood stage transcriptomes from field isolates reveals similarities among infections and complex gene isoforms,SRX5158533,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158533_SRR8347494_1.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/SRA_files/nextflowFetchNGS_dir/fastq/SRX5158533_SRR8347494_2.fastq.gz,SAMN10605286,SRR8347494,SRX5158533,SAMN10605286,SRS4168351,PRJNA378759,SRP108632,PRJNA9540,SRA824629,Index_11.F_0_R1.fastq.gz,F_0,F_0,PRJNA378759,PAIRED,RANDOM,TRANSCRIPTOMIC,RNA-Seq,F_0,Illumina HiSeq 2500,ILLUMINA,998511200,9985112,5855,Plasmodium vivax,BL07_0hr,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,Plasmodium vivax Transcriptome or Gene expression,Illumina HiSeq 2500 sequencing; RNA-seq of patient infected P. vivax,BL07_0hr,0b3900def868298b9693ac6068aefc37;34e4c1f6b5641bccf80cf5b4494e6358,291486438;297758367,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/004/SRR8347494/SRR8347494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/004/SRR8347494/SRR8347494_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/004/SRR8347494/SRR8347494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR834/004/SRR8347494/SRR8347494_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/004/SRR8347494/SRR8347494_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR834/004/SRR8347494/SRR8347494_2.fastq.gz,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_F/Kim19_F_0.95_cdhitest.fasta,/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hisat_indexes/Kim19_F_0.95_cdhitest.fasta
