"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Gene has Unmatched Transcripts","Gene Name or Symbol","gene_source_id","Previous ID(s)","Transcript Product Description","Chromosome","Genomic Location (Transcript)","Genomic Sequence ID","Ortholog count","Ortholog Group","Paralog count","# Exons in Gene","# Exons in Transcript","# Transcripts","Annotated 3' UTR length","Annotated 5' UTR length","Gene Strand","Gene Type","Is Pseudo","Transcript Length"
"PCOAH_00000020","PCOAH_00000020-t30_1","Plasmodium coatneyi Hackeri","CP016239:4,694..5,837(-)","KIR protein","no","null","PCOAH_00000020","null","KIR protein","1","CP016239:4694..5837(-)","CP016239","2","OG6r1_129340","0","2","2","1","null","null","reverse","protein coding","No","891"
"PCOAH_00000030","PCOAH_00000030-t30_1","Plasmodium coatneyi Hackeri","CP016239:13,903..15,999(+)","SICA antigen","no","null","PCOAH_00000030","null","SICA antigen","1","CP016239:13903..15999(+)","CP016239","3","OG6r1_100050","75","3","3","1","null","null","forward","protein coding","No","1626"
"PCOAH_00000040","PCOAH_00000040-t30_1","Plasmodium coatneyi Hackeri","CP016239:16,546..18,409(-)","KIR protein","no","null","PCOAH_00000040","null","KIR protein","1","CP016239:16546..18409(-)","CP016239","54","OG6r1_100030","55","3","3","1","null","null","reverse","protein coding","No","1056"
"PCOAH_00000050","PCOAH_00000050-t30_1","Plasmodium coatneyi Hackeri","CP016239:25,909..27,236(-)","KIR protein","no","null","PCOAH_00000050","null","KIR protein","1","CP016239:25909..27236(-)","CP016239","2","OG6r1_113295","2","3","3","1","null","null","reverse","protein coding","No","1113"
"PCOAH_00000060","PCOAH_00000060-t30_1","Plasmodium coatneyi Hackeri","CP016239:29,769..31,559(-)","KIR protein","no","null","PCOAH_00000060","null","KIR protein","1","CP016239:29769..31559(-)","CP016239","0","OG6r1_335584","0","3","3","1","null","null","reverse","protein coding","No","1539"
"PCOAH_00000070","PCOAH_00000070-t30_1","Plasmodium coatneyi Hackeri","CP016239:33,952..35,999(-)","Ubiquitin carboxyl-terminal hydrolase","no","null","PCOAH_00000070","null","Ubiquitin carboxyl-terminal hydrolase","1","CP016239:33952..35999(-)","CP016239","2","OG6r1_129341","0","4","4","1","null","null","reverse","protein coding","No","1410"
"PCOAH_00000080","PCOAH_00000080-t30_1","Plasmodium coatneyi Hackeri","CP016239:37,797..40,399(-)","SICA-like antigen","no","null","PCOAH_00000080","null","SICA-like antigen","1","CP016239:37797..40399(-)","CP016239","0","OG6_177773","0","3","3","1","null","null","reverse","protein coding","No","2337"
"PCOAH_00000090","PCOAH_00000090-t30_1","Plasmodium coatneyi Hackeri","CP016239:43,936..44,833(-)","KIR-like protein","no","null","PCOAH_00000090","null","KIR-like protein","1","CP016239:43936..44833(-)","CP016239","5","OG6r1_105344","3","2","2","1","null","null","reverse","protein coding","No","759"
"PCOAH_00000100","PCOAH_00000100-t30_1","Plasmodium coatneyi Hackeri","CP016239:48,417..50,088(-)","Uncharacterized protein","no","null","PCOAH_00000100","null","Uncharacterized protein","1","CP016239:48417..50088(-)","CP016239","13","OG6_122942","0","2","2","1","null","null","reverse","protein coding","No","1209"
"PCOAH_00000110","PCOAH_00000110-t30_1","Plasmodium coatneyi Hackeri","CP016239:52,842..53,744(+)","Uncharacterized protein","no","null","PCOAH_00000110","null","Uncharacterized protein","1","CP016239:52842..53361(+)","CP016239","0","OG6r1_335550","0","2","2","1","383","null","forward","protein coding","No","683"
