Geneid	clade	SorL
PCHAS_0100200	S1	S
PCHAS_0100300	S7	S
PCHAS_0100400	L1	L
PCHAS_0100800	L1	L
PCHAS_0113300	L1	L
PCHAS_0114500	L4	L
PCHAS_0114800	L1	L
PCHAS_0114900	L1	L
PCHAS_0115000	L4	L
PCHAS_0115100	S7	S
PCHAS_0115200	S1	S
PCHAS_0115300	S7	S
PCHAS_0200005	S7	S
PCHAS_0200011	L4	L
PCHAS_0200015	S7	S
PCHAS_0200021	S1	S
PCHAS_0200025	S7	S
PCHAS_0200031	L4	L
PCHAS_0200035	L1	L
PCHAS_0200055	L1	L
PCHAS_0213821	L1	L
PCHAS_0213841	S7	S
PCHAS_0213861	S7	S
PCHAS_0300200	S7	S
PCHAS_0300300	S7	S
PCHAS_0300400	S7	S
PCHAS_0300600	S7	S
PCHAS_0300700	L1	L
PCHAS_0300800	S7	S
PCHAS_0300900	L4	L
PCHAS_0301100	L4	L
PCHAS_0301200	L4	L
PCHAS_0301400	L1	L
PCHAS_0301500	L1	L
PCHAS_0301600	L1	L
PCHAS_0301700	L1	L
PCHAS_0301800	L4	L
PCHAS_0301900	L1	L
PCHAS_0302000	L1	L
PCHAS_0302100	L4	L
PCHAS_0302700	L1	L
PCHAS_0318500	L2	L
PCHAS_0319100	L2	L
PCHAS_0319400	L1	L
PCHAS_0319600	L4	L
PCHAS_0319700	S7	S
PCHAS_0319800	S7	S
PCHAS_0319900	S7	S
PCHAS_0320000	S7	S
PCHAS_0320100	L4	L
PCHAS_0320200	S1	S
PCHAS_0320300	S7	S
PCHAS_0320400	S7	S
PCHAS_0400101	S7	S
PCHAS_0400111	S1	S
PCHAS_0400121	L4	L
PCHAS_0400200	S7	S
PCHAS_0400300	S7	S
PCHAS_0400400	S7	S
PCHAS_0400500	L4	L
PCHAS_0400600	L1	L
PCHAS_0400800	L1	L
PCHAS_0401100	L4	L
PCHAS_0401400	unk	unk
PCHAS_0419500	L1	L
PCHAS_0419600	L1	L
PCHAS_0419700	L1	L
PCHAS_0419800	L1	L
PCHAS_0419900	L1	L
PCHAS_0420000	L1	L
PCHAS_0420100	L1	L
PCHAS_0420200	L1	L
PCHAS_0420300	L4	L
PCHAS_0420700	L1	L
PCHAS_0500200	S7	S
PCHAS_0500400	L1	L
PCHAS_0500600	S7	S
PCHAS_0500700	L4	L
PCHAS_0525411	S7	S
PCHAS_0525421	S3	S
PCHAS_0600200	S7	S
PCHAS_0600300	L4	L
PCHAS_0600500	L4	L
PCHAS_0600600	L4	L
PCHAS_0600700	L1	L
PCHAS_0600800	L1	L
PCHAS_0600900	L1	L
PCHAS_0601000	L1	L
PCHAS_0601100	L1	L
PCHAS_0601200	L1	L
PCHAS_0601300	L1	L
PCHAS_0601400	L4	L
PCHAS_0601600	L1	L
PCHAS_0602000	unk	unk
PCHAS_0626200	L1	L
PCHAS_0626300	L1	L
PCHAS_0626400	L1	L
PCHAS_0626500	L1	L
PCHAS_0626600	L1	L
PCHAS_0626700	L4	L
PCHAS_0626800	L1	L
PCHAS_0626900	L4	L
PCHAS_0627100	L4	L
PCHAS_0627200	S7	S
PCHAS_0700200	S7	S
PCHAS_0700300	S1	S
PCHAS_0700400	L1	L
PCHAS_0700500	S7	S
PCHAS_0700600	L1	L
PCHAS_0700700	L1	L
PCHAS_0700900	S7	S
PCHAS_0701000	L4	L
PCHAS_0701300	S7	S
PCHAS_0701400	L4	L
PCHAS_0701600	S7	S
PCHAS_0701700	L1	L
PCHAS_0731300	L1	L
PCHAS_0731500	L1	L
PCHAS_0731600	S7	S
PCHAS_0731800	S7	S
PCHAS_0731900	S1	S
PCHAS_0732000	S7	S
PCHAS_0800005	S7	S
PCHAS_0800011	S7	S
PCHAS_0800015	S7	S
PCHAS_0800025	L1	L
PCHAS_0800035	L1	L
PCHAS_0800051	S1	S
PCHAS_0800055	L1	L
PCHAS_0836900	L1	L
PCHAS_0837200	L1	L
PCHAS_0837600	L4	L
PCHAS_0837800	L1	L
PCHAS_0838000	S7	S
PCHAS_0900001	L4	L
PCHAS_0900005	S7	S
PCHAS_0900011	S7	S
PCHAS_0900015	S7	S
PCHAS_0900021	L1	L
PCHAS_0900031	L1	L
PCHAS_0900041	S1	S
PCHAS_0900045	L4	L
PCHAS_0900100	L1	L
PCHAS_0900300	L1	L
PCHAS_0938200	S7	S
PCHAS_0938341	S7	S
PCHAS_1000300	S3	S
PCHAS_1000400	S7	S
PCHAS_1000600	L1	L
PCHAS_1001100	L1	L
PCHAS_1001351	L1	L
PCHAS_1041100	L1	L
PCHAS_1042000	L1	L
PCHAS_1042300	S7	S
PCHAS_1042500	S7	S
PCHAS_1042600	S7	S
PCHAS_1042700	S7	S
PCHAS_1100200	S7	S
PCHAS_1100300	L1	L
PCHAS_1146000	L1	L
PCHAS_1146400	L4	L
PCHAS_1147000	L1	L
PCHAS_1147200	L1	L
PCHAS_1147300	S3	S
PCHAS_1147400	S1	S
PCHAS_1147500	S7	S
PCHAS_1147521	S7	S
PCHAS_1200200	S7	S
PCHAS_1200300	L4	L
PCHAS_1200400	S7	S
PCHAS_1200500	S7	S
PCHAS_1200600	S7	S
PCHAS_1200700	S7	S
PCHAS_1247000	unk	unk
PCHAS_1247400	L4	L
PCHAS_1247500	S7	S
PCHAS_1248000	L1	L
PCHAS_1248300	L1	L
PCHAS_1300101	S7	S
PCHAS_1300201	S7	S
PCHAS_1300301	S1	S
PCHAS_1300401	S7	S
PCHAS_1300601	L1	L
PCHAS_1301700	L1	L
PCHAS_1302200	L1	L
PCHAS_1302800	L1	L
PCHAS_1303500	L1	L
PCHAS_1370300	L1	L
PCHAS_1370900	L1	L
PCHAS_1371100	L1	L
PCHAS_1371200	S7	S
PCHAS_1371300	S7	S
PCHAS_1371400	S7	S
PCHAS_1371500	S1	S
PCHAS_1371600	S7	S
PCHAS_1371700	S7	S
PCHAS_1371900	S7	S
PCHAS_1400200	S7	S
PCHAS_1400300	S1	S
PCHAS_1400400	S1	S
PCHAS_1400700	L4	L
PCHAS_1400900	S7	S
PCHAS_1401300	S1	S
PCHAS_1401400	L1	L
PCHAS_1467700	L1	L
PCHAS_1467900	L1	L
PCHAS_1468400	S1	S
PCHAS_1468500	L4	L
PCHAS_1468600	L1	L
PCHAS_1468700	L4	L
PCHAS_0101200	ancestral	ancestral
