"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Gene has Unmatched Transcripts","Gene Name or Symbol","gene_source_id","Previous ID(s)","Transcript Product Description","Chromosome","Genomic Location (Transcript)","Genomic Sequence ID","Ortholog count","Ortholog Group","Paralog count","# Exons in Gene","# Exons in Transcript","# Transcripts","Annotated 3' UTR length","Annotated 5' UTR length","Gene Strand","Gene Type","Is Pseudo","Transcript Length"
"PCHAS_0100100","PCHAS_0100100.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:1,745..3,349(+)","fam-a protein","no","null","PCHAS_0100100","Previous IDs: PC402960.00.0;PC405906.00.0;PCHAS_010010","fam-a protein","01","PCHAS_01_v3:1745..3349(+)","PCHAS_01_v3","698","OG6_100943","135","6","6","1","null","null","forward","protein coding","No","903"
"PCHAS_0100200","PCHAS_0100200.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:4,328..5,422(-)","PIR protein","no","null","PCHAS_0100200","Previous IDs: PCHAS_010020","PIR protein","01","PCHAS_01_v3:4328..5422(-)","PCHAS_01_v3","26","OG6r1_100414","0","3","3","1","null","null","reverse","protein coding","No","894"
"PCHAS_0100300","PCHAS_0100300.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:8,111..9,256(-)","PIR protein","no","null","PCHAS_0100300","Previous IDs: PC500050.00.0;PCAS_010030;PCHAS_010030","PIR protein","01","PCHAS_01_v3:8111..9256(-)","PCHAS_01_v3","15","OG6r1_100191","23","3","3","1","null","null","reverse","protein coding","No","903"
"PCHAS_0100400","PCHAS_0100400.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:11,070..13,360(-)","PIR protein","no","null","PCHAS_0100400","Previous IDs: PC102272.00.0;PC106057.00.0;PC106058.00.0;PCAS_010040;PCHAS_010040","PIR protein","01","PCHAS_01_v3:11070..13360(-)","PCHAS_01_v3","3","OG6r1_113213","1","3","3","1","null","null","reverse","protein coding","No","2061"
"PCHAS_0100500","PCHAS_0100500.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:17,437..19,057(+)","fam-a protein","no","null","PCHAS_0100500","Previous IDs: PC402494.00.0;PCAS_010050;PCHAS_010050","fam-a protein","01","PCHAS_01_v3:17437..19057(+)","PCHAS_01_v3","698","OG6_100943","135","6","6","1","null","null","forward","protein coding","No","921"
"PCHAS_0100600","PCHAS_0100600.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:25,096..28,941(+)","conserved rodent malaria protein, unknown function","no","null","PCHAS_0100600","Previous IDs: PC101840.00.0;PC103352.00.0;PC105513.00.0;PC402215.00.0;PC404043.00.0;PCAS_010060;PCHAS_010060","conserved rodent malaria protein, unknown function","01","PCHAS_01_v3:25096..28941(+)","PCHAS_01_v3","0","OG6_459100","0","1","1","1","null","null","forward","protein coding","No","3846"
"PCHAS_0100651","PCHAS_0100651.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:33,224..33,898(+)","conserved rodent malaria protein, unknown function","no","null","PCHAS_0100651","null","conserved rodent malaria protein, unknown function","01","PCHAS_01_v3:33224..33898(+)","PCHAS_01_v3","8","OG6r1_105333","0","2","2","1","null","null","forward","protein coding","No","423"
"PCHAS_0100700","PCHAS_0100700.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:35,185..35,955(-)","fam-c protein","no","null","PCHAS_0100700","Previous IDs: PCHAS_010070","fam-c protein","01","PCHAS_01_v3:35185..35955(-)","PCHAS_01_v3","6","OG6r1_107894","0","2","2","1","null","null","reverse","protein coding","No","606"
"PCHAS_0100800","PCHAS_0100800.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:37,692..38,437(-)","PIR protein","no","null","PCHAS_0100800","Previous IDs: PC401930.00.0;PCAS_010080;PCHAS_010080","PIR protein","01","PCHAS_01_v3:37692..38437(-)","PCHAS_01_v3","2","OG6r1_118808","1","3","3","1","null","null","reverse","protein coding","No","450"
"PCHAS_0100900","PCHAS_0100900.1","Plasmodium chabaudi chabaudi","PCHAS_01_v3:39,860..41,030(+)","Plasmodium exported protein, unknown function","no","null","PCHAS_0100900","Previous IDs: PC105304.00.0;PCAS_010090;PCHAS_010090","Plasmodium exported protein, unknown function","01","PCHAS_01_v3:39860..41030(+)","PCHAS_01_v3","0","OG6_353843","0","2","2","1","null","null","forward","protein coding","No","1002"
