"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Transcript Length"
"PcyM_0000100","PcyM_0000100-t36_1","P. cynomolgi strain M","PcyM_00_10:1,546..2,226(-)","Plasmodium exported protein, unknown function","543"
"PcyM_0000200","PcyM_0000200-t36_1","P. cynomolgi strain M","PcyM_00_10:5,007..5,537(-)","Plasmodium exported protein, unknown function, pseudogene","531"
"PcyM_0000300","PcyM_0000300-t36_1","P. cynomolgi strain M","PcyM_00_10:6,099..7,337(+)","Plasmodium exported protein, unknown function, pseudogene","1011"
"PcyM_0000350","PcyM_0000350-t36_1","P. cynomolgi strain M","PcyM_00_10:9,046..9,720(+)","Plasmodium exported protein, unknown function, pseudogene","669"
"PcyM_0000400","PcyM_0000400-t36_1","P. cynomolgi strain M","PcyM_00_10:13,134..14,256(-)","PIR protein","822"
"PcyM_0000500","PcyM_0000500-t36_1","P. cynomolgi strain M","PcyM_00_10:17,294..19,001(-)","PIR protein","1263"
"PcyM_0000600","PcyM_0000600-t36_1","P. cynomolgi strain M","PcyM_00_10:23,183..24,492(-)","PIR protein","1083"
"PcyM_0000650","PcyM_0000650-t36_1","P. cynomolgi strain M","PcyM_00_10:27,851..28,762(+)","PIR protein, pseudogene","780"
"PcyM_0000700","PcyM_0000700-t36_1","P. cynomolgi strain M","PcyM_00_10:32,929..33,848(+)","PIR protein","702"
"PcyM_0000800","PcyM_0000800-t36_1","P. cynomolgi strain M","PcyM_00_10:37,753..38,996(+)","PIR protein","951"
"PcyM_0000900","PcyM_0000900-t36_1","P. cynomolgi strain M","PcyM_00_10:40,918..42,217(-)","PIR protein","1050"
"PcyM_0001000","PcyM_0001000-t36_1","P. cynomolgi strain M","PcyM_00_10:47,104..48,349(+)","PIR protein","978"
"PcyM_0001100","PcyM_0001100-t36_1","P. cynomolgi strain M","PcyM_00_10:53,434..56,353(+)","PIR protein","2526"
"PcyM_0001200","PcyM_0001200-t36_1","P. cynomolgi strain M","PcyM_00_10:60,936..62,622(-)","PIR protein","1320"
"PcyM_0001300","PcyM_0001300-t36_1","P. cynomolgi strain M","PcyM_00_10:63,286..64,748(-)","PIR protein, pseudogene","1332"
"PcyM_0001400","PcyM_0001400-t36_1","P. cynomolgi strain M","PcyM_00_10:66,983..68,402(+)","PIR protein, pseudogene","1305"
"PcyM_0001500","PcyM_0001500-t36_1","P. cynomolgi strain M","PcyM_00_10:70,428..72,585(-)","PIR protein","1686"
"PcyM_0001550","PcyM_0001550-t36_1","P. cynomolgi strain M","PcyM_00_10:76,724..77,447(+)","PIR protein, pseudogene","720"
"PcyM_0001600","PcyM_0001600-t36_1","P. cynomolgi strain M","PcyM_00_10:78,072..79,313(-)","PIR protein","1026"
"PcyM_0001650","PcyM_0001650-t36_1","P. cynomolgi strain M","PcyM_00_10:84,353..85,084(+)","PIR protein, pseudogene","726"
"PcyM_0001700","PcyM_0001700-t36_1","P. cynomolgi strain M","PcyM_00_10:85,307..85,769(-)","PIR protein, pseudogene","355"
"PcyM_0001800","PcyM_0001800-t36_1","P. cynomolgi strain M","PcyM_00_10:88,253..91,062(+)","STP1 protein","2670"
"PcyM_0001900","PcyM_0001900-t36_1","P. cynomolgi strain M","PcyM_00_10:92,433..93,715(-)","PIR protein","1035"
"PcyM_0002100","PcyM_0002100-t36_1","P. cynomolgi strain M","PcyM_00_10:98,152..99,402(-)","PIR protein, pseudogene","1005"
"PcyM_0002200","PcyM_0002200-t36_1","P. cynomolgi strain M","PcyM_00_10:106,086..107,291(+)","PIR protein","969"
"PcyM_0002300","PcyM_0002300-t36_1","P. cynomolgi strain M","PcyM_00_10:109,599..110,816(-)","PIR protein","975"
"PcyM_0002390","PcyM_0002390-t36_1","P. cynomolgi strain M","PcyM_00_10:115,044..115,729(-)","PIR protein, pseudogene","570"
"PcyM_0002400","PcyM_0002400-t36_1","P. cynomolgi strain M","PcyM_00_10:118,088..119,341(-)","PIR protein","1002"
"PcyM_0002450","PcyM_0002450-t36_1","P. cynomolgi strain M","PcyM_00_10:124,297..125,023(+)","PIR protein, pseudogene","720"
"PcyM_0002470","PcyM_0002470-t36_1","P. cynomolgi strain M","PcyM_00_10:127,228..128,005(+)","hypothetical protein","651"
"PcyM_0002500","PcyM_0002500-t36_1","P. cynomolgi strain M","PcyM_00_10:133,539..135,206(-)","PIR protein","1407"
"PcyM_0002700","PcyM_0002700-t36_1","P. cynomolgi strain M","PcyM_00_10:136,984..139,080(+)","PIR protein, pseudogene","2004"
"PcyM_0002800","PcyM_0002800-t36_1","P. cynomolgi strain M","PcyM_00_10:141,277..142,129(-)","Plasmodium exported protein, unknown function","732"
