"Name","SRX3467115_SRR6371894_TPM","pir","subfam"
"NODE_1_length_5803_cov_641.591",60.543508,FALSE,"noCluster"
"NODE_2_length_3509_cov_1217.63",117.80277,FALSE,"noCluster"
"NODE_3_length_3209_cov_255.935",24.339412,FALSE,"noCluster"
"NODE_4_length_2906_cov_134.05",12.919405,FALSE,"noCluster"
"NODE_5_length_2880_cov_392.668",38.76467,FALSE,"noCluster"
"NODE_6_length_2760_cov_369.834",38.207946,FALSE,"noCluster"
"NODE_7_length_2731_cov_228.133",21.962571,FALSE,"noCluster"
"NODE_8_length_2531_cov_144.677",14.040888,FALSE,"noCluster"
"NODE_9_length_2415_cov_69.1851",6.734612,FALSE,"noCluster"
"NODE_10_length_2384_cov_115.37",11.214205,FALSE,"noCluster"
"NODE_11_length_2349_cov_202.721",19.824961,FALSE,"noCluster"
"NODE_12_length_2310_cov_293.763",28.825967,FALSE,"noCluster"
"NODE_13_length_2288_cov_137.71",13.612483,FALSE,"noCluster"
"NODE_14_length_2124_cov_618.08",62.673257,FALSE,"noCluster"
"NODE_15_length_2120_cov_57.3666",5.659752,FALSE,"noCluster"
"NODE_16_length_2077_cov_38.4648",3.823638,FALSE,"noCluster"
"NODE_17_length_2072_cov_104.28",10.31638,FALSE,"noCluster"
"NODE_18_length_1982_cov_445.444",45.067424,FALSE,"noCluster"
"NODE_19_length_1906_cov_121.972",12.209948,FALSE,"noCluster"
"NODE_20_length_1905_cov_178.838",17.932151,FALSE,"noCluster"
"NODE_21_length_1903_cov_214.904",21.551854,FALSE,"noCluster"
"NODE_22_length_1901_cov_85.6879",8.62784,FALSE,"noCluster"
"NODE_23_length_1889_cov_84.2403",8.553458,FALSE,"noCluster"
"NODE_24_length_1824_cov_162.501",16.262173,FALSE,"noCluster"
"NODE_25_length_1823_cov_54.8268",5.520369,FALSE,"noCluster"
"NODE_26_length_1784_cov_256.751",26.593948,FALSE,"noCluster"
"NODE_27_length_1774_cov_268.785",27.676188,FALSE,"noCluster"
"NODE_28_length_1756_cov_204.311",20.893724,FALSE,"noCluster"
"NODE_29_length_1745_cov_217.463",22.158458,FALSE,"noCluster"
"NODE_30_length_1718_cov_239.952",24.361882,FALSE,"noCluster"
"NODE_31_length_1711_cov_1183.64",123.697839,FALSE,"noCluster"
"NODE_32_length_1678_cov_276.587",28.107297,FALSE,"noCluster"
"NODE_33_length_1665_cov_470.932",48.712705,FALSE,"noCluster"
"NODE_34_length_1661_cov_421.669",43.307477,FALSE,"noCluster"
"NODE_35_length_1644_cov_181.217",18.561424,FALSE,"noCluster"
"NODE_36_length_1619_cov_63.5328",6.656657,FALSE,"noCluster"
"NODE_37_length_1619_cov_148.508",15.280511,FALSE,"noCluster"
"NODE_38_length_1606_cov_283.723",29.404054,FALSE,"noCluster"
"NODE_39_length_1602_cov_89.1256",9.22914,FALSE,"noCluster"
"NODE_40_length_1600_cov_72.9796",7.454687,FALSE,"noCluster"
"NODE_41_length_1598_cov_239.131",24.623769,FALSE,"noCluster"
"NODE_42_length_1595_cov_54.5455",5.640877,FALSE,"noCluster"
"NODE_43_length_1585_cov_42.0606",4.344774,FALSE,"noCluster"
"NODE_44_length_1585_cov_264.046",27.695352,FALSE,"noCluster"
"NODE_45_length_1561_cov_194.938",20.187827,FALSE,"noCluster"
"NODE_46_length_1558_cov_95.1731",9.892528,FALSE,"noCluster"
"NODE_47_length_1551_cov_156.511",16.232433,FALSE,"noCluster"
"NODE_48_length_1512_cov_78.6349",8.232141,FALSE,"noCluster"
"NODE_49_length_1505_cov_208.638",21.721652,FALSE,"noCluster"
"NODE_50_length_1499_cov_218.58",22.632733,FALSE,"noCluster"
"NODE_51_length_1497_cov_111.146",11.555893,FALSE,"noCluster"
"NODE_52_length_1493_cov_68.2911",7.104402,FALSE,"noCluster"
"NODE_53_length_1489_cov_112.397",11.50425,FALSE,"noCluster"
"NODE_54_length_1488_cov_65.7306",6.827107,FALSE,"noCluster"
"NODE_55_length_1453_cov_715.161",76.589561,FALSE,"noCluster"
"NODE_56_length_1452_cov_33.9112",3.598087,FALSE,"noCluster"
"NODE_57_length_1444_cov_200.159",21.030563,FALSE,"noCluster"
"NODE_58_length_1438_cov_88.2199",9.283245,FALSE,"noCluster"
"NODE_59_length_1429_cov_185.943",19.411956,FALSE,"noCluster"
"NODE_60_length_1424_cov_236.99",25.261839,FALSE,"noCluster"
"NODE_61_length_1414_cov_170.23",18.245722,FALSE,"noCluster"
"NODE_62_length_1407_cov_140.848",14.836796,FALSE,"noCluster"
"NODE_63_length_1384_cov_118.964",12.685768,FALSE,"noCluster"
"NODE_64_length_1377_cov_142.364",15.11471,FALSE,"noCluster"
"NODE_65_length_1373_cov_53.447",5.62931,FALSE,"noCluster"
"NODE_66_length_1362_cov_86.8051",9.141231,FALSE,"noCluster"
"NODE_67_length_1360_cov_111.544",11.897551,FALSE,"noCluster"
"NODE_68_length_1346_cov_45.9947",5.017954,FALSE,"noCluster"
"NODE_69_length_1343_cov_18.0847",1.911102,FALSE,"noCluster"
"NODE_70_length_1339_cov_188.696",20.426167,FALSE,"noCluster"
"NODE_71_length_1338_cov_67.8736",7.200273,FALSE,"noCluster"
