"Name","SRX5158496_SRR8347531_TPM","SRX5158497_SRR8347530_TPM","pir","subfam"
"NODE_1_length_17100_cov_8.64036",2.837542,82.114673,FALSE,"noCluster"
"NODE_2_length_13326_cov_11.0447",0.107474,2.996558,FALSE,"noCluster"
"NODE_3_length_13120_cov_5.98074",0.982705,14.289258,FALSE,"noCluster"
"NODE_4_length_12944_cov_9.40051",0,9.699435,FALSE,"noCluster"
"NODE_5_length_12883_cov_9.42755",0.111232,8.480271,FALSE,"noCluster"
"NODE_6_length_11693_cov_19.0462",2.33245,27.719524,FALSE,"noCluster"
"NODE_7_length_11382_cov_28.3088",1.387962,17.294065,FALSE,"noCluster"
"NODE_8_length_11315_cov_9.24109",0,0.144382,FALSE,"noCluster"
"NODE_9_length_11148_cov_6.16257",0.386635,6.229607,FALSE,"noCluster"
"NODE_10_length_11134_cov_17.1985",0.38713,9.172888,FALSE,"noCluster"
"NODE_11_length_11037_cov_9.93348",0,8.225932,FALSE,"noCluster"
"NODE_12_length_10783_cov_11.368",0,37.390158,FALSE,"noCluster"
"NODE_13_length_10550_cov_16.0506",0.817998,17.750401,FALSE,"noCluster"
"NODE_14_length_10493_cov_9.45707",0.822533,6.313201,FALSE,"noCluster"
"NODE_15_length_10467_cov_11.6864",0,4.453843,FALSE,"noCluster"
"NODE_16_length_10384_cov_11.6892",0,9.295178,FALSE,"noCluster"
"NODE_17_length_10368_cov_21.0986",0,10.335417,FALSE,"noCluster"
"NODE_18_length_10364_cov_5.6555",0,20.915728,FALSE,"noCluster"
"NODE_19_length_10355_cov_13.4363",0,0.236991,FALSE,"noCluster"
"NODE_20_length_10332_cov_18.3991",0,10.92627,FALSE,"noCluster"
"NODE_21_length_10189_cov_16.5729",0,18.229505,FALSE,"noCluster"
"NODE_22_length_10175_cov_12.4889",0,9.971905,FALSE,"noCluster"
"NODE_23_length_10036_cov_16.5104",0,12.39588,FALSE,"noCluster"
"NODE_24_length_9953_cov_18.2736",0.144688,11.925364,FALSE,"noCluster"
"NODE_25_length_9772_cov_14.995",0.58971,8.79843,FALSE,"noCluster"
"NODE_26_length_9669_cov_116.856",0,0.169407,FALSE,"noCluster"
"NODE_27_length_9418_cov_8.37027",0,13.659451,FALSE,"noCluster"
"NODE_28_length_9411_cov_7.82203",0,6.704297,FALSE,"noCluster"
"NODE_29_length_9291_cov_17.4069",0,19.974813,FALSE,"noCluster"
"NODE_30_length_9239_cov_15.9592",2.810379,20.760601,FALSE,"noCluster"
"NODE_31_length_9185_cov_12.9365",0,6.158394,FALSE,"noCluster"
"NODE_32_length_9154_cov_15.3318",1.576163,33.49549,FALSE,"noCluster"
"NODE_33_length_9094_cov_11.2765",0,2.704873,FALSE,"noCluster"
"NODE_34_length_8998_cov_9.87842",0,0.182286,FALSE,"noCluster"
"NODE_35_length_8981_cov_6.16428",0.160726,7.031567,FALSE,"noCluster"
"NODE_36_length_8885_cov_14.7978",0,12.648556,FALSE,"noCluster"
"NODE_37_length_8877_cov_17.6687",1.626547,44.634068,FALSE,"noCluster"
"NODE_38_length_8813_cov_45.7162",1.96638,52.877696,FALSE,"noCluster"
"NODE_39_length_8802_cov_12.0064",0.984449,10.905944,FALSE,"noCluster"
"NODE_40_length_8802_cov_19.9699",0.492225,0.27964,FALSE,"noCluster"
"NODE_41_length_8802_cov_19.794",1.968898,23.955792,FALSE,"noCluster"
"NODE_42_length_8774_cov_15.4772",0,19.825524,FALSE,"noCluster"
"NODE_43_length_8746_cov_15.3753",1.15606,45.972792,FALSE,"noCluster"
"NODE_44_length_8727_cov_7.17805",0,0,FALSE,"noCluster"
"NODE_45_length_8627_cov_12.5641",4.689632,9.257759,FALSE,"noCluster"
"NODE_46_length_8622_cov_51.9105",2.34621,14.755823,FALSE,"noCluster"
"NODE_47_length_8603_cov_23.2802",2.85542,73.277493,FALSE,"noCluster"
"NODE_48_length_8584_cov_21.4301",1.515124,9.371634,FALSE,"noCluster"
"NODE_49_length_8548_cov_12.2058",0,1.920799,FALSE,"noCluster"
"NODE_50_length_8540_cov_5.85024",0,0,FALSE,"noCluster"
"NODE_51_length_8442_cov_16.2186",0.342503,9.435283,FALSE,"noCluster"
"NODE_52_length_8417_cov_8.9573",0,0,FALSE,"noCluster"
"NODE_53_length_8325_cov_9.64315",0,17.858706,FALSE,"noCluster"
"NODE_54_length_8309_cov_12.6609",0,5.832793,FALSE,"noCluster"
"NODE_55_length_8290_cov_9.07254",1.046843,17.935704,FALSE,"noCluster"
"NODE_56_length_8286_cov_24.1086",0,12.392643,FALSE,"noCluster"
"NODE_57_length_8273_cov_3.75968",0,8.539821,FALSE,"noCluster"
"NODE_58_length_8264_cov_54.0652",0.526026,21.111592,FALSE,"noCluster"
"NODE_59_length_8251_cov_25.4288",0,9.558783,FALSE,"noCluster"
"NODE_60_length_8249_cov_8.25353",0,7.469648,FALSE,"noCluster"
"NODE_61_length_8236_cov_13.3378",1.75648,22.94385,FALSE,"noCluster"
"NODE_62_length_8227_cov_77.8182",4.542657,102.794296,FALSE,"noCluster"
"NODE_63_length_8177_cov_9.0959",2.654236,67.128076,FALSE,"noCluster"
"NODE_64_length_8171_cov_20.3319",0.70833,25.64446,FALSE,"noCluster"
"NODE_65_length_8157_cov_13.4098",0.886973,20.95451,FALSE,"noCluster"
"NODE_66_length_8152_cov_12.8028",0,1.713701,FALSE,"noCluster"
"NODE_67_length_8107_cov_6.6126",0,0.405511,FALSE,"noCluster"
"NODE_68_length_8076_cov_14.4793",0,1.424854,FALSE,"noCluster"
"NODE_69_length_8074_cov_6.83721",0,3.868439,FALSE,"noCluster"
"NODE_70_length_8058_cov_12.1209",0,0.816061,FALSE,"noCluster"
"NODE_71_length_8049_cov_14.7977",1.97823,19.301463,FALSE,"noCluster"
"NODE_72_length_8042_cov_9.0457",0,18.807556,FALSE,"noCluster"
"NODE_73_length_8041_cov_23.4758",0,7.667098,FALSE,"noCluster"
"NODE_74_length_8038_cov_10.9691",2.161102,38.656911,FALSE,"noCluster"
"NODE_75_length_8032_cov_52.1349",0,0,FALSE,"noCluster"
"NODE_76_length_7879_cov_12.4671",0,17.952818,FALSE,"noCluster"
"NODE_77_length_7869_cov_6.8854",0,0,FALSE,"noCluster"
"NODE_78_length_7868_cov_11.0742",0,3.344833,FALSE,"noCluster"
"NODE_79_length_7856_cov_29.3069",1.659416,51.925883,FALSE,"noCluster"
"NODE_80_length_7843_cov_8.60205",0.184694,15.205672,FALSE,"noCluster"
"NODE_81_length_7828_cov_12.078",0,0,FALSE,"noCluster"
"NODE_82_length_7811_cov_12.0211",0,0.105306,FALSE,"noCluster"
"NODE_83_length_7762_cov_13.8909",0.7467,35.717237,FALSE,"noCluster"
"NODE_84_length_7736_cov_14.5804",3.184443,18.823983,FALSE,"noCluster"
"NODE_85_length_7682_cov_21.3944",2.641439,28.706796,FALSE,"noCluster"
"NODE_86_length_7678_cov_6.11838",0,28.186234,FALSE,"noCluster"
"NODE_87_length_7667_cov_9.22295",1.512431,8.049697,FALSE,"noCluster"
"NODE_88_length_7643_cov_22.1647",0,13.782283,FALSE,"noCluster"
"NODE_89_length_7608_cov_13.0956",1.524495,16.551678,FALSE,"noCluster"
"NODE_90_length_7591_cov_11.0329",0,15.288461,FALSE,"noCluster"
"NODE_91_length_7580_cov_26.6278",0,3.149104,FALSE,"noCluster"
"NODE_92_length_7554_cov_32.703",4.031233,13.512563,FALSE,"noCluster"
"NODE_93_length_7500_cov_14.4745",0.193386,3.403035,FALSE,"noCluster"
"NODE_94_length_7388_cov_12.4499",0,1.783667,FALSE,"noCluster"
"NODE_95_length_7342_cov_10.1233",0.197671,0.560972,FALSE,"noCluster"
"NODE_96_length_7341_cov_10.8228",0,12.455319,FALSE,"noCluster"
"NODE_97_length_7300_cov_5.70851",0,1.579977,FALSE,"noCluster"
"NODE_98_length_7298_cov_15.5079",0.198898,20.20681,FALSE,"noCluster"
"NODE_99_length_7298_cov_11.9571",0,0,FALSE,"noCluster"
"NODE_100_length_7281_cov_10.7759",0,15.502532,FALSE,"noCluster"
"NODE_101_length_7269_cov_4.90575",0,0,FALSE,"noCluster"
"NODE_102_length_7219_cov_11.171",0,1.826444,FALSE,"noCluster"
"NODE_103_length_7171_cov_6.32544",0,0,FALSE,"noCluster"
"NODE_104_length_7123_cov_9.19126",1.631477,24.378661,FALSE,"noCluster"
"NODE_105_length_7121_cov_30.466",1.632222,19.795429,FALSE,"noCluster"
"NODE_106_length_7119_cov_17.6483",0,42.212435,FALSE,"noCluster"
"NODE_107_length_7105_cov_6.3857",0,0,FALSE,"noCluster"
"NODE_108_length_7097_cov_19.4742",2.047048,48.556507,FALSE,"noCluster"
"NODE_109_length_7074_cov_19.4566",0.206021,19.523422,FALSE,"noCluster"
"NODE_110_length_7071_cov_21.5949",2.260288,37.895549,FALSE,"noCluster"
"NODE_111_length_7061_cov_11.7304",0.823123,10.976469,FALSE,"noCluster"
"NODE_112_length_7048_cov_10.1641",1.649376,8.540396,FALSE,"noCluster"
"NODE_113_length_7042_cov_8.73563",0,1.053845,FALSE,"noCluster"
"NODE_114_length_7024_cov_6.97797",0,0.469606,FALSE,"noCluster"
"NODE_115_length_7012_cov_15.9372",0.829054,18.265693,FALSE,"noCluster"
"NODE_116_length_7004_cov_7.22464",0,3.885592,FALSE,"noCluster"
"NODE_117_length_7001_cov_14.5303",0.436373,11.97782,FALSE,"noCluster"
"NODE_118_length_6976_cov_9.85755",0,6.502638,FALSE,"noCluster"
"NODE_119_length_6902_cov_7.67099",0,14.224049,FALSE,"noCluster"
"NODE_120_length_6877_cov_19.801",0,8.27831,FALSE,"noCluster"
"NODE_121_length_6869_cov_16.697",0.211716,15.615448,FALSE,"noCluster"
"NODE_122_length_6857_cov_6.65035",0,0.482501,FALSE,"noCluster"
"NODE_123_length_6840_cov_14.7632",0,9.651301,FALSE,"noCluster"
"NODE_124_length_6822_cov_22.947",0.852884,39.798413,FALSE,"noCluster"
"NODE_125_length_6814_cov_21.4462",2.348272,27.440708,FALSE,"noCluster"
"NODE_126_length_6803_cov_25.5501",0.427671,14.800362,FALSE,"noCluster"
"NODE_127_length_6776_cov_9.57823",1.932436,25.142524,FALSE,"noCluster"
"NODE_128_length_6772_cov_31.3363",1.289076,10.603932,FALSE,"noCluster"
"NODE_129_length_6745_cov_73.3576",0.647202,73.430974,FALSE,"noCluster"
"NODE_130_length_6713_cov_9.68907",0.433592,27.917302,FALSE,"noCluster"
"NODE_131_length_6707_cov_24.0646",2.16996,24.742422,FALSE,"noCluster"
"NODE_132_length_6702_cov_27.1547",2.605958,24.022223,FALSE,"noCluster"
"NODE_133_length_6673_cov_15.1422",0,4.702137,FALSE,"noCluster"
"NODE_134_length_6656_cov_38.3356",0,2.109103,FALSE,"noCluster"
"NODE_135_length_6634_cov_5.13138",2.633551,16.93027,FALSE,"noCluster"
"NODE_136_length_6619_cov_8.59338",0.879905,12.852023,FALSE,"noCluster"
"NODE_137_length_6608_cov_26.7296",5.068157,67.369715,FALSE,"noCluster"
"NODE_138_length_6591_cov_6.37069",0,0,FALSE,"noCluster"
"NODE_139_length_6589_cov_8.8223",0,0.752162,FALSE,"noCluster"
"NODE_140_length_6587_cov_22.6263",0.663242,20.941695,FALSE,"noCluster"
"NODE_141_length_6582_cov_20.2958",0.663762,1.505966,FALSE,"noCluster"
"NODE_142_length_6549_cov_12.215",0,52.22471,FALSE,"noCluster"
"NODE_143_length_6528_cov_8.92548",0.223146,26.83145,FALSE,"noCluster"
"NODE_144_length_6527_cov_22.5202",0,12.278586,FALSE,"noCluster"
"NODE_145_length_6524_cov_31.5622",0,7.218659,FALSE,"noCluster"
"NODE_146_length_6490_cov_13.7167",0,19.226028,FALSE,"noCluster"
"NODE_147_length_6463_cov_12.6932",0,6.790124,FALSE,"noCluster"
"NODE_148_length_6453_cov_29.4269",1.584344,76.118001,FALSE,"noCluster"
"NODE_149_length_6448_cov_8.90807",0.226008,9.228729,FALSE,"noCluster"
"NODE_150_length_6416_cov_43.3174",0,38.014558,FALSE,"noCluster"
"NODE_151_length_6391_cov_7.81645",0,0,FALSE,"noCluster"
"NODE_152_length_6389_cov_9.29814",0.6845,19.020808,FALSE,"noCluster"
"NODE_153_length_6387_cov_201.282",8.037467,244.82035,FALSE,"noCluster"
"NODE_154_length_6367_cov_22.1809",0,30.255697,FALSE,"noCluster"
"NODE_155_length_6353_cov_12.7234",1.836035,25.899234,FALSE,"noCluster"
"NODE_156_length_6351_cov_57.6847",0,204.006213,FALSE,"noCluster"
"NODE_157_length_6344_cov_16.4801",1.838729,40.013364,FALSE,"noCluster"
"NODE_158_length_6330_cov_19.3095",0,9.53621,FALSE,"noCluster"
"NODE_159_length_6329_cov_9.84022",0,0.130654,FALSE,"noCluster"
"NODE_160_length_6327_cov_7.53178",0,14.507333,FALSE,"noCluster"
"NODE_161_length_6323_cov_19.3529",0.230631,12.685824,FALSE,"noCluster"
"NODE_162_length_6310_cov_20.6543",3.004594,98.556133,FALSE,"noCluster"
"NODE_163_length_6281_cov_12.5535",0,0.921766,FALSE,"noCluster"
"NODE_164_length_6255_cov_24.8798",1.16613,14.811295,FALSE,"noCluster"
"NODE_165_length_6246_cov_29.2337",1.868591,51.783909,FALSE,"noCluster"
"NODE_166_length_6239_cov_11.1766",1.169226,54.760693,FALSE,"noCluster"
"NODE_167_length_6237_cov_8.26306",0,10.644243,FALSE,"noCluster"
"NODE_168_length_6215_cov_11.962",0,0.532476,FALSE,"noCluster"
"NODE_169_length_6209_cov_46.7511",1.88012,34.378861,FALSE,"noCluster"
"NODE_170_length_6207_cov_15.2073",0,76.322524,FALSE,"noCluster"
"NODE_171_length_6206_cov_17.5237",2.586458,76.924286,FALSE,"noCluster"
"NODE_172_length_6191_cov_20.9579",4.243004,72.43825,FALSE,"noCluster"
"NODE_173_length_6181_cov_203.961",0,0.267745,FALSE,"noCluster"
"NODE_174_length_6173_cov_21.5111",0,34.853209,FALSE,"noCluster"
"NODE_175_length_6170_cov_42.6668",2.365532,75.374234,FALSE,"noCluster"
"NODE_176_length_6167_cov_10.3939",0,4.159734,FALSE,"noCluster"
"NODE_177_length_6155_cov_8.7656",0,1.210087,FALSE,"noCluster"
"NODE_178_length_6146_cov_25.4348",0.71253,34.741424,FALSE,"noCluster"
"NODE_179_length_6142_cov_12.2716",0.23767,25.305989,FALSE,"noCluster"
"NODE_180_length_6135_cov_10.9267",0,0.26981,FALSE,"noCluster"
"NODE_181_length_6135_cov_14.5608",0.951804,41.146053,FALSE,"noCluster"
"NODE_182_length_6132_cov_16.3837",0,1.484703,FALSE,"noCluster"
"NODE_183_length_6121_cov_8.69152",0,0.135223,FALSE,"noCluster"
"NODE_184_length_6119_cov_4.44118",0,18.261188,FALSE,"noCluster"
"NODE_185_length_6115_cov_6.28034",0,7.309392,FALSE,"noCluster"
"NODE_186_length_6114_cov_9.3187",0,0.270764,FALSE,"noCluster"
"NODE_187_length_6108_cov_7.0935",0.956163,21.547479,FALSE,"noCluster"
"NODE_188_length_6098_cov_11.3124",2.394467,13.981985,FALSE,"noCluster"
"NODE_189_length_6087_cov_11.5757",0,0.544,FALSE,"noCluster"
"NODE_190_length_6084_cov_19.8321",0.240018,19.593921,FALSE,"noCluster"
"NODE_191_length_6081_cov_10.2887",0,0,FALSE,"noCluster"
