"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Gene has Unmatched Transcripts","Gene Name or Symbol","gene_source_id","Previous ID(s)","Transcript Product Description","# Exons in Gene","# Exons in Transcript","# Transcripts","Annotated 3' UTR length","Annotated 5' UTR length","Gene Strand","Gene Type","Is Pseudo","Transcript Length","Chromosome","Genomic Location (Transcript)","Genomic Sequence ID","Ortholog count","Ortholog Group","Paralog count"
"PBANKA_0000101","PBANKA_0000101.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_1:2..1,466(+)","PIR protein","no","null","PBANKA_0000101","null","PIR protein","2","2","1","null","null","forward","protein coding","No","1353","Not Assigned","PbANKA_00_v3_archived_contig_1:2..1466(+)","PbANKA_00_v3_archived_contig_1","40","OG6_100003","7"
"PBANKA_0000201","PBANKA_0000201.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_1:3,142..3,563(-)","fam-c protein, pseudogene","no","null","PBANKA_0000201","null","fam-c protein, pseudogene","3","3","1","null","null","reverse","protein coding","Yes","291","Not Assigned","PbANKA_00_v3_archived_contig_1:3142..3563(-)","PbANKA_00_v3_archived_contig_1","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0000301","PBANKA_0000301.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_1:5,519..6,295(-)","fam-b protein","no","null","PBANKA_0000301","Previous IDs: PBANKA_050030","fam-b protein","1","1","1","null","null","reverse","protein coding","No","777","Not Assigned","PbANKA_00_v3_archived_contig_1:5519..6295(-)","PbANKA_00_v3_archived_contig_1","4","OG6r1_103558","6"
"PBANKA_0000401","PBANKA_0000401.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_1:7,677..8,886(+)","tryptophan-rich antigen, putative, pseudogene","no","null","PBANKA_0000401","null","tryptophan-rich antigen, putative, pseudogene","4","4","1","null","null","forward","protein coding","Yes","969","Not Assigned","PbANKA_00_v3_archived_contig_1:7677..8886(+)","PbANKA_00_v3_archived_contig_1","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0000600","PBANKA_0000600.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_1:11,314..12,359(+)","PIR protein","no","null","PBANKA_0000600","Previous IDs: PB200100.00.0;PB500044.00.0;PBANKA_000060","PIR protein","3","3","1","null","null","forward","protein coding","No","843","Not Assigned","PbANKA_00_v3_archived_contig_1:11314..12359(+)","PbANKA_00_v3_archived_contig_1","7","OG6r1_102834","4"
"PBANKA_0000701","PBANKA_0000701.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_1:14,967..16,089(+)","PIR protein","no","null","PBANKA_0000701","null","PIR protein","3","3","1","null","null","forward","protein coding","No","927","Not Assigned","PbANKA_00_v3_archived_contig_1:14967..16089(+)","PbANKA_00_v3_archived_contig_1","27","OG6r1_100140","18"
"PBANKA_0000801","PBANKA_0000801.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_1:18,408..19,512(+)","PIR protein","no","null","PBANKA_0000801","null","PIR protein","3","3","1","null","null","forward","protein coding","No","888","Not Assigned","PbANKA_00_v3_archived_contig_1:18408..19512(+)","PbANKA_00_v3_archived_contig_1","32","OG6r1_100121","16"
"PBANKA_0000901","PBANKA_0000901.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_1:21,684..23,789(-)","fam-a protein","no","null","PBANKA_0000901","null","fam-a protein","6","6","1","null","null","reverse","protein coding","No","1209","Not Assigned","PbANKA_00_v3_archived_contig_1:21684..23789(-)","PbANKA_00_v3_archived_contig_1","19","OG6_122988","4"
"PBANKA_0001001","PBANKA_0001001.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_1:27,649..28,863(+)","PIR protein","no","null","PBANKA_0001001","null","PIR protein","3","3","1","null","null","forward","protein coding","No","990","Not Assigned","PbANKA_00_v3_archived_contig_1:27649..28863(+)","PbANKA_00_v3_archived_contig_1","23","OG6_106001","3"
"PBANKA_0001101","PBANKA_0001101.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_1:31,295..32,438(+)","PIR protein","no","null","PBANKA_0001101","null","PIR protein","3","3","1","null","null","forward","protein coding","No","948","Not Assigned","PbANKA_00_v3_archived_contig_1:31295..32438(+)","PbANKA_00_v3_archived_contig_1","27","OG6r1_100140","18"
"PBANKA_0001200","PBANKA_0001200.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_3:3,461..4,899(-)","fam-a protein, pseudogene","no","null","PBANKA_0001200","Previous IDs: PBANKA_000120","fam-a protein, pseudogene","6","6","1","null","null","reverse","protein coding","Yes","726","Not Assigned","PbANKA_00_v3_archived_contig_3:3461..4899(-)","PbANKA_00_v3_archived_contig_3","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0001201","PBANKA_0001201.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_1:34,779..35,894(+)","PIR protein","no","null","PBANKA_0001201","null","PIR protein","3","3","1","null","null","forward","protein coding","No","921","Not Assigned","PbANKA_00_v3_archived_contig_1:34779..35894(+)","PbANKA_00_v3_archived_contig_1","27","OG6r1_100140","18"
"PBANKA_0001301","PBANKA_0001301.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_1:38,189..39,385(+)","PIR protein","no","null","PBANKA_0001301","null","PIR protein","3","3","1","null","null","forward","protein coding","No","957","Not Assigned","PbANKA_00_v3_archived_contig_1:38189..39385(+)","PbANKA_00_v3_archived_contig_1","9","OG6r1_102835","2"
"PBANKA_0001401","PBANKA_0001401.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_1:41,897..43,091(+)","PIR protein","no","null","PBANKA_0001401","null","PIR protein","3","3","1","null","null","forward","protein coding","No","981","Not Assigned","PbANKA_00_v3_archived_contig_1:41897..43091(+)","PbANKA_00_v3_archived_contig_1","9","OG6r1_101312","6"
"PBANKA_0001501","PBANKA_0001501.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_1:45,928..47,041(+)","PIR protein","no","null","PBANKA_0001501","null","PIR protein","3","3","1","null","null","forward","protein coding","No","891","Not Assigned","PbANKA_00_v3_archived_contig_1:45928..47041(+)","PbANKA_00_v3_archived_contig_1","6","OG6r1_103559","4"
"PBANKA_0001601","PBANKA_0001601.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_1:48,795..50,417(-)","fam-a protein","no","null","PBANKA_0001601","Previous IDs: PB100045.00.0;PB100915.00.0;PB100916.00.0;PB103744.00.0;PB403108.00.0;PB403124.00.0;PBANKA_020020","fam-a protein","6","6","1","null","null","reverse","protein coding","No","978","Not Assigned","PbANKA_00_v3_archived_contig_1:48795..50417(-)","PbANKA_00_v3_archived_contig_1","2","OG6r1_107893","4"
"PBANKA_0006300","PBANKA_0006300.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_1:53,843..55,016(+)","PIR protein","no","null","PBANKA_0006300","Previous IDs: PBANKA_000630","PIR protein","3","3","1","null","null","forward","protein coding","No","957","Not Assigned","PbANKA_00_v3_archived_contig_1:53843..55016(+)","PbANKA_00_v3_archived_contig_1","3","OG6r1_118659","0"
"PBANKA_0006401","PBANKA_0006401.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_2:733..1,555(-)","PIR protein, pseudogene","no","null","PBANKA_0006401","null","PIR protein, pseudogene","4","4","1","null","null","reverse","protein coding","Yes","729","Not Assigned","PbANKA_00_v3_archived_contig_2:733..1555(-)","PbANKA_00_v3_archived_contig_2","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0006501","PBANKA_0006501.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_2:3,023..3,845(-)","PIR protein, pseudogene","no","null","PBANKA_0006501","null","PIR protein, pseudogene","4","4","1","null","null","reverse","protein coding","Yes","729","Not Assigned","PbANKA_00_v3_archived_contig_2:3023..3845(-)","PbANKA_00_v3_archived_contig_2","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0006600","PBANKA_0006600.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_2:5,313..6,135(-)","PIR protein, pseudogene","no","null","PBANKA_0006600","Previous IDs: PBANKA_000660","PIR protein, pseudogene","4","4","1","null","null","reverse","protein coding","Yes","729","Not Assigned","PbANKA_00_v3_archived_contig_2:5313..6135(-)","PbANKA_00_v3_archived_contig_2","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0006701","PBANKA_0006701.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_2:7,603..8,428(-)","PIR protein, pseudogene","no","null","PBANKA_0006701","null","PIR protein, pseudogene","4","4","1","null","null","reverse","protein coding","Yes","732","Not Assigned","PbANKA_00_v3_archived_contig_2:7603..8428(-)","PbANKA_00_v3_archived_contig_2","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0006800","PBANKA_0006800.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_2:9,893..10,715(-)","PIR protein, pseudogene","no","null","PBANKA_0006800","Previous IDs: PBANKA_000680","PIR protein, pseudogene","4","4","1","null","null","reverse","protein coding","Yes","729","Not Assigned","PbANKA_00_v3_archived_contig_2:9893..10715(-)","PbANKA_00_v3_archived_contig_2","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0006900","PBANKA_0006900.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_2:12,183..13,005(-)","PIR protein, pseudogene","no","null","PBANKA_0006900","Previous IDs: PBANKA_000690","PIR protein, pseudogene","4","4","1","null","null","reverse","protein coding","Yes","729","Not Assigned","PbANKA_00_v3_archived_contig_2:12183..13005(-)","PbANKA_00_v3_archived_contig_2","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0007000","PBANKA_0007000.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_2:14,473..15,292(-)","PIR protein, pseudogene","no","null","PBANKA_0007000","Previous IDs: PBANKA_000700","PIR protein, pseudogene","4","4","1","null","null","reverse","protein coding","Yes","726","Not Assigned","PbANKA_00_v3_archived_contig_2:14473..15292(-)","PbANKA_00_v3_archived_contig_2","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0007100","PBANKA_0007100.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_2:16,763..17,585(-)","PIR protein, pseudogene","no","null","PBANKA_0007100","Previous IDs: PBANKA_000710","PIR protein, pseudogene","4","4","1","null","null","reverse","protein coding","Yes","729","Not Assigned","PbANKA_00_v3_archived_contig_2:16763..17585(-)","PbANKA_00_v3_archived_contig_2","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0007200","PBANKA_0007200.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_2:19,053..19,875(-)","PIR protein, pseudogene","no","null","PBANKA_0007200","Previous IDs: PBANKA_000720","PIR protein, pseudogene","4","4","1","null","null","reverse","protein coding","Yes","729","Not Assigned","PbANKA_00_v3_archived_contig_2:19053..19875(-)","PbANKA_00_v3_archived_contig_2","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0007300","PBANKA_0007300.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_2:21,343..22,165(-)","PIR protein, pseudogene","no","null","PBANKA_0007300","Previous IDs: PBANKA_000730","PIR protein, pseudogene","4","4","1","null","null","reverse","protein coding","Yes","729","Not Assigned","PbANKA_00_v3_archived_contig_2:21343..22165(-)","PbANKA_00_v3_archived_contig_2","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0007401","PBANKA_0007401.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_2:23,498..24,711(-)","PIR protein","no","null","PBANKA_0007401","Previous IDs: PB200111.00.0;PB200113.00.0;PB402964.00.0;PB403011.00.0;PB406008.00.0;PB500038.00.0;PBANKA_020010","PIR protein","3","3","1","null","null","reverse","protein coding","No","999","Not Assigned","PbANKA_00_v3_archived_contig_2:23498..24711(-)","PbANKA_00_v3_archived_contig_2","9","OG6r1_101312","6"
"PBANKA_0007501","PBANKA_0007501.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_2:28,137..29,759(+)","fam-a protein","no","null","PBANKA_0007501","Previous IDs: PB100045.00.0;PB100915.00.0;PB100916.00.0;PB103744.00.0;PB403108.00.0;PB403124.00.0;PBANKA_020020","fam-a protein","6","6","1","null","null","forward","protein coding","No","978","Not Assigned","PbANKA_00_v3_archived_contig_2:28137..29759(+)","PbANKA_00_v3_archived_contig_2","2","OG6r1_107893","4"
"PBANKA_0007601","PBANKA_0007601.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_2:31,539..32,626(-)","PIR protein","no","null","PBANKA_0007601","null","PIR protein","3","3","1","null","null","reverse","protein coding","No","891","Not Assigned","PbANKA_00_v3_archived_contig_2:31539..32626(-)","PbANKA_00_v3_archived_contig_2","6","OG6r1_103559","4"
"PBANKA_0007701","PBANKA_0007701.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_3:1,120..2,672(+)","PIR protein, pseudogene","no","null","PBANKA_0007701","null","PIR protein, pseudogene","7","7","1","null","null","forward","protein coding","Yes","1458","Not Assigned","PbANKA_00_v3_archived_contig_3:1120..2672(+)","PbANKA_00_v3_archived_contig_3","0","N/A (gene is protein coding but not assigned ortholog group)","0"
"PBANKA_0007801","PBANKA_0007801.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_3:6,017..6,911(+)","fam-b protein","no","null","PBANKA_0007801","Previous IDs: PB103056.00.0;PBANKA_070040","fam-b protein","3","3","1","null","null","forward","protein coding","No","723","Not Assigned","PbANKA_00_v3_archived_contig_3:6017..6911(+)","PbANKA_00_v3_archived_contig_3","20","OG6r1_100246","13"
"PBANKA_0007901","PBANKA_0007901.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_3:9,729..10,923(+)","PIR protein","no","null","PBANKA_0007901","null","PIR protein","3","3","1","null","null","forward","protein coding","No","978","Not Assigned","PbANKA_00_v3_archived_contig_3:9729..10923(+)","PbANKA_00_v3_archived_contig_3","9","OG6r1_101312","6"
"PBANKA_0008001","PBANKA_0008001.1","Plasmodium berghei ANKA","PbANKA_00_v3_archived_contig_3:13,760..14,847(+)","PIR protein","no","null","PBANKA_0008001","null","PIR protein","3","3","1","null","null","forward","protein coding","No","891","Not Assigned","PbANKA_00_v3_archived_contig_3:13760..14847(+)","PbANKA_00_v3_archived_contig_3","6","OG6r1_103559","4"
