"experiment" "assembly" "num_uniq_mRNA_pirHMMerORFs_nomatch95known_over200aa" "num_transcripts" "num_ORFs_predict" "num_ORFs_over200aaLength" "num_ORFs_novel_nomatch95known" "num_uniq_mRNA_ORFs_predict" "num_uniq_mRNA_ORFs_over200aaLength" "num_uniq_mRNA_ORF_novel_nomatch95known" "knwn_trnscrpt_cvg_over75" "ancestral_over75" "knwn_trnscrpt_cvg_over95" "zhu16_trnscrpt_cvg_over95" "Sal1_trnscrpt_cvg_over95" "P01_trnscrpt_cvg_over95" "ancestral_over95" "mean_mismatches" "mean_gaps" "med_mismatches" "med_gaps" "assembly_file" "orf_file" "blast_file" "Cat.Sample.stage.s." "experiment_num" "expt_colour" "num_mRNA_pir_over200aa_over1TPM"
"1" "Kim17" "SRX2884276_SRR5646671_scspades_0.95cdhitest" 130 17999 230 136 188 224 135 186 95 2 21 3 11 7 "PVP01_1147700.1-p1" 4.61904761904762 0.333333333333333 4 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX2884276_SRR5646671/SRX2884276_SRR5646671_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/SRX2884276_SRR5646671_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/SRX2884276_SRR5646671/SRX2884276_SRR5646671_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E02" "#CC6677" 87
"2" "﻿Boonkaew20" "SRX6875287_SRR10149834_scspades_0.95cdhitest" 0 49653 0 0 0 0 0 0 0 0 0 0 0 0 "0" 0 0 0 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX6875287_SRR10149834/SRX6875287_SRR10149834_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/SRX6875287_SRR10149834_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/SRX6875287_SRR10149834/SRX6875287_SRR10149834_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Ookinete" "E08" "#999933" 0
"3" "﻿Boonkaew20" "SRX6875288_SRR10149833_scspades_0.95cdhitest" 0 43193 1 0 1 1 0 1 0 0 0 0 0 0 "0" NA NA NA NA "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX6875288_SRR10149833/SRX6875288_SRR10149833_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/SRX6875288_SRR10149833_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/SRX6875288_SRR10149833/SRX6875288_SRR10149833_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Ookinete" "E08" "#999933" 0
"4" "﻿Boonkaew20" "SRX6838396_SRR10106504_scspades_0.95cdhitest" 0 45561 0 0 0 0 0 0 0 0 0 0 0 0 "0" 0 0 0 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX6838396_SRR10106504/SRX6838396_SRR10106504_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/SRX6838396_SRR10106504_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/SRX6838396_SRR10106504/SRX6838396_SRR10106504_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Oocyst" "E08" "#999933" 0
"5" "﻿Boonkaew20" "SRX6838397_SRR10106503_scspades_0.95cdhitest" 0 36838 0 0 0 0 0 0 0 0 0 0 0 0 "0" 0 0 0 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX6838397_SRR10106503/SRX6838397_SRR10106503_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/SRX6838397_SRR10106503_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/SRX6838397_SRR10106503/SRX6838397_SRR10106503_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Oocyst" "E08" "#999933" 0
"6" "Siegal20" "ERX1787318_ERR1717084_Siegal20_scspades_0.95cdhitest" 194 17779 371 203 291 359 199 285 111 0 19 2 10 7 "0" 6.68421052631579 0.263157894736842 5 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX1787318_ERR1717084_Siegal20/ERX1787318_ERR1717084_Siegal20_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX1787318_ERR1717084_Siegal20_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX1787318_ERR1717084_Siegal20/ERX1787318_ERR1717084_Siegal20_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Schizont" "E09" "#882255" 191
"7" "Siegal20" "ERX1787319_ERR1717085_Siegal20_scspades_0.95cdhitest" 178 12649 334 187 264 320 184 254 135 0 26 8 8 10 "0" 6.42307692307692 0.153846153846154 4.5 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX1787319_ERR1717085_Siegal20/ERX1787319_ERR1717085_Siegal20_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX1787319_ERR1717085_Siegal20_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX1787319_ERR1717085_Siegal20/ERX1787319_ERR1717085_Siegal20_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Schizont" "E09" "#882255" 107
"8" "Siegal20" "ERX1787320_ERR1717086_Siegal20_scspades_0.95cdhitest" 156 12104 284 165 236 268 160 224 121 0 18 4 9 5 "0" 4.5 0.111111111111111 3 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX1787320_ERR1717086_Siegal20/ERX1787320_ERR1717086_Siegal20_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX1787320_ERR1717086_Siegal20_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX1787320_ERR1717086_Siegal20/ERX1787320_ERR1717086_Siegal20_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Schizont" "E09" "#882255" 108
"9" "Siegal20" "ERX1787321_ERR1717087_Siegal20_scspades_0.95cdhitest" 196 12920 336 207 275 326 200 266 142 0 26 8 11 7 "0" 6.88461538461539 0.230769230769231 2.5 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX1787321_ERR1717087_Siegal20/ERX1787321_ERR1717087_Siegal20_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX1787321_ERR1717087_Siegal20_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX1787321_ERR1717087_Siegal20/ERX1787321_ERR1717087_Siegal20_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Schizont" "E09" "#882255" 117
"10" "Cheng19" "ERX2560125_ERR2541707_Cheng19_scspades_0.95cdhitest" 1 41535 8 1 5 8 1 5 3 0 1 1 0 0 "0" 2 1 2 1 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/ERX2560125_ERR2541707_Cheng19/ERX2560125_ERR2541707_Cheng19_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/ERX2560125_ERR2541707_Cheng19_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/ERX2560125_ERR2541707_Cheng19/ERX2560125_ERR2541707_Cheng19_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E04" "#117733" 1
