"Name","SRX5158509_SRR8347518_TPM","SRX5158518_SRR8347509_TPM","pir","subfam"
"NODE_1_length_9173_cov_7.58829",0.117888,0,FALSE,"noCluster"
"NODE_2_length_5950_cov_13.0607",0,0,FALSE,"noCluster"
"NODE_3_length_5419_cov_1036.43",5729.331825,8015.360001,FALSE,"noCluster"
"NODE_4_length_5357_cov_17.9617",0,0,FALSE,"noCluster"
"NODE_5_length_5004_cov_5.14363",70.419492,24.978515,FALSE,"noCluster"
"NODE_6_length_3975_cov_9.64384",98.716421,11.207649,FALSE,"noCluster"
"NODE_7_length_3554_cov_165.275",1072.004815,151.437003,FALSE,"noCluster"
"NODE_8_length_3284_cov_26.618",414.083413,95.616772,TRUE,"unassigned_3"
"NODE_9_length_3273_cov_9.17006",31.175181,10.478573,FALSE,"noCluster"
"NODE_10_length_3226_cov_21.1027",407.671278,56.914994,FALSE,"noCluster"
"NODE_11_length_3183_cov_22.654",398.889258,89.78743,FALSE,"noCluster"
"NODE_12_length_3127_cov_20.9421",1775.420621,256.601064,FALSE,"noCluster"
"NODE_13_length_3070_cov_10.6641",148.48422,38.995011,FALSE,"noCluster"
"NODE_14_length_3044_cov_7.71837",70.476076,25.64003,FALSE,"noCluster"
"NODE_15_length_3029_cov_6.7767",0.371899,0,FALSE,"noCluster"
"NODE_16_length_2991_cov_6.1545",0,0,FALSE,"noCluster"
"NODE_17_length_2954_cov_14.0103",263.160283,63.441112,FALSE,"noCluster"
"NODE_18_length_2874_cov_13.3967",0.393277,0,FALSE,"noCluster"
"NODE_19_length_2873_cov_5.04472",120.584104,31.103373,TRUE,"C_2"
"NODE_20_length_2797_cov_18.5384",0,0,TRUE,"noCluster"
"NODE_21_length_2767_cov_5.47842",138.829852,47.607514,FALSE,"noCluster"
"NODE_22_length_2741_cov_14.4125",0.413681,0,FALSE,"noCluster"
"NODE_23_length_2728_cov_10.7826",0.207895,0,FALSE,"noCluster"
"NODE_24_length_2723_cov_9.0829",163.93466,56.519802,FALSE,"noCluster"
"NODE_25_length_2714_cov_7.35435",40.971023,4.051717,FALSE,"noCluster"
"NODE_26_length_2683_cov_38.0468",454.367081,108.72378,FALSE,"noCluster"
"NODE_27_length_2657_cov_25.1879",399.25418,85.00566,TRUE,"unassigned_3"
"NODE_28_length_2643_cov_3.79004",104.471566,27.108968,FALSE,"noCluster"
"NODE_29_length_2630_cov_5.84867",40.646031,4.891996,FALSE,"noCluster"
"NODE_30_length_2614_cov_24.9833",544.490406,151.2598,FALSE,"noCluster"
"NODE_31_length_2603_cov_3.19339",31.916917,4.240717,FALSE,"noCluster"
"NODE_32_length_2594_cov_18.6751",418.440076,95.068911,FALSE,"noCluster"
"NODE_33_length_2568_cov_8.93728",0,0,FALSE,"noCluster"
"NODE_34_length_2562_cov_5.22736",122.969453,26.609567,FALSE,"noCluster"
"NODE_35_length_2558_cov_14.6594",0.222742,0,FALSE,"noCluster"
"NODE_36_length_2553_cov_6.30833",133.703028,52.702783,FALSE,"noCluster"
"NODE_37_length_2500_cov_11.5845",5.935908,0,FALSE,"noCluster"
"NODE_38_length_2465_cov_111.09",2.086176,0,FALSE,"noCluster"
"NODE_39_length_2427_cov_6.6249",58.928274,9.922081,FALSE,"noCluster"
"NODE_40_length_2415_cov_58.8119",732.067152,158.113912,FALSE,"noCluster"
"NODE_41_length_2400_cov_3.56485",0,0,FALSE,"noCluster"
"NODE_42_length_2391_cov_11.9945",281.946509,90.781837,FALSE,"noCluster"
"NODE_43_length_2381_cov_17.1273",137.642572,16.369696,FALSE,"noCluster"
"NODE_44_length_2365_cov_5.60892",160.949585,15.706663,FALSE,"noCluster"
"NODE_45_length_2326_cov_6.80157",103.900268,19.997499,FALSE,"noCluster"
"NODE_46_length_2323_cov_8.79563",0,0,FALSE,"noCluster"
"NODE_47_length_2316_cov_15.8029",135.952902,18.485618,FALSE,"noCluster"
"NODE_48_length_2312_cov_12.2786",0,0,FALSE,"noCluster"
"NODE_49_length_2285_cov_9.42806",325.265649,78.317574,FALSE,"noCluster"
"NODE_50_length_2268_cov_28.0971",4.05826,2.467774,FALSE,"noCluster"
"NODE_51_length_2259_cov_22.6456",0.764214,0,FALSE,"noCluster"
"NODE_52_length_2259_cov_3.42543",0,0,FALSE,"noCluster"
"NODE_53_length_2255_cov_8.95905",69.677365,23.179938,FALSE,"noCluster"
"NODE_54_length_2248_cov_3.54718",0.768274,0,FALSE,"noCluster"
"NODE_55_length_2242_cov_4.12766",0,0,FALSE,"noCluster"
"NODE_56_length_2236_cov_23.8879",0,0,FALSE,"noCluster"
"NODE_57_length_2218_cov_14.6146",355.756905,108.584387,FALSE,"noCluster"
"NODE_58_length_2171_cov_20.4869",523.607698,208.98166,FALSE,"noCluster"
"NODE_59_length_2164_cov_69.9104",1027.643542,253.935944,FALSE,"noCluster"
"NODE_60_length_2164_cov_5.00375",68.865463,12.133458,FALSE,"noCluster"
"NODE_61_length_2161_cov_17.5085",0,0,FALSE,"noCluster"
"NODE_62_length_2144_cov_26.145",0,0,FALSE,"noCluster"
"NODE_63_length_2144_cov_6.28754",72.801479,21.892517,FALSE,"noCluster"
"NODE_64_length_2122_cov_16.4773",0.272686,0,FALSE,"noCluster"
"NODE_65_length_2102_cov_7.33494",31.409241,12.533905,FALSE,"noCluster"
"NODE_66_length_2098_cov_20.6736",204.375753,56.522926,FALSE,"noCluster"
"NODE_67_length_2083_cov_4.54732",63.166595,17.1841,FALSE,"noCluster"
"NODE_68_length_2072_cov_4.91761",2.798827,0,FALSE,"noCluster"
"NODE_69_length_2044_cov_123.969",0.568163,0,FALSE,"noCluster"
"NODE_70_length_2044_cov_4.61909",0,0,FALSE,"noCluster"
"NODE_71_length_1993_cov_17.9541",299.147569,96.943336,FALSE,"noCluster"
"NODE_72_length_1993_cov_25.2051",2.044432,0,FALSE,"noCluster"
"NODE_73_length_1989_cov_3.32209",1.170826,0,FALSE,"noCluster"
"NODE_74_length_1980_cov_8.07396",5.589194,1.914917,FALSE,"noCluster"
"NODE_75_length_1964_cov_5.9565",0,0,FALSE,"noCluster"
"NODE_76_length_1957_cov_22.2225",214.990103,59.202117,FALSE,"noCluster"
"NODE_77_length_1947_cov_12.4431",0,0,FALSE,"noCluster"
"NODE_78_length_1937_cov_3.62132",54.847034,15.703756,FALSE,"noCluster"
"NODE_79_length_1929_cov_4.90823",0,0,FALSE,"noCluster"
"NODE_80_length_1893_cov_7.33817",0,0,FALSE,"noCluster"
"NODE_81_length_1882_cov_107.705",39.196272,0,FALSE,"noCluster"
"NODE_82_length_1863_cov_12.4448",96.893191,32.825039,FALSE,"noCluster"
"NODE_83_length_1858_cov_7.51233",1.262097,0,FALSE,"noCluster"
"NODE_84_length_1854_cov_4.17957",176.166356,27.848995,FALSE,"noCluster"
"NODE_85_length_1852_cov_61.2567",408.049861,179.685663,FALSE,"noCluster"
"NODE_86_length_1851_cov_5.79648",67.17095,21.700254,FALSE,"noCluster"
