"Gene ID","source_id","# Exons in Gene","# Exons in Transcript","# Transcripts","Annotated 3' UTR length","Annotated 5' UTR length","Gene Strand","Gene Type","Is Pseudo","Transcript Length","Deprecated?","Gene Name or Symbol","Previous ID(s)","Product Description","Transcript Product Description","Chromosome","Genomic Location (Gene)","Genomic Location (Transcript)","Genomic Sequence ID","Ortholog count","Paralog count","Protein Length","CDS Length","Molecular Weight","Isoelectric Point","Interpro ID","Interpro Description","PFam ID","PFam Description","PirSF ID","PirSF Description","Prositefamilies ID","Prositefamilies Description","Smart ID","Smart Description","Superfamily ID","Superfamily Description","TigrFam ID","TigrFam Description","GeneDB Updated Product Name"
"PVP01_0000010","PVP01_0000010.1","3","3","1","N/A","N/A","forward","protein coding gene","No","468","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:53..669(+)","Transfer.PvP01_00_1.final:53..669(+)","Transfer.PvP01_00_1.final","0","0","155","468","17632","10.87","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000050","PVP01_0000050.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1938","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:14,215..16,428(-)","Transfer.PvP01_00_1.final:14215..16428(-)","Transfer.PvP01_00_1.final","68","1","645","1938","70580","8.66","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000080","PVP01_0000080.1","4","4","1","N/A","N/A","forward","pseudogene","Yes","1035","No","N/A","N/A","PIR protein, pseudogene","PIR protein, pseudogene","Not Assigned","Transfer.PvP01_00_1.final:25,135..26,442(+)","Transfer.PvP01_00_1.final:25135..26442(+)","Transfer.PvP01_00_1.final","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000230","PVP01_0000230.1","4","4","1","N/A","N/A","forward","protein coding gene","No","987","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:105,795..107,040(+)","Transfer.PvP01_00_1.final:105795..107040(+)","Transfer.PvP01_00_1.final","0","0","328","987","38268","6.18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000240","PVP01_0000240.1","3","3","1","N/A","N/A","forward","protein coding gene","No","1668","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:109,274..111,206(+)","Transfer.PvP01_00_1.final:109274..111206(+)","Transfer.PvP01_00_1.final","43","4","555","1668","64797","8.5","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000250","PVP01_0000250.1","2","2","1","N/A","N/A","forward","protein coding gene","No","927","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:112,995..114,102(+)","Transfer.PvP01_00_1.final:112995..114102(+)","Transfer.PvP01_00_1.final","0","0","308","927","37045","8.44","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000260","PVP01_0000260.1","2","2","1","N/A","N/A","reverse","protein coding gene","No","702","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:115,469..116,297(-)","Transfer.PvP01_00_1.final:115469..116297(-)","Transfer.PvP01_00_1.final","0","0","233","702","28014","7.78","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000270","PVP01_0000270.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","1107","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:117,436..118,813(-)","Transfer.PvP01_00_1.final:117436..118813(-)","Transfer.PvP01_00_1.final","57","1","368","1107","42858","5.2","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000280","PVP01_0000280.1","3","3","1","N/A","N/A","reverse","protein coding gene","No","975","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:122,028..123,299(-)","Transfer.PvP01_00_1.final:122028..123299(-)","Transfer.PvP01_00_1.final","39","4","324","975","38493","8.62","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PVP01_0000290","PVP01_0000290.1","3","3","1","N/A","N/A","forward","protein coding gene","No","1116","No","N/A","N/A","PIR protein","PIR protein","Not Assigned","Transfer.PvP01_00_1.final:132,037..133,412(+)","Transfer.PvP01_00_1.final:132037..133412(+)","Transfer.PvP01_00_1.final","54","5","371","1116","42947","5.08","IPR008780","Plasmodium vivax Vir","PF05795","Plasmodium vivax Vir","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
