"Name","SRX2600367_SRR5298180_TPM","SRX2600368_SRR5298181_TPM","pir","subfam"
"NODE_1_length_18394_cov_140.956",4.402748,4.942562,FALSE,"noCluster"
"NODE_2_length_16098_cov_140.403",4.295303,4.876702,FALSE,"noCluster"
"NODE_3_length_15066_cov_187.376",5.791861,6.564142,TRUE,"B_2"
"NODE_4_length_14632_cov_108.603",3.341165,3.797832,FALSE,"noCluster"
"NODE_5_length_14514_cov_524.704",16.081605,18.288715,FALSE,"noCluster"
"NODE_6_length_13829_cov_115.971",3.607288,4.071795,FALSE,"noCluster"
"NODE_7_length_13312_cov_243.866",7.505578,8.471633,FALSE,"noCluster"
"NODE_8_length_13290_cov_137.353",4.24346,4.804527,FALSE,"noCluster"
"NODE_9_length_13054_cov_67.2142",2.084893,2.349546,FALSE,"noCluster"
"NODE_10_length_12749_cov_122.329",3.817462,4.292931,FALSE,"noCluster"
"NODE_11_length_12219_cov_50.5256",1.569719,1.748167,FALSE,"noCluster"
"NODE_12_length_12010_cov_162.927",5.030732,5.664631,FALSE,"noCluster"
"NODE_13_length_12001_cov_35.1925",1.102888,1.238936,FALSE,"noCluster"
"NODE_14_length_11422_cov_178.828",5.594805,6.188781,FALSE,"noCluster"
"NODE_15_length_11129_cov_63.5577",1.95521,2.2354,FALSE,"noCluster"
"NODE_16_length_11071_cov_119.007",3.625895,4.151298,FALSE,"noCluster"
"NODE_17_length_11013_cov_133.534",4.146521,4.638054,FALSE,"noCluster"
"NODE_18_length_10860_cov_73.7646",2.278559,2.580326,FALSE,"noCluster"
"NODE_19_length_10832_cov_219.742",6.812037,7.732573,FALSE,"noCluster"
"NODE_20_length_10201_cov_27.9721",0.86977,0.982508,FALSE,"noCluster"
"NODE_21_length_10172_cov_43.8482",1.377804,1.536738,FALSE,"noCluster"
"NODE_22_length_10141_cov_122.735",3.837204,4.343258,FALSE,"noCluster"
"NODE_23_length_10134_cov_138.35",4.321565,4.841775,FALSE,"noCluster"
"NODE_24_length_9971_cov_64.2689",2.019253,2.277526,FALSE,"noCluster"
"NODE_25_length_9949_cov_69.4393",2.157638,2.456616,FALSE,"noCluster"
"NODE_26_length_9880_cov_475.886",14.762075,17.050243,FALSE,"noCluster"
"NODE_27_length_9850_cov_60.0628",1.881332,2.115911,FALSE,"noCluster"
"NODE_28_length_9811_cov_51.8375",1.616764,1.812316,FALSE,"noCluster"
"NODE_29_length_9649_cov_25.8695",0.808974,0.900457,FALSE,"noCluster"
"NODE_30_length_9575_cov_42.228",1.299907,1.478735,FALSE,"noCluster"
"NODE_31_length_9153_cov_117.191",3.69426,4.170483,FALSE,"noCluster"
"NODE_32_length_9093_cov_284.823",8.783846,9.880213,FALSE,"noCluster"
"NODE_33_length_9086_cov_221.798",6.914447,7.82372,FALSE,"noCluster"
"NODE_34_length_9036_cov_38.071",1.182367,1.334788,FALSE,"noCluster"
"NODE_35_length_9029_cov_86.4929",2.703466,3.055311,FALSE,"noCluster"
"NODE_36_length_9019_cov_111.178",3.526629,3.901259,FALSE,"noCluster"
"NODE_37_length_8979_cov_235.839",7.389759,8.383111,FALSE,"noCluster"
"NODE_38_length_8968_cov_292.147",9.065054,10.29751,FALSE,"noCluster"
"NODE_39_length_8897_cov_81.0974",2.516538,2.869156,FALSE,"noCluster"
"NODE_40_length_8783_cov_60.6888",1.877262,2.137265,FALSE,"noCluster"
"NODE_41_length_8739_cov_149.029",4.591864,5.297438,FALSE,"noCluster"
"NODE_42_length_8708_cov_151.023",4.727483,5.339281,FALSE,"noCluster"
"NODE_43_length_8701_cov_230.609",7.216613,8.128754,FALSE,"noCluster"
"NODE_44_length_8670_cov_102.177",3.216896,3.615355,FALSE,"noCluster"
"NODE_45_length_8651_cov_90.9399",2.908794,3.256995,FALSE,"noCluster"
"NODE_46_length_8643_cov_80.4467",2.515674,2.841058,FALSE,"noCluster"
"NODE_47_length_8587_cov_109.254",3.425509,3.855196,FALSE,"noCluster"
"NODE_48_length_8529_cov_96.063",3.012229,3.36886,FALSE,"noCluster"
"NODE_49_length_8480_cov_57.6877",1.802141,2.035054,FALSE,"noCluster"
