"Id" "label" "source" "subfam" "expt" "I1.2" "I1.4" "I1.8" "I2.5" "I2" "I3" "I4" "I6"
"1" 1 "ERX1787318_ERR1717084_Siegal20_NODE_2267_length_2527_cov_4.03398_2" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 32 35 37 36 37 36
"2" 2 "ERX1787318_ERR1717084_Siegal20_NODE_1935_length_3284_cov_13.004_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 7 6 7 6 6 5
"3" 3 "ERX1787318_ERR1717084_Siegal20_NODE_2393_length_2291_cov_5.02862_2" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"4" 4 "ERX1787318_ERR1717084_Siegal20_NODE_2377_length_2308_cov_10.1864_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"5" 5 "ERX1787318_ERR1717084_Siegal20_NODE_3282_length_1358_cov_4.46048_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"6" 6 "ERX1787318_ERR1717084_Siegal20_NODE_2596_length_1978_cov_11.3068_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 7 6 7 6 6 5
"7" 7 "ERX1787318_ERR1717084_Siegal20_NODE_1569_length_4422_cov_26.9354_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"8" 8 "ERX1787318_ERR1717084_Siegal20_NODE_2925_length_1611_cov_29.1125_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"9" 9 "ERX1787318_ERR1717084_Siegal20_NODE_3208_length_1409_cov_19.4247_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"10" 10 "ERX1787318_ERR1717084_Siegal20_NODE_2712_length_1850_cov_12.6797_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"11" 11 "ERX1787318_ERR1717084_Siegal20_NODE_2863_length_1669_cov_18.7689_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 7 6 7 6 6 5
"12" 12 "ERX1787318_ERR1717084_Siegal20_NODE_2519_length_2106_cov_17.5349_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"13" 13 "ERX1787318_ERR1717084_Siegal20_NODE_2123_length_2850_cov_23.1792_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 18
"14" 14 "ERX1787318_ERR1717084_Siegal20_NODE_3268_length_1369_cov_5.74886_2" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"15" 15 "ERX1787318_ERR1717084_Siegal20_NODE_2333_length_2385_cov_11.2206_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"16" 16 "ERX1787318_ERR1717084_Siegal20_NODE_2368_length_2322_cov_13.9519_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 4 5 5 6 5 5 3
"17" 17 "ERX1787318_ERR1717084_Siegal20_NODE_2593_length_1984_cov_5.79523_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 4 5 5 6 5 5 3
"18" 18 "ERX1787318_ERR1717084_Siegal20_NODE_1316_length_5258_cov_17.5418_2" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 2 2 2 2 86
"19" 19 "ERX1787318_ERR1717084_Siegal20_NODE_2309_length_2431_cov_9.9112_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 4 5 5 6 5 5 3
"20" 20 "ERX1787318_ERR1717084_Siegal20_NODE_3247_length_1383_cov_11.1589_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"21" 21 "ERX1787318_ERR1717084_Siegal20_NODE_3715_length_1128_cov_2.30475_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 7 6 7 6 6 5
"22" 22 "ERX1787318_ERR1717084_Siegal20_NODE_2126_length_2845_cov_9.42007_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 7 6 7 39 39 38
"23" 23 "ERX1787318_ERR1717084_Siegal20_NODE_2706_length_1853_cov_16.505_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 7 6 7 6 6 5
"24" 24 "ERX1787318_ERR1717084_Siegal20_NODE_2512_length_2113_cov_21.1254_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 3 4 5 5 6 5 5 3
"25" 25 "ERX1787318_ERR1717084_Siegal20_NODE_3481_length_1250_cov_4.83933_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"26" 26 "ERX1787318_ERR1717084_Siegal20_NODE_2909_length_1627_cov_8.39567_2" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 2 2 2 2 4
"27" 27 "ERX1787318_ERR1717084_Siegal20_NODE_1700_length_3977_cov_21.6889_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"28" 28 "ERX1787318_ERR1717084_Siegal20_NODE_2391_length_2293_cov_5.19437_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"29" 29 "ERX1787318_ERR1717084_Siegal20_NODE_2824_length_1707_cov_7.3523_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 51 2 54 54 53
"30" 30 "ERX1787318_ERR1717084_Siegal20_NODE_1985_length_3170_cov_7.5634_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 56 2 48 38 58
"31" 31 "ERX1787318_ERR1717084_Siegal20_NODE_1994_length_3157_cov_4.36912_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 7 6 7 49 47 46
"32" 32 "ERX1787318_ERR1717084_Siegal20_NODE_2903_length_1632_cov_11.5276_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 1 1 1 1 1 1
"33" 33 "ERX1787318_ERR1717084_Siegal20_NODE_3230_length_1396_cov_6.31022_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 7 6 7 6 6 5
"34" 34 "ERX1787318_ERR1717084_Siegal20_NODE_1832_length_3550_cov_5.5525_1" "ERX1787318_ERR1717084_Siegal20" "assembled" "Siegal20" 1 1 2 19 2 27 55 55
