"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Transcript Length"
"PCOAH_00000020","PCOAH_00000020-t30_1","P. coatneyi Hackeri","CP016239:4,694..5,837(-)","KIR protein","891"
"PCOAH_00000030","PCOAH_00000030-t30_1","P. coatneyi Hackeri","CP016239:13,903..15,999(+)","SICA antigen","1626"
"PCOAH_00000040","PCOAH_00000040-t30_1","P. coatneyi Hackeri","CP016239:16,546..18,409(-)","KIR protein","1056"
"PCOAH_00000050","PCOAH_00000050-t30_1","P. coatneyi Hackeri","CP016239:25,909..27,236(-)","KIR protein","1113"
"PCOAH_00000060","PCOAH_00000060-t30_1","P. coatneyi Hackeri","CP016239:29,769..31,559(-)","KIR protein","1539"
"PCOAH_00000070","PCOAH_00000070-t30_1","P. coatneyi Hackeri","CP016239:33,952..35,999(-)","Ubiquitin carboxyl-terminal hydrolase","1410"
"PCOAH_00000080","PCOAH_00000080-t30_1","P. coatneyi Hackeri","CP016239:37,797..40,399(-)","SICA-like antigen","2337"
"PCOAH_00000090","PCOAH_00000090-t30_1","P. coatneyi Hackeri","CP016239:43,936..44,833(-)","KIR-like protein","759"
"PCOAH_00000100","PCOAH_00000100-t30_1","P. coatneyi Hackeri","CP016239:48,417..50,088(-)","Uncharacterized protein","1209"
"PCOAH_00000110","PCOAH_00000110-t30_1","P. coatneyi Hackeri","CP016239:52,842..53,744(+)","Uncharacterized protein","683"
"PCOAH_00000120","PCOAH_00000120-t30_1","P. coatneyi Hackeri","CP016239:55,364..56,765(+)","Uncharacterized protein","1176"
"PCOAH_00000130","PCOAH_00000130-t30_1","P. coatneyi Hackeri","CP016239:59,734..60,765(+)","Uncharacterized protein","1032"
"PCOAH_00000140","PCOAH_00000140-t30_1","P. coatneyi Hackeri","CP016239:70,544..70,888(+)","Uncharacterized protein","345"
"PCOAH_00000150","PCOAH_00000150-t30_1","P. coatneyi Hackeri","CP016239:74,180..74,678(-)","Uncharacterized protein","312"
