# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	1668	3171	+							PVVCY_0100010	1504		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	1668	3171	+	VEV54390.1			fam-a protein			PVVCY_0100010	789	262	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	4130	5305	-							PVVCY_0100020	1176		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	4130	5305	-	VEV54391.1			PIR protein CIR protein			PVVCY_0100020	942	313	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	6940	8135	-							PVVCY_0100030	1196		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	6940	8135	-	VEV54392.1			PIR protein CIR protein			PVVCY_0100030	954	317	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	10216	11806	-							PVVCY_0100040	1591		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	10216	11806	-	VEV54393.1			PIR protein CIR protein			PVVCY_0100040	1461	486	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	14218	16590	-							PVVCY_0100050	2373		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	14218	16590	-	VEV54394.1			CIR protein PIR protein			PVVCY_0100050	2181	726	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	20429	22097	+							PVVCY_0100060	1669		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	20429	22097	+	VEV54395.1			fam-a protein			PVVCY_0100060	1017	338	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	22802	23704	-							PVVCY_0100070	903		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	22802	23704	-	VEV54396.1			fam-b protein			PVVCY_0100070	747	248	
gene	protein_coding	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	24794	27052	-							PVVCY_0100080	2259		
CDS	with_protein	GCA_900681995.1	Primary Assembly	chromosome	PVVCY_01	LR215057.1	24794	27052	-	VEV54397.1			CIR protein PIR protein			PVVCY_0100080	2046	681	
