"Name","SRX2600365_SRR5298178_TPM","SRX2600366_SRR5298179_TPM","pir","subfam"
"NODE_1_length_9008_cov_71.6462",46.053313,56.780489,FALSE,"none"
"NODE_2_length_7023_cov_47.9887",31.359928,38.757051,FALSE,"none"
"NODE_3_length_6460_cov_37.1222",24.288758,29.853,FALSE,"none"
"NODE_4_length_5780_cov_82.382",54.529315,67.795275,FALSE,"none"
"NODE_5_length_5698_cov_167.186",109.589172,135.285025,FALSE,"none"
"NODE_6_length_5518_cov_57.3593",38.684973,47.217981,FALSE,"none"
"NODE_7_length_5407_cov_144.594",96.844693,118.192012,FALSE,"none"
"NODE_8_length_5291_cov_59.8105",39.46723,48.869108,FALSE,"none"
"NODE_9_length_5011_cov_49.1303",31.499381,40.580293,FALSE,"none"
"NODE_10_length_4802_cov_65.8252",43.353319,53.111598,FALSE,"none"
"NODE_11_length_4745_cov_46.3354",30.876084,37.958675,FALSE,"none"
"NODE_12_length_4716_cov_63.7857",42.11861,52.322091,FALSE,"none"
"NODE_13_length_4625_cov_41.8151",29.508155,35.601634,FALSE,"none"
"NODE_14_length_4609_cov_51.8931",34.123915,42.091452,FALSE,"none"
"NODE_15_length_4155_cov_47.1924",30.616501,39.121596,FALSE,"none"
"NODE_16_length_4037_cov_53.3438",35.499084,44.174694,FALSE,"none"
"NODE_17_length_4023_cov_190.864",126.545073,157.624856,FALSE,"none"
"NODE_18_length_3963_cov_52.6676",34.833476,43.305655,FALSE,"none"
"NODE_19_length_3879_cov_68.1904",47.470389,57.067308,FALSE,"none"
"NODE_20_length_3851_cov_121.501",81.438098,100.205417,FALSE,"none"
"NODE_21_length_3794_cov_43.4464",29.049261,35.608532,FALSE,"none"
"NODE_22_length_3787_cov_59.8521",40.301008,49.261184,FALSE,"none"
"NODE_23_length_3785_cov_88.3879",58.693418,72.616849,FALSE,"none"
"NODE_24_length_3742_cov_305.759",203.316254,253.140598,FALSE,"none"
"NODE_25_length_3686_cov_51.0058",34.049138,42.110657,FALSE,"none"
"NODE_26_length_3624_cov_46.3048",31.069625,38.46309,FALSE,"none"
"NODE_27_length_3621_cov_52.4307",36.076731,44.350231,FALSE,"none"
"NODE_28_length_3566_cov_33.1979",23.494008,28.775741,FALSE,"none"
"NODE_29_length_3504_cov_53.6573",35.761294,45.154933,FALSE,"none"
"NODE_30_length_3495_cov_43.6279",29.814822,36.780771,FALSE,"none"
"NODE_31_length_3494_cov_68.5478",45.365586,57.244068,FALSE,"none"
"NODE_32_length_3474_cov_67.2469",45.119887,55.325812,FALSE,"none"
"NODE_33_length_3465_cov_50.1616",33.923054,41.651034,FALSE,"none"
"NODE_34_length_3401_cov_813.805",546.961474,678.177293,FALSE,"none"
"NODE_35_length_3373_cov_88.1094",60.449789,74.177316,FALSE,"none"
"NODE_36_length_3346_cov_142.703",95.89664,119.366439,FALSE,"none"
"NODE_37_length_3284_cov_26.197",18.042193,22.840715,FALSE,"none"
"NODE_38_length_3281_cov_92.1882",63.967597,77.311265,FALSE,"none"
"NODE_39_length_3254_cov_64.4714",44.216056,54.509479,FALSE,"none"
"NODE_40_length_3240_cov_48.205",33.749659,40.149942,FALSE,"none"
"NODE_41_length_3233_cov_65.6721",44.047577,54.811707,FALSE,"none"
"NODE_42_length_3180_cov_29.9942",20.331063,24.552451,FALSE,"none"
"NODE_43_length_3154_cov_36.3385",24.753284,30.980294,FALSE,"none"
"NODE_44_length_3146_cov_166.303",114.194063,142.723106,FALSE,"none"
"NODE_45_length_3047_cov_65.6935",44.620967,54.780624,FALSE,"none"
"NODE_46_length_3026_cov_36.2137",25.207272,30.732032,FALSE,"none"
"NODE_47_length_3023_cov_36.8753",25.170032,31.078445,FALSE,"none"
"NODE_48_length_3015_cov_78.2382",52.922657,66.834219,FALSE,"none"
"NODE_49_length_2982_cov_47.7185",33.088778,40.000038,FALSE,"none"
"NODE_50_length_2959_cov_29.697",20.250747,24.785931,FALSE,"none"
"NODE_51_length_2949_cov_68.8556",48.037371,57.914742,FALSE,"none"
"NODE_52_length_2948_cov_239.986",162.730165,199.726747,FALSE,"none"
"NODE_53_length_2947_cov_56.3098",38.293861,46.971799,FALSE,"none"
"NODE_54_length_2934_cov_42.9538",28.337411,35.797446,FALSE,"none"
"NODE_55_length_2930_cov_73.367",50.596198,61.462346,FALSE,"none"
"NODE_56_length_2929_cov_78.7526",53.286065,66.34758,FALSE,"none"
"NODE_57_length_2921_cov_85.0726",57.743195,73.620989,FALSE,"none"
"NODE_58_length_2898_cov_32.5111",21.922001,27.167176,FALSE,"none"
"NODE_59_length_2894_cov_55.4657",38.035323,46.61273,FALSE,"none"
"NODE_60_length_2892_cov_48.797",32.636058,40.823588,FALSE,"none"
"NODE_61_length_2868_cov_75.9467",53.992388,66.619744,FALSE,"none"
