Geneid	clade	SorL
PBANKA_0000101	L1	L
PBANKA_0000600	S8	S
PBANKA_0000701	S4	S
PBANKA_0000801	S1	S
PBANKA_0001001	S1	S
PBANKA_0001101	S4	S
PBANKA_0001201	S4	S
PBANKA_0001301	S5	S
PBANKA_0001401	S2	S
PBANKA_0001501	S4	S
PBANKA_0006300	S2	S
PBANKA_0007401	S2	S
PBANKA_0007601	S4	S
PBANKA_0007901	S2	S
PBANKA_0008001	S4	S
PBANKA_0008201	S2	S
PBANKA_0100500	ancestral	ancestral
PBANKA_0112681	S1	S
PBANKA_0215700	S1	S
PBANKA_0216000	L2	L
PBANKA_0216061	S8	S
PBANKA_0300100	L2	L
PBANKA_0300200	S1	S
PBANKA_0300300	S4	S
PBANKA_0316861	S4	S
PBANKA_0316900	S2	S
PBANKA_0316941	S8	S
PBANKA_0317001	S1	S
PBANKA_0317041	S1	S
PBANKA_0317101	S1	S
PBANKA_0317181	L1	L
PBANKA_0400100	L1	L
PBANKA_0400500	L1	L
PBANKA_0400600	S4	S
PBANKA_0500200	S8	S
PBANKA_0500781	L2	L
PBANKA_0500971	S4	S
PBANKA_0600011	S2	S
PBANKA_0600031	L1	L
PBANKA_0600041	L3	L
PBANKA_0600051	S1	S
PBANKA_0600081	S1	S
PBANKA_0600086	S1	S
PBANKA_0600100	S1	S
PBANKA_0600200	S4	S
PBANKA_0600300	S1	S
PBANKA_0623600	S1	S
PBANKA_0623700	L2	L
PBANKA_0700031	S2	S
PBANKA_0700041	S5	S
PBANKA_0700051	S4	S
PBANKA_0700061	S4	S
PBANKA_0700071	S1	S
PBANKA_0700081	S4	S
PBANKA_0700100	S1	S
PBANKA_0700200	S1	S
PBANKA_0700300	S1	S
PBANKA_0700541	S1	S
PBANKA_0722921	L3	L
PBANKA_0722961	S4	S
PBANKA_0800061	S1	S
PBANKA_0800100	S4	S
PBANKA_0836900	S1	S
PBANKA_0836921	S5	S
PBANKA_0836961	S1	S
PBANKA_0836981	L3	L
PBANKA_0837001	S1	S
PBANKA_0837081	S8	S
PBANKA_0837101	S1	S
PBANKA_0837121	S1	S
PBANKA_0837141	S1	S
PBANKA_0837161	S4	S
PBANKA_0837181	S1	S
PBANKA_0900600	S4	S
PBANKA_0943900	L1	L
PBANKA_0944000	S1	S
PBANKA_0944061	S4	S
PBANKA_0944081	S1	S
PBANKA_0944101	S4	S
PBANKA_1000031	S8	S
PBANKA_1000081	L2	L
PBANKA_1040200	S1	S
PBANKA_1040400	S1	S
PBANKA_1040541	S4	S
PBANKA_1040561	L2	L
PBANKA_1040581	L1	L
PBANKA_1100351	S1	S
PBANKA_1100400	S1	S
PBANKA_1100461	S1	S
PBANKA_1100781	S1	S
PBANKA_1146261	L1	L
PBANKA_1146700	S1	S
PBANKA_1146721	S1	S
PBANKA_1146761	L1	L
PBANKA_1200021	S4	S
PBANKA_1200031	S2	S
PBANKA_1200061	L2	L
PBANKA_1200081	S1	S
PBANKA_1200300	S1	S
PBANKA_1200400	S1	S
PBANKA_1246121	S1	S
PBANKA_1246300	S1	S
PBANKA_1246400	S4	S
PBANKA_1246500	S1	S
PBANKA_1246700	S4	S
PBANKA_1246800	S1	S
PBANKA_1246921	L3	L
PBANKA_1300021	S4	S
PBANKA_1300061	L3	L
PBANKA_1300091	S1	S
PBANKA_1300100	S1	S
PBANKA_1300200	S6	S
PBANKA_1365700	S1	S
PBANKA_1400021	S8	S
PBANKA_1400051	L1	L
PBANKA_1400061	L2	L
PBANKA_1400071	S1	S
PBANKA_1400081	S1	S
PBANKA_1400086	S4	S
PBANKA_1400100	S1	S
PBANKA_1400200	L1	L
PBANKA_1400300	S4	S
PBANKA_1465200	S4	S
PBANKA_1465500	S1	S
PBANKA_1465600	L1	L
PBANKA_1465800	S1	S
PBANKA_1465821	L3	L
PBANKA_1465881	S8	S
PBANKA_1465921	S1	S
PBANKA_1466000	S4	S
PBANKA_1466100	S1	S
PBANKA_1466121	S1	S
PBANKA_1466161	S1	S
PBANKA_1466201	L3	L
