"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Transcript Length","Is Pseudo"
"PocGH01_00010100","PocGH01_00010100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_1:5,713..6,889(-)","Plasmodium exported protein, unknown function","1038","No"
"PocGH01_00010200","PocGH01_00010200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_1:11,676..12,425(+)","lysophospholipase, putative","750","No"
"PocGH01_00010300","PocGH01_00010300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_1:15,555..16,747(-)","tryptophan-rich protein","999","No"
"PocGH01_00010400","PocGH01_00010400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_1:23,639..24,668(-)","Plasmodium exported protein, unknown function","894","No"
"PocGH01_00010500","PocGH01_00010500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_1:34,935..36,272(+)","PIR protein","1116","No"
"PocGH01_00010550","PocGH01_00010550.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_1:39,517..40,544(+)","PIR protein, pseudogene","909","Yes"
"PocGH01_00010600","PocGH01_00010600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_1:45,825..47,116(+)","PIR protein","1032","No"
"PocGH01_00010700","PocGH01_00010700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_1:49,927..51,193(-)","PIR protein","1014","No"
"PocGH01_00010800","PocGH01_00010800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_1:54,344..56,004(+)","PIR protein","1392","No"
"PocGH01_00010900","PocGH01_00010900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_1:58,650..61,856(+)","PIR protein, pseudogene","2664","Yes"
"PocGH01_00011000","PocGH01_00011000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_1:63,521..64,886(-)","PIR protein","1056","No"
"PocGH01_00011100","PocGH01_00011100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_1:68,849..70,127(-)","PIR protein","1011","No"
"PocGH01_00011200","PocGH01_00011200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_2:5,167..6,968(+)","PIR protein, pseudogene","1701","Yes"
"PocGH01_00011400","PocGH01_00011400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_2:9,649..10,776(+)","PIR protein, pseudogene","996","Yes"
"PocGH01_00011500","PocGH01_00011500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_2:13,597..14,559(-)","hypothetical protein","963","No"
"PocGH01_00011600","PocGH01_00011600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_2:21,355..21,987(-)","hypothetical protein","633","No"
"PocGH01_00011700","PocGH01_00011700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_2:29,423..31,306(+)","PIR protein, pseudogene","1782","Yes"
"PocGH01_00011800","PocGH01_00011800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_2:36,190..38,105(+)","PIR protein, pseudogene","1689","Yes"
"PocGH01_00011900","PocGH01_00011900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_2:41,608..42,825(+)","PIR protein","1005","No"
"PocGH01_00012000","PocGH01_00012000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_2:47,120..48,277(+)","PIR protein","891","No"
"PocGH01_00012100","PocGH01_00012100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_2:53,785..55,065(+)","PIR protein, pseudogene","924","Yes"
"PocGH01_00012200","PocGH01_00012200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_2:57,097..58,334(+)","PIR protein, pseudogene","975","Yes"
"PocGH01_00012300","PocGH01_00012300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_2:66,203..67,409(+)","PIR protein, pseudogene","915","Yes"
"PocGH01_00012350","PocGH01_00012350.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_2:68,649..69,329(-)","Plasmodium exported protein, unknown function, pseudogene","681","Yes"
"PocGH01_00012400","PocGH01_00012400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_3:2,377..3,337(+)","PIR protein, pseudogene","819","Yes"
"PocGH01_00012500","PocGH01_00012500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_3:6,367..8,190(-)","PIR protein","1560","No"
"PocGH01_00012600","PocGH01_00012600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_3:12,415..15,701(+)","PIR protein","2610","No"
"PocGH01_00012700","PocGH01_00012700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_3:16,966..18,270(-)","PIR protein, pseudogene","1044","Yes"
"PocGH01_00012800","PocGH01_00012800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_3:27,199..28,507(+)","PIR protein","1005","No"
"PocGH01_00012850","PocGH01_00012850.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_3:31,696..32,607(+)","PIR protein, pseudogene","795","Yes"
"PocGH01_00012900","PocGH01_00012900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_3:35,442..36,594(+)","PIR protein","888","No"
"PocGH01_00013000","PocGH01_00013000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_3:40,184..41,474(+)","PIR protein","1023","No"
"PocGH01_00013050","PocGH01_00013050.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_3:46,479..47,453(+)","PIR protein, pseudogene","843","Yes"
"PocGH01_00013100","PocGH01_00013100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_4:2..1,533(-)","hypothetical protein","1408","No"
"PocGH01_00013200","PocGH01_00013200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_4:7,308..8,695(-)","Plasmodium exported protein, unknown function","1251","No"
"PocGH01_00013300","PocGH01_00013300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_4:11,476..12,305(+)","ring-exported protein 3, putative","606","No"
"PocGH01_00013400","PocGH01_00013400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_4:14,176..15,733(-)","PIR protein, pseudogene","1455","Yes"
"PocGH01_00013500","PocGH01_00013500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_4:22,104..23,348(-)","PIR protein","981","No"
"PocGH01_00013600","PocGH01_00013600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_4:26,438..27,706(-)","PIR protein","1146","No"
"PocGH01_00013700","PocGH01_00013700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_4:31,661..32,706(-)","PIR protein","786","No"
"PocGH01_00013800","PocGH01_00013800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_4:35,426..36,694(-)","PIR protein","1020","No"
"PocGH01_00013900","PocGH01_00013900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_4:40,724..41,727(-)","PIR protein, pseudogene","825","Yes"
"PocGH01_00014000","PocGH01_00014000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_4:49,467..50,768(-)","PIR protein","1041","No"
"PocGH01_00014100","PocGH01_00014100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_4:54,805..56,010(-)","PIR protein, pseudogene","1085","Yes"
"PocGH01_00014200","PocGH01_00014200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_4:60,105..61,091(-)","PIR protein, pseudogene","861","Yes"
