"Name","ERX1787320_ERR1717086_TPM","pir","subfam"
"NODE_1_length_69314_cov_188.452",63.055284,FALSE,"noCluster"
"NODE_2_length_55638_cov_91.2838",35.740911,FALSE,"noCluster"
"NODE_3_length_55049_cov_81.9771",39.922501,FALSE,"noCluster"
"NODE_4_length_53314_cov_68.3511",23.544566,FALSE,"noCluster"
"NODE_5_length_52452_cov_56.1221",30.974431,FALSE,"noCluster"
"NODE_6_length_50538_cov_36.3927",19.176936,FALSE,"noCluster"
"NODE_7_length_48860_cov_56.5706",13.836988,FALSE,"noCluster"
"NODE_8_length_47251_cov_119.702",18.183887,FALSE,"noCluster"
"NODE_9_length_43510_cov_79.6405",42.924698,FALSE,"noCluster"
"NODE_10_length_43112_cov_60.3185",33.040287,FALSE,"noCluster"
"NODE_11_length_42805_cov_80.8616",58.394632,FALSE,"noCluster"
"NODE_12_length_41904_cov_141.513",91.184205,FALSE,"noCluster"
"NODE_13_length_41577_cov_48.5624",6.004793,FALSE,"noCluster"
"NODE_14_length_40044_cov_101.679",11.195702,FALSE,"noCluster"
"NODE_15_length_39382_cov_82.1351",41.976583,FALSE,"noCluster"
"NODE_16_length_38256_cov_97.545",35.07303,FALSE,"noCluster"
"NODE_17_length_37058_cov_72.3041",14.140504,FALSE,"noCluster"
"NODE_18_length_35957_cov_92.3066",24.492505,FALSE,"noCluster"
"NODE_19_length_35302_cov_139.515",4.934181,FALSE,"noCluster"
"NODE_20_length_35174_cov_58.7401",15.176982,FALSE,"noCluster"
"NODE_21_length_34031_cov_74.0662",23.018265,FALSE,"noCluster"
"NODE_22_length_33959_cov_64.9007",16.419935,FALSE,"noCluster"
"NODE_23_length_33916_cov_84.3482",14.483514,FALSE,"noCluster"
"NODE_24_length_33827_cov_36.035",11.503697,FALSE,"noCluster"
"NODE_25_length_33515_cov_20.9204",10.550635,FALSE,"noCluster"
"NODE_26_length_32239_cov_254.771",169.682798,FALSE,"noCluster"
"NODE_27_length_32218_cov_78.5616",43.504242,FALSE,"noCluster"
"NODE_28_length_32186_cov_120.284",23.206055,FALSE,"noCluster"
