"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Transcript Length","Transcript Product Description","Is Pseudo"
"PY17X_0062300","PY17X_0062300.1","P. yoelii yoelii 17X","Py17X_11_v3:1,292,276..1,293,790(+)","ribosome biogenesis protein YTM1, putative","1515","ribosome biogenesis protein YTM1, putative","No"
"PY17X_0100005","PY17X_0100005.1","P. yoelii yoelii 17X","Py17X_01_v3:2,412..3,487(-)","PIR protein, pseudogene","849","PIR protein, pseudogene","Yes"
"PY17X_0100009","PY17X_0100009.1","P. yoelii yoelii 17X","Py17X_01_v3:6,006..7,085(-)","PIR protein","885","PIR protein","No"
"PY17X_0100013","PY17X_0100013.1","P. yoelii yoelii 17X","Py17X_01_v3:9,741..10,822(-)","PIR protein","867","PIR protein","No"
"PY17X_0100017","PY17X_0100017.1","P. yoelii yoelii 17X","Py17X_01_v3:13,739..14,626(-)","fam-b protein","759","fam-b protein","No"
"PY17X_0100021","PY17X_0100021.1","P. yoelii yoelii 17X","Py17X_01_v3:16,849..18,129(-)","PIR protein","1068","PIR protein","No"
"PY17X_0100025","PY17X_0100025.1","P. yoelii yoelii 17X","Py17X_01_v3:21,545..22,832(+)","fam-a protein","870","fam-a protein","No"
"PY17X_0100029","PY17X_0100029.1","P. yoelii yoelii 17X","Py17X_01_v3:23,841..24,958(-)","PIR protein","924","PIR protein","No"
"PY17X_0100033","PY17X_0100033.1","P. yoelii yoelii 17X","Py17X_01_v3:27,257..28,378(-)","PIR protein","900","PIR protein","No"
"PY17X_0100037","PY17X_0100037.1","P. yoelii yoelii 17X","Py17X_01_v3:31,178..32,404(-)","PIR protein","987","PIR protein","No"
"PY17X_0100041","PY17X_0100041.1","P. yoelii yoelii 17X","Py17X_01_v3:34,700..35,729(-)","PIR protein","825","PIR protein","No"
"PY17X_0100045","PY17X_0100045.1","P. yoelii yoelii 17X","Py17X_01_v3:37,999..39,103(-)","PIR protein","876","PIR protein","No"
"PY17X_0100049","PY17X_0100049.1","P. yoelii yoelii 17X","Py17X_01_v3:41,393..42,563(-)","PIR protein","933","PIR protein","No"
"PY17X_0100053","PY17X_0100053.1","P. yoelii yoelii 17X","Py17X_01_v3:45,403..46,460(-)","PIR protein","840","PIR protein","No"
"PY17X_0100059","PY17X_0100059.1","P. yoelii yoelii 17X","Py17X_01_v3:49,529..50,704(-)","PIR protein","936","PIR protein","No"
"PY17X_0100063","PY17X_0100063.1","P. yoelii yoelii 17X","Py17X_01_v3:53,047..54,085(-)","PIR protein","831","PIR protein","No"
"PY17X_0100069","PY17X_0100069.1","P. yoelii yoelii 17X","Py17X_01_v3:56,392..57,413(-)","PIR protein","813","PIR protein","No"
"PY17X_0100075","PY17X_0100075.1","P. yoelii yoelii 17X","Py17X_01_v3:59,977..61,162(-)","PIR protein","960","PIR protein","No"
"PY17X_0100081","PY17X_0100081.1","P. yoelii yoelii 17X","Py17X_01_v3:63,483..64,675(-)","PIR protein","951","PIR protein","No"
"PY17X_0100085","PY17X_0100085.1","P. yoelii yoelii 17X","Py17X_01_v3:67,390..68,551(-)","PIR protein","942","PIR protein","No"
"PY17X_0100091","PY17X_0100091.1","P. yoelii yoelii 17X","Py17X_01_v3:70,864..72,021(-)","PIR protein","954","PIR protein","No"
"PY17X_0100095","PY17X_0100095.1","P. yoelii yoelii 17X","Py17X_01_v3:74,338..75,420(-)","PIR protein","891","PIR protein","No"
"PY17X_0100100","PY17X_0100100.1","P. yoelii yoelii 17X","Py17X_01_v3:77,814..78,895(-)","PIR protein","885","PIR protein","No"
"PY17X_0100200","PY17X_0100200.1","P. yoelii yoelii 17X","Py17X_01_v3:81,679..82,871(-)","PIR protein","966","PIR protein","No"
"PY17X_0100300","PY17X_0100300.1","P. yoelii yoelii 17X","Py17X_01_v3:85,193..86,353(-)","PIR protein","948","PIR protein","No"
"PY17X_0100400","PY17X_0100400.1","P. yoelii yoelii 17X","Py17X_01_v3:88,730..89,868(-)","PIR protein","921","PIR protein","No"
"PY17X_0100500","PY17X_0100500.1","P. yoelii yoelii 17X","Py17X_01_v3:92,705..93,829(-)","PIR protein","921","PIR protein","No"
"PY17X_0100600","PY17X_0100600.1","P. yoelii yoelii 17X","Py17X_01_v3:96,175..97,344(-)","PIR protein","927","PIR protein","No"
"PY17X_0100700","PY17X_0100700.1","P. yoelii yoelii 17X","Py17X_01_v3:99,586..100,668(-)","PIR protein","861","PIR protein","No"
